Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_ALL	GO:0030695~GTPase regulator activity	22	4.564315352697095	7.459699026342371E-4	TNIK, ABR, TBC1D3H, PREX1, CYTH4, RPH3AL, AKAP13, ASAP1, PLEKHG4B, ITSN1, DOCK6, STARD13, ANKRD27, RALGAPA2, FLJ32810, RGS5, RIN2, AGAP1, RASA3, SYNGAP1, RIN3, ARHGDIB	363	404	15143	2.271677167716772	0.350841098789453	0.10238985152304259	1.0907849190202379
GOTERM_MF_ALL	GO:0005096~GTPase activator activity	15	3.112033195020747	8.530808951179912E-4	ABR, TBC1D3H, PREX1, ASAP1, STARD13, ANKRD27, RALGAPA2, FLJ32810, RGS5, RIN2, RASA3, SYNGAP1, AGAP1, RIN3, ARHGDIB	363	220	15143	2.844290007513148	0.3899074676428441	0.09410233167410353	1.246493062884979
GOTERM_BP_ALL	GO:0048568~embryonic organ development	13	2.6970954356846475	8.546675064259657E-4	TBX15, HOXB4, WNT1, T, KCNQ4, SP1, DLX5, FOXF1, NKX3-2, FOXC2, GNAS, COL11A1, HMX3	337	172	14116	3.1658960734248844	0.8237262111416337	0.1950415431308502	1.4618414172024585
GOTERM_MF_ALL	GO:0060589~nucleoside-triphosphatase regulator activity	22	4.564315352697095	9.840604096776552E-4	TNIK, ABR, TBC1D3H, PREX1, CYTH4, RPH3AL, AKAP13, ASAP1, PLEKHG4B, ITSN1, DOCK6, STARD13, ANKRD27, RALGAPA2, FLJ32810, RGS5, RIN2, AGAP1, RASA3, SYNGAP1, RIN3, ARHGDIB	363	413	15143	2.22217330691907	0.4345036883832265	0.0906348718263974	1.436588596877142
GOTERM_BP_ALL	GO:0048562~embryonic organ morphogenesis	11	2.2821576763485476	0.0012962727664885079	WNT1, HOXB4, KCNQ4, TBX15, SP1, DLX5, NKX3-2, FOXC2, GNAS, COL11A1, HMX3	337	133	14116	3.464358224939203	0.9281475608498785	0.253657889715178	2.2092618535845543
GOTERM_BP_ALL	GO:0007275~multicellular organismal development	92	19.08713692946058	0.001494309874615541	PLCZ1, CASR, PCDHA2, FOXK1, PCDHA3, LTBP4, ANO1, PPARG, OSGIN1, RORA, PCDHA1, CDSN, SPINK5, CCHCR1, WNT1, KCNQ4, FOXF1, ANKRD11, SPRED2, CNTNAP2, COL12A1, HSF4, COL11A1, TWIST1, PITX2, PRKCA, NLRP5, IRS2, EGR3, TBX15, STMN2, RXRA, MDGA2, HMGA2, GPR98, SLIT3, HES1, EYA4, CCND1, HOXD8, CHRDL1, DOK5, PTGDR, SPDEF, RPS4Y1, FOXC2, GNAS, SEMA4D, CUX1, ADAMTS2, HMX3, HMGB2, ERBB4, SOX9, TAGLN3, T, TAL1, SRY, RGMA, DGKG, AMELY, NKX3-2, PAPSS1, PLXND1, BCOR, RUNX3, NR1H4, SPP1, ARHGDIB, SIM2, NFATC1, DAZ3, DAZ4, DAZ1, DAZ2, LMX1B, GSX2, TBX5, HCLS1, NFASC, NR4A2, SKI, FZD5, TP73, SHOX2, CLPTM1, HDAC4, HOXB4, LAMA4, NXN, SP1, DLX5, KCNN3, RERE, LRP5	337	2865	14116	1.3450701964257046	0.9519598309240198	0.26182309632444334	2.5427039969524556
GOTERM_BP_ALL	GO:0010551~regulation of specific transcription from RNA polymerase II promoter	9	1.8672199170124482	0.0017853193080951523	HES1, HDAC4, TAL1, HMGB2, TBX5, RXRA, PPARG, BCOR, NCOR2	337	94	14116	4.010480459624977	0.9734157734693624	0.2809087526384676	3.030744372303973
GOTERM_BP_ALL	GO:0032502~developmental process	99	20.539419087136928	0.0017876676792459652	CASR, LTBP4, OSGIN1, RORA, WNT1, FOXF1, SPRED2, COL12A1, PITX2, TWIST1, IRS2, STMN2, RXRA, MDGA2, CDKL2, HES1, HOXD8, SPDEF, ADAMTS2, HMX3, DEAF1, HMGB2, ERBB4, SOX9, TAGLN3, T, SRY, TAL1, NKX3-2, BCOR, PLXND1, RUNX3, NR1H4, SPP1, ARHGDIB, GSX2, NR4A2, SKI, SHOX2, HOXB4, HDAC4, LAMA4, NXN, DLX5, ANTXR1, RERE, PLCZ1, PCDHA2, FOXK1, PCDHA3, ANO1, PPARG, PCDHA1, SPINK5, CDSN, CCHCR1, KCNQ4, ANKRD11, CNTNAP2, HSF4, COL11A1, OCA2, PRKCA, EGR3, NLRP5, TBX15, HMGA2, GPR98, SLIT3, EYA4, CCND1, CHRDL1, DOK5, PTGDR, FOXC2, RPS4Y1, GNAS, SEMA4D, CUX1, ADAM12, RGMA, DGKG, FAT1, AMELY, PAPSS1, NFATC1, SIM2, DAZ3, DAZ4, DAZ1, DAZ2, LMX1B, TBX5, HCLS1, NFASC, RCAN3, FZD5, TP73, CLPTM1, SP1, KCNN3, LRP5	337	3148	14116	1.3172925016684325	0.9735424297524162	0.26116777431909555	3.0346733523864966
GOTERM_BP_ALL	GO:0007389~pattern specification process	16	3.319502074688797	0.001870979907575053	GSX2, LMX1B, TBX5, HES1, HOXB4, WNT1, T, HOXD8, FOXF1, NKX3-2, FOXC2, BCOR, PLXND1, SIM2, LRP5, PITX2	337	267	14116	2.5100968003645296	0.9776660363322321	0.25355576254044443	3.1739632312094757
GOTERM_BP_ALL	GO:0043583~ear development	9	1.8672199170124482	0.0019100516111518096	HES1, WNT1, KCNQ4, DLX5, NKX3-2, CUX1, COL11A1, HMX3, GPR98	337	95	14116	3.96826487583945	0.9793721363822466	0.24211401669104493	3.239222348562165
GOTERM_BP_ALL	GO:0010557~positive regulation of macromolecule biosynthetic process	29	6.016597510373444	0.001975377689620239	HMGB2, FOXK1, THRB, GDF6, PPARG, RORA, TLR6, SOX9, T, SLC11A1, WNT1, FOXF1, HSF4, NR1H4, DAZ3, DAZ4, IRS2, DAZ1, BRF1, DAZ2, LMX1B, TBX5, RXRA, NR4A2, HMGA1, TP73, TNKS2, HES1, HDAC4, SP1, FOXC2, NFIC	337	654	14116	1.857385275728455	0.9819386788861374	0.2347853060320252	3.3482400371472543
GOTERM_BP_ALL	GO:0045892~negative regulation of transcription, DNA-dependent	19	3.941908713692946	0.002238772847682714	DNMT3A, FOXK1, RXRA, PPARG, SKI, SOX9, HES1, HDAC4, HOXB4, HOXD8, HSF4, BCOR, CUX1, NFIC, ZFHX3, NR1H4, NCOR2, SIM2, TWIST1	337	356	14116	2.2355549628246587	0.989430721829616	0.2475063611422461	3.786627465942838
GOTERM_BP_ALL	GO:0048856~anatomical structure development	82	17.012448132780083	0.0022890194601081454	CASR, FOXK1, PCDHA2, PCDHA3, ANO1, PPARG, RORA, PCDHA1, CDSN, SPINK5, WNT1, KCNQ4, FOXF1, ANKRD11, CNTNAP2, COL12A1, HSF4, COL11A1, PITX2, TWIST1, PRKCA, NLRP5, IRS2, EGR3, TBX15, STMN2, RXRA, MDGA2, GPR98, SLIT3, HES1, EYA4, CCND1, HOXD8, CHRDL1, DOK5, FOXC2, GNAS, SEMA4D, ADAM12, CUX1, ADAMTS2, HMX3, DEAF1, HMGB2, ERBB4, SOX9, TAGLN3, T, TAL1, RGMA, DGKG, AMELY, FAT1, NKX3-2, PAPSS1, PLXND1, BCOR, RUNX3, NR1H4, SPP1, NFATC1, SIM2, LMX1B, GSX2, TBX5, HCLS1, NFASC, NR4A2, SKI, FZD5, RCAN3, TP73, SHOX2, HDAC4, HOXB4, LAMA4, SP1, DLX5, KCNN3, ANTXR1, LRP5	337	2527	14116	1.3592218872967206	0.9904578441394924	0.23940112830769622	3.870043487829955
GOTERM_BP_ALL	GO:0006357~regulation of transcription from RNA polymerase II promoter	31	6.431535269709543	0.0023777457274536573	HMGB2, THRB, FOXK1, PPARG, RORA, SOX9, SLC11A1, TAL1, T, HSF4, BCOR, NR1H4, TWIST1, SIM2, DNMT3A, LMX1B, TBX5, RXRA, KLF16, NR4A2, SKI, HES1, HDAC4, HOXB4, HOXD8, SP1, FOXC2, NFIC, CUX1, ZFHX3, NCOR2	337	727	14116	1.7861134127078069	0.9920339890471974	0.23545637359252847	4.017174499366904
GOTERM_BP_ALL	GO:0045893~positive regulation of transcription, DNA-dependent	23	4.771784232365145	0.002409322705909706	HMGB2, THRB, FOXK1, LMX1B, TBX5, RXRA, PPARG, NR4A2, RORA, SOX9, HMGA1, TP73, HES1, HDAC4, T, SLC11A1, WNT1, SP1, FOXF1, FOXC2, HSF4, NFIC, NR1H4	337	477	14116	2.0197201848845094	0.9925297475277007	0.2271943689783824	4.069486067731032
GOTERM_BP_ALL	GO:0051253~negative regulation of RNA metabolic process	19	3.941908713692946	0.0026753271707217526	DNMT3A, FOXK1, RXRA, PPARG, SKI, SOX9, HES1, HDAC4, HOXB4, HOXD8, HSF4, BCOR, CUX1, NFIC, ZFHX3, NR1H4, NCOR2, SIM2, TWIST1	337	362	14116	2.1985015656507696	0.9956526633064936	0.2380768594385022	4.5090939753674615
GOTERM_BP_ALL	GO:0051254~positive regulation of RNA metabolic process	23	4.771784232365145	0.0026903042542361652	HMGB2, THRB, FOXK1, LMX1B, TBX5, RXRA, PPARG, NR4A2, RORA, SOX9, HMGA1, TP73, HES1, HDAC4, T, SLC11A1, WNT1, SP1, FOXF1, FOXC2, HSF4, NFIC, NR1H4	337	481	14116	2.002924175031	0.995783193291969	0.22926694475630205	4.533789091308405
GOTERM_BP_ALL	GO:0048839~inner ear development	8	1.6597510373443984	0.0027180562377339536	HES1, WNT1, KCNQ4, DLX5, CUX1, COL11A1, HMX3, GPR98	337	79	14116	4.241745858843857	0.996014794602254	0.22208959991734034	4.579532330675107
GOTERM_BP_ALL	GO:0010553~negative regulation of specific transcription from RNA polymerase II promoter	6	1.2448132780082988	0.002750834132872881	HES1, HDAC4, RXRA, PPARG, BCOR, NCOR2	337	41	14116	6.129840052109721	0.9962720172114341	0.2158269572340633	4.633533123324563
GOTERM_BP_ALL	GO:0050794~regulation of cellular process	188	39.004149377593365	0.0037591317847767386	ADCY3, SYT1, CASR, THRB, SRCIN1, GDF6, LTBP4, GABRB1, MMP7, OSGIN1, RORA, ITSN1, TLR6, VIPR2, CBX7, WNT1, MAP3K5, GALR1, FOXF1, SPRED2, TWIST1, PITX2, SCRT2, IRS2, CRTAM, TNIK, STMN2, RXRA, KIAA1804, CDKL2, RPTOR, TNKS2, HES1, RALGAPA2, TRIM35, CD36, HOXD8, CCR6, ARRB2, ZNF783, TNFAIP8, SPDEF, HMX3, DEAF1, PALM, EIF4E3, HMGB2, ERBB4, HLA-DRB1, TBC1D3H, AKAP13, ASAP1, ITGB2, SOX9, T, SLC11A1, TAL1, SRY, AHRR, CDC42EP1, NKX3-2, ZNF71, SKA2, PLXND1, BCOR, RAB6C, RUNX3, NR1H4, NAT14, ARHGDIB, SPP1, RFX8, DNMT3A, ABR, GSX2, TNFRSF13B, ARID3A, KLF16, NR4A2, SKI, ZNF628, RGS9BP, SHOX2, HDAC4, HOXB4, FLJ32810, LAMA4, OR12D3, CASS4, NXN, CNIH3, DLX5, RGS5, SPTBN1, TNK1, SYNGAP1, ZNF117, ZFHX3, NCOR2, RERE, PLCZ1, MAD1L1, GPR84, FOXK1, TOLLIP, PREX1, PPARG, CXCR2, TERF2IP, PLEKHG4B, SKAP2, SPINK5, KCNQ4, MKLN1, STAC2, PCGF3, CNTNAP2, ZNF879, HSF4, AGAP1, OR8G1, GPR173, PRKCA, NLRP5, ZBTB20, ZNF283, EGR3, BRF1, TBX15, ZFY, RPH3AL, CLIC1, HMGA2, HMGA1, GPR98, EYA4, CCND1, DOK5, ZNF714, PTGDR, RIN2, FOXC2, FAIM3, GNAS, MCC, SEMA4D, CUX1, GADD45A, RIN3, ALOX12, SCML4, FOXM1, MGMT, CYTH4, GRAMD4, STARD13, CCL26, RGMA, SMOC2, DGKG, MYCBP, RASA3, NFATC1, SIM2, DAZ3, DAZ4, DAZ1, DAZ2, TNXB, TNXA, LMX1B, HCLS1, TBX5, NXNL1, FZD5, RCAN3, PPP1R13L, POU5F1B, CPT1A, TP73, CLPTM1, RASSF3, SP1, GPR110, RPS6KA2, ZNF862, GPR111, RAB38, NFIC, LRP5, ZNF573, SH3BP2	337	6819	14116	1.1548322608804253	0.9995217689659978	0.27280384629169896	6.2806858866013116
GOTERM_BP_ALL	GO:0031328~positive regulation of cellular biosynthetic process	29	6.016597510373444	0.0038173449411803752	HMGB2, FOXK1, THRB, GDF6, PPARG, RORA, TLR6, SOX9, T, SLC11A1, WNT1, FOXF1, HSF4, NR1H4, DAZ3, DAZ4, IRS2, DAZ1, BRF1, DAZ2, LMX1B, TBX5, RXRA, NR4A2, HMGA1, TP73, TNKS2, HES1, HDAC4, SP1, FOXC2, NFIC	337	685	14116	1.7733284238341744	0.9995752622692912	0.26696479335083456	6.374959755465104
GOTERM_BP_ALL	GO:0045941~positive regulation of transcription	25	5.186721991701245	0.004313659290366902	HMGB2, THRB, FOXK1, GDF6, PPARG, RORA, SOX9, SLC11A1, WNT1, T, FOXF1, HSF4, NR1H4, BRF1, LMX1B, RXRA, TBX5, NR4A2, HMGA1, TP73, HES1, HDAC4, SP1, FOXC2, NFIC	337	564	14116	1.8567039164930446	0.9998455545535139	0.2864664023452801	7.175101478219936
GOTERM_BP_ALL	GO:0009891~positive regulation of biosynthetic process	29	6.016597510373444	0.004609144164587794	HMGB2, FOXK1, THRB, GDF6, PPARG, RORA, TLR6, SOX9, T, SLC11A1, WNT1, FOXF1, HSF4, NR1H4, DAZ3, DAZ4, IRS2, DAZ1, BRF1, DAZ2, LMX1B, TBX5, RXRA, NR4A2, HMGA1, TP73, TNKS2, HES1, HDAC4, SP1, FOXC2, NFIC	337	695	14116	1.747812906944474	0.99991545207416	0.29343525911806145	7.648408916220251
GOTERM_BP_ALL	GO:0030199~collagen fibril organization	5	1.0373443983402488	0.004679729072890804	LMX1B, FOXC2, COL12A1, COL11A1, ADAMTS2	337	29	14116	7.221937992428118	0.9999267877625665	0.28828427740649953	7.761134909158718
GOTERM_BP_ALL	GO:0048705~skeletal system morphogenesis	9	1.8672199170124482	0.005284216280018718	HOXB4, HOXD8, TBX15, ANKRD11, NKX3-2, FOXC2, GNAS, SOX9, COL11A1	337	112	14116	3.365938957185248	0.9999786701076928	0.3098704180645633	8.721223500813856
GOTERM_BP_ALL	GO:0032582~negative regulation of gene-specific transcription	6	1.2448132780082988	0.005490812948307443	HES1, HDAC4, RXRA, PPARG, BCOR, NCOR2	337	48	14116	5.235905044510386	0.9999860085485819	0.3110377513148318	9.047190679291928
GOTERM_BP_ALL	GO:0045934~negative regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	23	4.771784232365145	0.0055907777230180065	DNMT3A, PALM, HMGB2, THRB, FOXK1, RXRA, PPARG, SKI, TERF2IP, SOX9, HES1, HDAC4, HOXB4, HOXD8, HSF4, BCOR, CUX1, NFIC, ZFHX3, NCOR2, NR1H4, SIM2, TWIST1	337	512	14116	1.8816533753709197	0.99998859117262	0.30728249632372273	9.20452066937143
GOTERM_MF_ALL	GO:0003707~steroid hormone receptor activity	6	1.2448132780082988	0.006113829580759561	THRB, RXRA, PPARG, NR4A2, RORA, NR1H4	363	49	15143	5.1081126665542245	0.9712975510768257	0.3978527496337343	8.61895491708442
GOTERM_BP_ALL	GO:0010628~positive regulation of gene expression	25	5.186721991701245	0.006287982037701614	HMGB2, THRB, FOXK1, GDF6, PPARG, RORA, SOX9, SLC11A1, WNT1, T, FOXF1, HSF4, NR1H4, BRF1, LMX1B, RXRA, TBX5, NR4A2, HMGA1, TP73, HES1, HDAC4, SP1, FOXC2, NFIC	337	581	14116	1.8023769516386867	0.9999972527341159	0.3297826802813908	10.29471084049507
GOTERM_BP_ALL	GO:0051172~negative regulation of nitrogen compound metabolic process	23	4.771784232365145	0.006521364153404688	DNMT3A, PALM, HMGB2, THRB, FOXK1, RXRA, PPARG, SKI, TERF2IP, SOX9, HES1, HDAC4, HOXB4, HOXD8, HSF4, BCOR, CUX1, NFIC, ZFHX3, NCOR2, NR1H4, SIM2, TWIST1	337	519	14116	1.856274620789809	0.9999982946222804	0.3313379362591288	10.656878099993406
GOTERM_MF_ALL	GO:0008047~enzyme activator activity	17	3.5269709543568464	0.006911493594765192	ABR, TBC1D3H, PREX1, ASAP1, ITSN1, STARD13, ANKRD27, RALGAPA2, FLJ32810, MAP3K5, RGS5, RIN2, RASA3, SYNGAP1, AGAP1, RIN3, ARHGDIB	363	335	15143	2.1169442045968507	0.9819687315925041	0.3946545467501925	9.690941017139776
GOTERM_BP_ALL	GO:0016481~negative regulation of transcription	21	4.356846473029045	0.006967363916385359	DNMT3A, HMGB2, FOXK1, THRB, RXRA, PPARG, SKI, SOX9, HES1, HDAC4, HOXB4, HOXD8, HSF4, BCOR, CUX1, NFIC, ZFHX3, NR1H4, NCOR2, SIM2, TWIST1	337	459	14116	1.9164096894939975	0.9999993145917156	0.34127462614148507	11.345162189464153
GOTERM_BP_ALL	GO:0031326~regulation of cellular biosynthetic process	90	18.672199170124482	0.007431432654034266	ADCY3, THRB, FOXK1, GDF6, PPARG, TERF2IP, RORA, TLR6, CBX7, WNT1, PCGF3, GALR1, FOXF1, ZNF879, HSF4, TWIST1, PITX2, SCRT2, PRKCA, IRS2, ZBTB20, EGR3, ZNF283, TBX15, BRF1, RXRA, ZFY, HMGA2, HMGA1, TNKS2, HES1, EYA4, CCR6, HOXD8, ZNF783, ZNF714, SPDEF, FOXC2, GNAS, CUX1, HMX3, DEAF1, SCML4, PALM, EIF4E3, HMGB2, FOXM1, SOX9, GRAMD4, T, SLC11A1, TAL1, SRY, AHRR, NKX3-2, ZNF71, MYCBP, BCOR, RUNX3, NAT14, NR1H4, NFATC1, SIM2, RFX8, DAZ3, DNMT3A, DAZ4, DAZ1, DAZ2, LMX1B, GSX2, TBX5, HCLS1, NR4A2, KLF16, ARID3A, SKI, PPP1R13L, POU5F1B, ZNF628, TP73, SHOX2, HDAC4, HOXB4, SP1, DLX5, ZNF862, NFIC, ZNF117, ZFHX3, RERE, NCOR2, ZNF573	337	2947	14116	1.2792167058186215	0.9999997346303665	0.35120120441629454	12.056026960066045
GOTERM_BP_ALL	GO:0045935~positive regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	26	5.394190871369295	0.007664052943996332	HMGB2, THRB, FOXK1, GDF6, PPARG, RORA, SOX9, SLC11A1, WNT1, T, FOXF1, HSF4, NR1H4, BRF1, LMX1B, RXRA, TBX5, NR4A2, HMGA1, TP73, TNKS2, HES1, HDAC4, SP1, FOXC2, NFIC	337	624	14116	1.745301681503462	0.9999998351042904	0.351978897370929	12.41033337259083
GOTERM_BP_ALL	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	18	3.7344398340248963	0.0077127108864402496	HMGB2, LMX1B, THRB, TBX5, RXRA, PPARG, NR4A2, RORA, SOX9, HES1, HDAC4, T, SLC11A1, SP1, FOXC2, HSF4, NFIC, NR1H4	337	371	14116	2.0322650307533574	0.9999998507276814	0.3460975666747337	12.48427456188752
GOTERM_BP_ALL	GO:0030154~cell differentiation	55	11.410788381742739	0.007811984392656083	FOXK1, PPARG, OSGIN1, RORA, SPINK5, CDSN, WNT1, CCHCR1, FOXF1, CNTNAP2, HSF4, COL11A1, OCA2, TWIST1, PRKCA, STMN2, RXRA, MDGA2, GPR98, SLIT3, HES1, CCND1, CHRDL1, FOXC2, SEMA4D, CUX1, ADAM12, HMX3, DEAF1, ERBB4, SOX9, T, SRY, TAL1, DGKG, RUNX3, NFATC1, SIM2, SPP1, DAZ3, DAZ4, DAZ1, DAZ2, LMX1B, GSX2, TBX5, HCLS1, NFASC, NR4A2, FZD5, TP73, CLPTM1, HDAC4, LAMA4, SP1, NXN, DLX5, ANTXR1	337	1637	14116	1.407329394981411	0.9999998781646534	0.34227149210273866	12.634949456311428
GOTERM_MF_ALL	GO:0003677~DNA binding	74	15.352697095435685	0.008180230301783444	THRB, FOXK1, PPARG, TERF2IP, RORA, FOXF1, HSF4, PITX2, TWIST1, RBMS1, KDM5D, SCRT2, ZBTB20, EGR3, ZNF283, TBX15, BRF1, RXRA, ZFY, HMGA2, HMGA1, HES1, HOXD8, ZNF783, ZNF714, HIST2H2BF, SPDEF, CDK2AP1, FOXC2, CUX1, HMX3, DEAF1, SCML4, HMGB2, FOXM1, MGMT, CXXC5, SOX9, GRAMD4, T, SRY, TAL1, AHRR, DDX3Y, NKX3-2, ZNF71, RUNX3, NAT14, NR1H4, NFATC1, SIM2, RFX8, DNMT3A, LMX1B, GSX2, TBX5, HCLS1, NR4A2, ARID3A, KLF16, POU5F1B, ZNF628, TP73, SHOX2, HOXB4, HDAC4, SP1, DLX5, NFIC, ZNF117, ZFHX3, RERE, NCOR2, ZNF573	363	2331	15143	1.3243255061436878	0.9913986135529357	0.41046769732487964	11.371888482739678
GOTERM_BP_ALL	GO:0007423~sensory organ development	13	2.6970954356846475	0.008815209905153103	LMX1B, GPR98, HES1, WNT1, KCNQ4, SP1, DLX5, NKX3-2, FOXC2, HSF4, CUX1, COL11A1, HMX3	337	229	14116	2.377878273489433	0.9999999843722283	0.36926996204711515	14.143970428319786
