"","category","numDEInCat","numInCat","padj","path_name"
"109","04070",2,68,1,"Phosphatidylinositol signaling system"
"110","04080",4,88,1,"Neuroactive ligand-receptor interaction"
"112","04114",1,84,1,"Oocyte meiosis"
"113","04115",4,54,1,"p53 signaling pathway"
"114","04120",2,124,1,"Ubiquitin mediated proteolysis"
"115","04122",0,10,1,"Sulfur relay system"
"116","04130",2,33,1,"SNARE interactions in vesicular transport"
"117","04140",0,19,1,"Regulation of autophagy"
"118","04141",7,149,1,"Protein processing in endoplasmic reticulum"
"119","04142",5,101,1,"Lysosome"
"120","04144",7,180,1,"Endocytosis"
"121","04145",5,123,1,"Phagosome"
"123","04150",0,47,1,"mTOR signaling pathway"
"124","04210",0,74,1,"Apoptosis"
"125","04260",0,49,1,"Cardiac muscle contraction"
"126","04270",3,83,1,"Vascular smooth muscle contraction"
"127","04310",6,117,1,"Wnt signaling pathway"
"128","04320",1,21,1,"Dorso-ventral axis formation"
"129","04330",2,43,1,"Notch signaling pathway"
"130","04340",1,36,1,"Hedgehog signaling pathway"
"131","04350",3,68,1,"TGF-beta signaling pathway"
"132","04360",5,102,1,"Axon guidance"
"133","04370",1,59,1,"VEGF signaling pathway"
"134","04380",1,94,1,"Osteoclast differentiation"
"135","04510",7,168,1,"Focal adhesion"
"136","04512",3,64,1,"ECM-receptor interaction"
"137","04514",4,95,1,"Cell adhesion molecules (CAMs)"
"138","04520",1,63,1,"Adherens junction"
"139","04530",4,88,1,"Tight junction"
"140","04540",2,68,1,"Gap junction"
"141","04610",3,39,1,"Complement and coagulation cascades"
"142","04612",3,52,1,"Antigen processing and presentation"
"144","04620",1,75,1,"Toll-like receptor signaling pathway"
"145","04621",1,50,1,"NOD-like receptor signaling pathway"
"146","04622",1,47,1,"RIG-I-like receptor signaling pathway"
"147","04623",1,32,1,"Cytosolic DNA-sensing pathway"
"148","04630",5,88,1,"Jak-STAT signaling pathway"
"149","04640",4,54,1,"Hematopoietic cell lineage"
"150","04650",3,88,1,"Natural killer cell mediated cytotoxicity"
"151","04660",3,84,1,"T cell receptor signaling pathway"
"152","04662",1,65,1,"B cell receptor signaling pathway"
"153","04664",1,60,1,"Fc epsilon RI signaling pathway"
"154","04666",1,82,1,"Fc gamma R-mediated phagocytosis"
"155","04670",3,83,1,"Leukocyte transendothelial migration"
"156","04672",0,25,1,"Intestinal immune network for IgA production"
"157","04710",2,21,1,"Circadian rhythm - mammal"
"158","04720",0,48,1,"Long-term potentiation"
"159","04722",4,104,1,"Neurotrophin signaling pathway"
"160","04730",0,49,1,"Long-term depression"
"161","04740",0,16,1,"Olfactory transduction"
"162","04742",0,14,1,"Taste transduction"
"163","04744",0,8,1,"Phototransduction"
"164","04810",6,161,1,"Regulation of actin cytoskeleton"
"165","04910",3,111,1,"Insulin signaling pathway"
"166","04912",2,76,1,"GnRH signaling pathway"
"167","04914",2,72,1,"Progesterone-mediated oocyte maturation"
"168","04916",1,73,1,"Melanogenesis"
"169","04920",2,54,1,"Adipocytokine signaling pathway"
"170","04930",0,30,1,"Type II diabetes mellitus"
"171","04940",1,30,1,"Type I diabetes mellitus"
"172","04950",0,4,1,"Maturity onset diabetes of the young"
"173","04960",1,29,1,"Aldosterone-regulated sodium reabsorption"
"174","04962",2,37,1,"Vasopressin-regulated water reabsorption"
"175","04964",1,17,1,"Proximal tubule bicarbonate reclamation"
"177","04970",1,51,1,"Salivary secretion"
"178","04971",0,46,1,"Gastric acid secretion"
"179","04972",3,59,1,"Pancreatic secretion"
"180","04973",1,21,1,"Carbohydrate digestion and absorption"
"182","04975",2,18,1,"Fat digestion and absorption"
"183","04976",0,40,1,"Bile secretion"
"184","04977",1,13,1,"Vitamin digestion and absorption"
"185","05010",3,138,1,"Alzheimer's disease"
"186","05012",2,114,1,"Parkinson's disease"
"187","05014",1,36,1,"Amyotrophic lateral sclerosis (ALS)"
"188","05016",7,158,1,"Huntington's disease"
"189","05020",0,23,1,"Prion diseases"
"190","05100",4,61,1,"Bacterial invasion of epithelial cells"
"191","05110",2,45,1,"Vibrio cholerae infection"
"192","05120",2,57,1,"Epithelial cell signaling in Helicobacter pylori infection"
"193","05130",2,42,1,"Pathogenic Escherichia coli infection"
"194","05131",2,58,1,"Shigellosis"
"195","05140",0,51,1,"Leishmaniasis"
"196","05142",0,82,1,"Chagas disease (American trypanosomiasis)"
"197","05143",0,20,1,"African trypanosomiasis"
"198","05144",0,36,1,"Malaria"
"199","05145",2,102,1,"Toxoplasmosis"
"200","05146",3,73,1,"Amoebiasis"
"201","05150",1,36,1,"Staphylococcus aureus infection"
"202","05160",4,94,1,"Hepatitis C"
"204","05210",4,58,1,"Colorectal cancer"
"205","05211",1,65,1,"Renal cell carcinoma"
"207","05213",3,46,1,"Endometrial cancer"
"210","05216",2,25,1,"Thyroid cancer"
"211","05217",2,39,1,"Basal cell carcinoma"
"212","05218",4,52,1,"Melanoma"
"215","05221",2,51,1,"Acute myeloid leukemia"
"218","05310",0,13,1,"Asthma"
"219","05320",2,28,1,"Autoimmune thyroid disease"
"220","05322",0,44,1,"Systemic lupus erythematosus"
"221","05323",2,58,1,"Rheumatoid arthritis"
"222","05330",1,27,1,"Allograft rejection"
"223","05332",1,27,1,"Graft-versus-host disease"
"224","05340",0,18,1,"Primary immunodeficiency"
"225","05410",1,56,1,"Hypertrophic cardiomyopathy (HCM)"
"226","05412",1,51,1,"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"
"227","05414",1,64,1,"Dilated cardiomyopathy"
"228","05416",3,62,1,"Viral myocarditis"
