"","feature","seqnames","start","end","width","strand","peak","start_position.x","end_position.x","insideFeature","distancetoFeature","shortestDistance","fromOverlappingOrNearest","hgnc_symbol","start_position.y","end_position.y"
"59","ENSG00000005022","X",118520519,118521940,1422,"+","15761",118486436,118489310,"downstream",34083,31209,"NearestStart","SLC25A5P8",118486436,118489310
"60","ENSG00000005022","X",118520519,118521940,1422,"+","15761",118486436,118489310,"downstream",34083,31209,"NearestStart","SLC25A5",118486436,118489310
"61","ENSG00000005022","X",118530124,118530453,330,"+","15762",118486436,118489310,"downstream",43688,40814,"NearestStart","SLC25A5P8",118486436,118489310
"62","ENSG00000005022","X",118530124,118530453,330,"+","15762",118486436,118489310,"downstream",43688,40814,"NearestStart","SLC25A5",118486436,118489310
"63","ENSG00000005102","17",39049641,39050095,455,"-","06209",39073296,39094788,"downstream",45147,23201,"NearestStart","MEOX1",39073296,39094788
"64","ENSG00000005102","17",39112095,39112367,273,"-","06210",39073296,39094788,"upstream",-17307,17307,"NearestStart","MEOX1",39073296,39094788
"65","ENSG00000005339","16",3961329,3961561,233,"-","05222",3715056,3870122,"upstream",-91207,91207,"NearestStart","CREBBP",3715056,3870122
"66","ENSG00000005810","13",76859970,76860279,310,"-","03974",76516793,76799178,"upstream",-60792,60792,"NearestStart","MYCBP2",76516793,76799178
"67","ENSG00000005812","13",76585628,76585905,278,"-","03972",76477391,76499286,"upstream",-86342,86342,"NearestStart","FBXL3",76477391,76499286
"68","ENSG00000005812","13",76615693,76616043,351,"-","03973",76477391,76499286,"upstream",-116407,116407,"NearestStart","FBXL3",76477391,76499286
"69","ENSG00000005882","17",45531363,45531775,413,"+","06305",45527695,45543419,"inside",3668,3668,"NearestStart","PDK2",45527695,45543419
"70","ENSG00000005884","17",45494588,45495295,708,"+","06303",45488488,45522842,"inside",6100,6100,"NearestStart","ITGA3",45488488,45522842
"71","ENSG00000005884","17",45496913,45497455,543,"+","06304",45488488,45522842,"inside",8425,8425,"NearestStart","ITGA3",45488488,45522842
"72","ENSG00000005981","7",94967988,94968293,306,"+","13565",94953149,95005007,"inside",14839,14839,"NearestStart","ASB4",94953149,95005007
"73","ENSG00000006062","17",40726411,40727375,965,"-","06223",40696271,40750197,"inside",23786,22822,"NearestStart","MAP3K14",40696271,40750197
"74","ENSG00000006071","11",17417375,17417953,579,"-","02300",17371008,17455025,"inside",37650,37072,"NearestStart","ABCC8",17371008,17455025
"75","ENSG00000006071","11",17418654,17418990,337,"-","02301",17371008,17455025,"inside",36371,36035,"NearestStart","ABCC8",17371008,17455025
"76","ENSG00000006071","11",17445846,17446666,821,"-","02302",17371008,17455025,"inside",9179,8359,"NearestStart","ABCC8",17371008,17455025
"77","ENSG00000006432","14",70291489,70291885,397,"-","04351",70264605,70345641,"inside",54152,26884,"NearestStart","MAP3K9",70264605,70345641
"78","ENSG00000006453","7",97886063,97886589,527,"-","13579",97760007,97868316,"upstream",-17747,17747,"NearestStart","BAIAP2L1",97760007,97868316
"79","ENSG00000006534","11",67534031,67535149,1119,"+","02566",67534366,67552183,"overlapStart",-335,335,"NearestStart","ALDH3B1",67534366,67552183
"80","ENSG00000006534","11",67536072,67537869,1798,"+","02567",67534366,67552183,"inside",1706,1706,"NearestStart","ALDH3B1",67534366,67552183
"81","ENSG00000006576","7",77301848,77302237,390,"+","13485",77266058,77424477,"inside",35790,35790,"NearestStart","PHTF2",77266058,77424477
"82","ENSG00000006576","7",77306252,77306495,244,"+","13486",77266058,77424477,"inside",40194,40194,"NearestStart","PHTF2",77266058,77424477
"83","ENSG00000006625","7",30529335,30529695,361,"-","13228",30502764,30510977,"upstream",-18358,18358,"NearestStart","GGCT",30502764,30510977
"84","ENSG00000006638","19",3554301,3554912,612,"-","07166",3545504,3557658,"inside",3357,2746,"NearestStart","TBXA2R",3545504,3557658
"85","ENSG00000006652","7",111850193,111850572,380,"+","13712",111850462,111903480,"overlapStart",-269,110,"NearestStart","IFRD1",111850462,111903480
"86","ENSG00000006695","17",13897300,13897557,258,"+","05818",13913444,14052712,"upstream",-16144,15887,"NearestStart","COX10",13913444,14052712
"87","ENSG00000006704","7",73518375,73519201,827,"+","13427",73506056,73654846,"inside",12319,12319,"NearestStart","GTF2IRD1",73506056,73654846
"88","ENSG00000006704","7",73529793,73530894,1102,"+","13428",73506056,73654846,"inside",23737,23737,"NearestStart","GTF2IRD1",73506056,73654846
"89","ENSG00000006756","X",2819999,2820208,210,"-","15486",2832011,2857392,"downstream",37393,11803,"NearestStart","ARSD",2832011,2857392
"90","ENSG00000006756","X",2822969,2823285,317,"-","15487",2832011,2857392,"downstream",34423,8726,"NearestStart","ARSD",2832011,2857392
"91","ENSG00000006831","12",1639106,1640083,978,"+","02925",1670508,1768105,"upstream",-31402,30425,"NearestStart","ADIPOR2",1670508,1768105
"92","ENSG00000006831","12",1640756,1641845,1090,"+","02926",1670508,1768105,"upstream",-29752,28663,"NearestStart","ADIPOR2",1670508,1768105
"93","ENSG00000007001","2",158695468,158696065,598,"+","08380",158559937,158700724,"inside",135531,4659,"NearestStart","UPP2",158559937,158700724
"94","ENSG00000007001","2",158696179,158696590,412,"+","08381",158559937,158700724,"inside",136242,4134,"NearestStart","UPP2",158559937,158700724
"95","ENSG00000007001","2",158696941,158697229,289,"+","08382",158559937,158700724,"inside",137004,3495,"NearestStart","UPP2",158559937,158700724
"96","ENSG00000007001","2",158703203,158703478,276,"+","08383",158559937,158700724,"downstream",143266,2479,"NearestStart","UPP2",158559937,158700724
"97","ENSG00000007080","19",17887726,17888109,384,"+","07304",17908217,17915783,"upstream",-20491,20108,"NearestStart","CCDC124",17908217,17915783
"98","ENSG00000007080","19",17888355,17888702,348,"+","07305",17908217,17915783,"upstream",-19862,19515,"NearestStart","CCDC124",17908217,17915783
"99","ENSG00000007080","19",17890945,17891265,321,"+","07306",17908217,17915783,"upstream",-17272,16952,"NearestStart","CCDC124",17908217,17915783
"100","ENSG00000007171","17",23100849,23101148,300,"-","06022",23107922,23151682,"downstream",50833,6774,"NearestStart","NOS2",23107922,23151682
"101","ENSG00000007171","17",23128051,23128440,390,"-","06023",23107922,23151682,"inside",23631,20129,"NearestStart","NOS2",23107922,23151682
"102","ENSG00000007174","17",11452555,11452900,346,"+","05812",11442473,11813856,"inside",10082,10082,"NearestStart","DNAH9",11442473,11813856
"103","ENSG00000007237","17",10014354,10014604,251,"-","05808",9754651,10042593,"inside",28239,27989,"NearestStart","GAS7",9754651,10042593
"104","ENSG00000007255","19",50367283,50367779,497,"-","07451",50358027,50373325,"inside",6042,5546,"NearestStart","TRAPPC6A",50358027,50373325
"105","ENSG00000007255","19",50370703,50371200,498,"-","07452",50358027,50373325,"inside",2622,2125,"NearestStart","TRAPPC6A",50358027,50373325
"106","ENSG00000007312","17",59375694,59376317,624,"-","06469",59359832,59363446,"upstream",-12248,12248,"NearestStart","CD79B",59359832,59363446
"107","ENSG00000008118","1",207767356,207767655,300,"+","01082",207823668,207853906,"upstream",-56312,56013,"NearestStart","CAMK1G",207823668,207853906
"108","ENSG00000008118","1",207767914,207768359,446,"+","01083",207823668,207853906,"upstream",-55754,55309,"NearestStart","CAMK1G",207823668,207853906
"109","ENSG00000008118","1",207770739,207771389,651,"+","01084",207823668,207853906,"upstream",-52929,52279,"NearestStart","CAMK1G",207823668,207853906
"110","ENSG00000008118","1",207772852,207773243,392,"+","01085",207823668,207853906,"upstream",-50816,50425,"NearestStart","CAMK1G",207823668,207853906
"111","ENSG00000008118","1",207784043,207784359,317,"+","01086",207823668,207853906,"upstream",-39625,39309,"NearestStart","CAMK1G",207823668,207853906
"112","ENSG00000008118","1",207825708,207826122,415,"+","01087",207823668,207853906,"inside",2040,2040,"NearestStart","CAMK1G",207823668,207853906
"113","ENSG00000008118","1",207830409,207830707,299,"+","01088",207823668,207853906,"inside",6741,6741,"NearestStart","CAMK1G",207823668,207853906
"114","ENSG00000008256","7",6296367,6296875,509,"-","13121",6167939,6278800,"upstream",-17567,17567,"NearestStart","CYTH3",6167939,6278800
"115","ENSG00000008282","7",105542489,105542981,493,"-","13669",105518194,105540293,"upstream",-2196,2196,"NearestStart","SYPL1",105518194,105540293
"116","ENSG00000008283","17",58863500,58863895,396,"-","06464",58863400,58877454,"inside",13954,100,"NearestStart","CYB561",58863400,58877454
"117","ENSG00000008323","12",6257832,6258478,647,"+","02945",6289863,6307910,"upstream",-32031,31385,"NearestStart","PLEKHG6",6289863,6307910
"118","ENSG00000008323","12",6269358,6269837,480,"+","02946",6289863,6307910,"upstream",-20505,20026,"NearestStart","PLEKHG6",6289863,6307910
"119","ENSG00000008394","12",16394897,16395219,323,"+","03042",16391343,16408610,"inside",3554,3554,"NearestStart","MGST1",16391343,16408610
"120","ENSG00000008405","12",105976102,105976323,222,"-","03532",105909275,106011455,"inside",35353,35132,"NearestStart","CRY1",105909275,106011455
"121","ENSG00000008517","16",3048223,3048745,523,"+","05219",3055314,3059669,"upstream",-7091,6569,"NearestStart","IL32",3055314,3059669
"122","ENSG00000008853","8",22905162,22905576,415,"+","14031",22913059,22933655,"upstream",-7897,7483,"NearestStart","RHOBTB2",22913059,22933655
"123","ENSG00000008853","8",22907663,22908329,667,"+","14032",22913059,22933655,"upstream",-5396,4730,"NearestStart","RHOBTB2",22913059,22933655
"124","ENSG00000008853","8",22909040,22909501,462,"+","14033",22913059,22933655,"upstream",-4019,3558,"NearestStart","RHOBTB2",22913059,22933655
"125","ENSG00000008853","8",22924887,22925173,287,"+","14034",22913059,22933655,"inside",11828,8482,"NearestStart","RHOBTB2",22913059,22933655
"126","ENSG00000008853","8",22936109,22936535,427,"+","14035",22913059,22933655,"downstream",23050,2454,"NearestStart","RHOBTB2",22913059,22933655
"127","ENSG00000009709","1",18867772,18868199,428,"+","00156",18830087,18944010,"inside",37685,37685,"NearestStart","PAX7",18830087,18944010
"128","ENSG00000009709","1",18869198,18869913,716,"+","00157",18830087,18944010,"inside",39111,39111,"NearestStart","PAX7",18830087,18944010
"129","ENSG00000009709","1",18925444,18925842,399,"+","00158",18830087,18944010,"inside",95357,18168,"NearestStart","PAX7",18830087,18944010
"130","ENSG00000009950","7",72664920,72665643,724,"-","13413",72645460,72676806,"inside",11886,11163,"NearestStart","MLXIPL",72645460,72676806
"131","ENSG00000009950","7",72665855,72666178,324,"-","13414",72645460,72676806,"inside",10951,10628,"NearestStart","MLXIPL",72645460,72676806
"132","ENSG00000009950","7",72666627,72667049,423,"-","13415",72645460,72676806,"inside",10179,9757,"NearestStart","MLXIPL",72645460,72676806
"133","ENSG00000010361","19",54986033,54986378,346,"-","07516",55001987,55008339,"downstream",22306,15609,"NearestStart","FUZ",55001987,55008339
"134","ENSG00000010818","6",143208595,143209140,546,"-","12936",143114297,143308031,"inside",99436,94298,"NearestStart","HIVEP2",143114297,143308031
"135","ENSG00000010818","6",143248069,143248535,467,"-","12937",143114297,143308031,"inside",59962,59496,"NearestStart","HIVEP2",143114297,143308031
"136","ENSG00000010818","6",143309043,143309509,467,"-","12938",143114297,143308031,"upstream",-1012,1012,"NearestStart","HIVEP2",143114297,143308031
"137","ENSG00000011105","12",3148087,3148692,606,"+","02933",3056818,3265990,"inside",91269,91269,"NearestStart","TSPAN9",3056818,3265990
"138","ENSG00000011105","12",3150015,3150602,588,"+","02934",3056818,3265990,"inside",93197,93197,"NearestStart","TSPAN9",3056818,3265990
"139","ENSG00000011105","12",3247439,3247721,283,"+","02935",3056818,3265990,"inside",190621,18269,"NearestStart","TSPAN9",3056818,3265990
"140","ENSG00000011105","12",3248736,3249008,273,"+","02936",3056818,3265990,"inside",191918,16982,"NearestStart","TSPAN9",3056818,3265990
"141","ENSG00000011198","3",43764622,43764959,338,"+","10159",43707379,43735295,"downstream",57243,29327,"NearestStart","ABHD5",43707379,43735295
"142","ENSG00000011198","3",43882902,43883547,646,"+","10160",43707379,43735295,"downstream",175523,147607,"NearestStart","ABHD5",43707379,43735295
"143","ENSG00000011304","19",732942,733894,953,"+","07103",748411,763327,"upstream",-15469,14517,"NearestStart","PTBP1",748411,763327
"144","ENSG00000011347","11",61127071,61127382,312,"-","02484",61039369,61104874,"upstream",-22197,22197,"NearestStart","",61039369,61104874
"145","ENSG00000011422","19",48863528,48864202,675,"-","07436",48842111,48866342,"inside",2814,2140,"NearestStart","PLAUR",48842111,48866342
"146","ENSG00000011523","2",65145637,65146175,539,"+","07994",65136999,65167618,"inside",8638,8638,"NearestStart","CEP68",65136999,65167618
"147","ENSG00000011566","2",39460389,39460708,320,"-","07808",39329930,39517797,"inside",57408,57089,"NearestStart","MAP4K3",39329930,39517797
"148","ENSG00000011566","2",39528833,39529097,265,"-","07809",39329930,39517797,"upstream",-11036,11036,"NearestStart","MAP4K3",39329930,39517797
"149","ENSG00000012048","17",38519668,38520023,356,"-","06200",38449840,38530994,"inside",11326,10971,"NearestStart","BRCA1",38449840,38530994
"150","ENSG00000012061","19",50619247,50619738,492,"-","07453",50604712,50619017,"upstream",-230,230,"NearestStart","ERCC1",50604712,50619017
"151","ENSG00000012061","19",50624675,50624876,202,"-","07454",50604712,50619017,"upstream",-5658,5658,"NearestStart","ERCC1",50604712,50619017
"152","ENSG00000012124","19",40501723,40502282,560,"+","07365",40511919,40530098,"upstream",-10196,9637,"NearestStart","CD22",40511919,40530098
"153","ENSG00000012171","3",50272353,50272887,535,"+","10193",50280044,50289574,"upstream",-7691,7157,"NearestStart","SEMA3B",50280044,50289574
"154","ENSG00000012779","10",45289614,45289883,270,"+","01602",45189635,45261567,"downstream",99979,28047,"NearestStart","ALOX5",45189635,45261567
"155","ENSG00000013297","3",171684963,171685369,407,"+","10673",171619359,171634577,"downstream",65604,50386,"NearestStart","CLDN11",171619359,171634577
"156","ENSG00000013297","3",171693446,171693772,327,"+","10674",171619359,171634577,"downstream",74087,58869,"NearestStart","CLDN11",171619359,171634577
"157","ENSG00000013297","3",171694176,171694428,253,"+","10675",171619359,171634577,"downstream",74817,59599,"NearestStart","CLDN11",171619359,171634577
"158","ENSG00000013374","7",150684313,150684549,237,"+","13887",150669791,150706463,"inside",14522,14522,"NearestStart","NUB1",150669791,150706463
"159","ENSG00000013573","12",31118307,31119047,741,"+","03095",31118046,31148999,"inside",261,261,"NearestStart","DDX11",31118046,31148999
"160","ENSG00000013588","12",12927395,12928248,854,"+","03002",12934983,12957833,"upstream",-7588,6735,"NearestStart","GPRC5A",12934983,12957833
"161","ENSG00000014257","3",133427221,133427442,222,"+","10487",133518941,133569831,"upstream",-91720,91499,"NearestStart","ACPP",133518941,133569831
"162","ENSG00000014257","3",133469161,133469556,396,"+","10488",133518941,133569831,"upstream",-49780,49385,"NearestStart","ACPP",133518941,133569831
"163","ENSG00000014257","3",133475405,133475695,291,"+","10489",133518941,133569831,"upstream",-43536,43246,"NearestStart","ACPP",133518941,133569831
"164","ENSG00000015133","14",90910551,90910892,342,"-","04445",90807422,90953886,"inside",43335,42994,"NearestStart","CCDC88C",90807422,90953886
"165","ENSG00000015153","12",40915521,40915789,269,"-","03154",40837173,40918317,"inside",2796,2528,"NearestStart","YAF2",40837173,40918317
"166","ENSG00000015413","16",88207281,88207818,538,"+","05696",88214501,88232365,"upstream",-7220,6683,"NearestStart","DPEP1",88214501,88232365
"167","ENSG00000015413","16",88226901,88227450,550,"+","05697",88214501,88232365,"inside",12400,4915,"NearestStart","DPEP1",88214501,88232365
"168","ENSG00000015475","22",16649278,16649895,618,"-","09599",16596908,16637263,"upstream",-12015,12015,"NearestStart","BID",16596908,16637263
"169","ENSG00000015592","8",27194143,27194630,488,"-","14084",27149738,27171843,"upstream",-22300,22300,"NearestStart","STMN4",27149738,27171843
"170","ENSG00000015592","8",27195991,27196292,302,"-","14085",27149738,27171843,"upstream",-24148,24148,"NearestStart","STMN4",27149738,27171843
"171","ENSG00000016082","5",51175070,51175333,264,"+","11579",50714715,50726308,"downstream",460355,448762,"NearestStart","ISL1",50714715,50726308
"172","ENSG00000017373","17",33994848,33995354,507,"-","06107",33939785,34015709,"inside",20861,20355,"NearestStart","",33939785,34015709
"173","ENSG00000017373","17",34015156,34016076,921,"-","06108",33939785,34015709,"overlapStart",553,367,"NearestStart","",33939785,34015709
"174","ENSG00000017427","12",101451883,101452282,400,"-","03496",101313809,101398546,"upstream",-53337,53337,"NearestStart","IGF1",101313809,101398546
"175","ENSG00000017427","12",101536386,101536701,316,"-","03497",101313809,101398546,"upstream",-137840,137840,"NearestStart","IGF1",101313809,101398546
"176","ENSG00000018236","12",39554937,39555213,277,"+","03147",39588423,39750361,"upstream",-33486,33210,"NearestStart","CNTN1",39588423,39750361
"177","ENSG00000018236","12",39583161,39583462,302,"+","03148",39588423,39750361,"upstream",-5262,4961,"NearestStart","CNTN1",39588423,39750361
"178","ENSG00000018408","3",150775963,150776525,563,"-","10573",150717713,150858472,"inside",82509,58250,"NearestStart","WWTR1",150717713,150858472
"179","ENSG00000018408","3",150857903,150859996,2094,"-","10574",150717713,150858472,"overlapStart",569,569,"NearestStart","WWTR1",150717713,150858472
"180","ENSG00000018625","1",158359492,158359824,333,"+","00797",158349930,158379996,"inside",9562,9562,"NearestStart","ATP1A2",158349930,158379996
"181","ENSG00000018625","1",158361023,158361570,548,"+","00798",158349930,158379996,"inside",11093,11093,"NearestStart","ATP1A2",158349930,158379996
"182","ENSG00000018625","1",158368365,158368870,506,"+","00799",158349930,158379996,"inside",18435,11126,"NearestStart","ATP1A2",158349930,158379996
"183","ENSG00000018699","2",32697228,32697444,217,"+","07760",32706633,32899620,"upstream",-9405,9189,"NearestStart","TTC27",32706633,32899620
"184","ENSG00000019186","20",52173348,52174142,795,"-","09362",52203395,52223931,"downstream",50583,29253,"NearestStart","CYP24A1",52203395,52223931
"185","ENSG00000019505","11",45246013,45246337,325,"-","02427",45218428,45264446,"inside",18433,18109,"NearestStart","SYT13",45218428,45264446
"186","ENSG00000019991","7",81105546,81105861,316,"-","13520",81169274,81237388,"downstream",131842,63413,"NearestStart","HGF",81169274,81237388
"187","ENSG00000019991","7",81152155,81152613,459,"-","13521",81169274,81237388,"downstream",85233,16661,"NearestStart","HGF",81169274,81237388
"188","ENSG00000019991","7",81220707,81220910,204,"-","13522",81169274,81237388,"inside",16681,16478,"NearestStart","HGF",81169274,81237388
"189","ENSG00000019991","7",81313685,81313937,253,"-","13523",81169274,81237388,"upstream",-76297,76297,"NearestStart","HGF",81169274,81237388
"190","ENSG00000020577","14",54188741,54188976,236,"+","04244",54104387,54325595,"inside",84354,84354,"NearestStart","SAMD4A",54104387,54325595
"191","ENSG00000020577","14",54206203,54206848,646,"+","04245",54104387,54325595,"inside",101816,101816,"NearestStart","SAMD4A",54104387,54325595
"192","ENSG00000020633","1",25191981,25192392,412,"-","00246",25098589,25164088,"upstream",-27893,27893,"NearestStart","RUNX3",25098589,25164088
"193","ENSG00000021355","6",2798989,2799188,200,"-","12305",2778735,2787095,"upstream",-11894,11894,"NearestStart","SERPINB1",2778735,2787095
"194","ENSG00000021461","7",99262808,99263115,308,"+","13591",99263572,99302109,"upstream",-764,457,"NearestStart","CYP3A43",99263572,99302109
"195","ENSG00000021762","11",3137105,3137538,434,"-","02190",3064922,3143116,"inside",6011,5578,"NearestStart","OSBPL5",3064922,3143116
"196","ENSG00000021826","2",211114288,211114648,361,"+","08630",211129583,211252074,"upstream",-15295,14935,"NearestStart","CPS1",211129583,211252074
"197","ENSG00000021826","2",211121773,211122307,535,"+","08631",211129583,211252074,"upstream",-7810,7276,"NearestStart","CPS1",211129583,211252074
