# This file is generated by MACS								
# ARGUMENTS LIST:								
# name = GR_Dex_Peaks								
# ChIP-seq file = signal.bed								
# control file = bg.bed								
# effective genome size = 2.70e+09								
# tag size = 25								
# band width = 300								
# model fold = 20								
# pvalue cutoff = 1.00e-10								
"# Ranges for calculating regional lambda are : 1000,5000,10000"								
# d = 67								
chr	start	end	length	summit	tags	something	fold_enrichment	FDR(%)
chr1	15555961	15556358	398	224	52	180.08	12.2	7.22
chr1	15615061	15615576	516	175	88	339.07	14.91	2.79
chr1	15622154	15622686	533	254	117	664.4	22.07	0.99
chr1	15623251	15623861	611	426	95	373.2	14.74	2.36
chr1	15625834	15626356	523	269	124	385.51	10.13	2.3
chr1	15783884	15784341	458	296	74	126.98	6.07	13.46
chr1	15973709	15973992	284	161	30	144.53	15.4	10.28
chr1	15996741	15997406	666	479	100	202.15	12.71	5.73
chr1	15998083	15999953	1871	1594	911	1835.83	10.9	0.76
chr1	16214730	16215496	767	514	213	1178.56	37.04	1
chr1	16266099	16266603	505	287	181	1205.8	34.38	1.04
chr1	16267469	16268022	554	420	57	162.29	8.67	8.42
chr1	16272117	16272964	848	228	134	205.06	9.57	5.63
chr1	16274936	16275468	533	211	133	274.28	7.31	3.51
chr1	16372539	16373019	481	289	142	355.25	11.26	2.57
chr1	16378197	16378516	320	156	36	111.7	9.2	17.55
chr1	16380936	16381330	395	126	71	106.34	5.42	19.62
chr1	16388104	16388455	352	192	129	808.98	21.55	0.93
chr1	16394555	16394888	334	168	28	143.97	18.58	10.34
chr1	16449710	16449999	290	143	21	122.3	18.24	14.35
chr1	16764403	16764678	276	126	58	110.45	5.49	18.05
chr1	16857303	16857742	440	166	96	143.6	5.22	10.42
chr1	16949655	16949809	155	73	16	124.95	16.18	13.96
chr1	16963784	16965471	1688	761	408	672.14	14.28	1
chr1	16965763	16966362	600	340	162	201.12	6.81	5.76
chr1	17177541	17177892	352	169	42	111.41	8.13	17.66
chr1	17432785	17433195	411	224	115	139.77	4.75	11.08
chr1	17513788	17514201	414	178	52	218.54	13.01	5.1
chr1	17674903	17675430	528	382	86	542.27	28	1.39
chr1	17780717	17781057	341	176	44	205.54	19.8	5.63
chr1	17815790	17816143	354	174	30	109.21	10.07	18.49
chr1	17823975	17824372	398	224	74	436.63	19.8	1.98
chr1	17967613	17967924	312	144	39	200.15	15.45	5.79
chr1	18072148	18072471	324	184	34	221.81	21.68	4.96
chr1	18240264	18240497	234	130	21	130.73	17.62	12.75
chr1	18867772	18868199	428	239	93	356.37	12.73	2.56
chr1	18869198	18869913	716	326	264	1777.66	41.81	0.86
chr1	18925444	18925842	399	174	106	913.62	44.62	0.87
chr1	19143902	19144336	435	187	108	698.54	30.65	0.97
chr1	19177936	19178280	345	162	42	268.51	31.36	3.58
chr1	19265321	19265719	399	175	77	379.95	18.6	2.33
chr1	19378135	19378320	186	122	16	112.65	14.56	17.28
chr1	19703861	19704186	326	158	33	181.89	24.93	7.1
chr1	19812501	19812864	364	184	80	795.84	51.76	0.91
chr1	19816474	19816670	197	104	16	108.83	19.41	18.63
chr1	19818858	19819123	266	146	23	154.55	16.18	9.22
chr1	19839057	19839480	424	184	97	692.08	35.07	0.96
chr1	19839848	19840298	451	303	45	112.94	6.9	17.17
chr1	19842185	19842432	248	100	35	114.8	9.84	16.56
chr1	20391554	20391941	388	178	48	336.92	24.39	2.8
chr1	20410542	20410960	419	203	85	574.86	38.21	1.21
chr1	20449756	20450124	369	227	37	111.56	8.97	17.57
chr1	20501022	20501500	479	228	174	1815.5	89.32	0.75
chr1	20693928	20694232	305	132	26	108.62	12.24	18.71
chr1	20897312	20897810	499	241	75	248.41	9.57	4.13
chr1	20912463	20912861	399	234	50	232.32	13.92	4.64
chr1	21046657	21046971	315	137	34	145.7	12.57	10.12
chr1	21095895	21096375	481	180	122	760.81	22.65	0.91
chr1	21221319	21221644	326	167	39	227.32	20.33	4.75
chr1	21460723	21462226	1504	909	493	1407.93	12.75	1.21
chr1	21463979	21464362	384	260	79	329.61	13.82	2.85
chr1	21475365	21475801	437	317	100	801.73	41.64	0.92
chr1	21518585	21519070	486	199	150	324.27	6.9	2.97
chr1	21521599	21522026	428	297	43	113.71	8.13	16.95
chr1	21531252	21531550	299	155	29	120.18	13.16	14.91
chr1	21540568	21540953	386	186	59	212.49	14.62	5.35
chr1	21739042	21739368	327	173	38	177.9	11.61	7.39
chr1	21792376	21792651	276	72	36	163.12	13.17	8.33
chr1	21837781	21838171	391	193	48	110.95	7.94	17.91
chr1	21838646	21839050	405	227	90	473.77	15.75	1.75
chr1	21964240	21964473	234	130	24	177.34	21.03	7.44
chr1	21975176	21975439	264	123	25	166.48	17.74	8.12
chr1	22093662	22094078	417	236	123	823.39	31.4	0.95
chr1	22112408	22112727	320	157	28	107.08	10.94	19.33
chr1	22126396	22127174	779	357	214	911.57	20.49	0.87
chr1	22130016	22130600	585	323	157	366.31	9.72	2.49
chr1	22131169	22131534	366	194	45	117.46	9.49	15.72
chr1	22136169	22136747	579	420	85	103.44	5.12	21.1
chr1	22431420	22431713	294	122	26	103.79	11.21	20.87
chr1	22547409	22547889	481	314	89	490.51	26.02	1.71
chr1	22558512	22558799	288	181	37	297.13	35.59	3.23
chr1	22613234	22613757	524	270	129	576.92	18.53	1.15
chr1	22650698	22651174	477	166	69	101.45	6.65	22.12
chr1	23031091	23031417	327	166	56	260.41	20.6	3.77
chr1	23052572	23052945	374	209	74	511.08	38.51	1.57
chr1	23168387	23168714	328	171	63	596.17	45.29	1.1
chr1	23209792	23210162	371	184	51	332.52	33.61	2.85
chr1	23387437	23388294	858	310	204	635.86	11.38	1.04
chr1	23395984	23396377	394	191	62	170.32	10.73	7.8
chr1	23571088	23571429	342	201	30	103.26	7.78	21.23
chr1	23576132	23576503	372	184	51	238.89	14.91	4.51
chr1	23649041	23649259	219	154	19	107.78	15.54	19.07
chr1	23676467	23676848	382	87	55	367.22	21.68	2.47
chr1	23761131	23761714	584	403	181	591.98	14.74	1.12
chr1	23784467	23785257	791	342	282	925.94	13.2	0.89
chr1	23792563	23793264	702	231	154	487.9	14.19	1.7
chr1	23807950	23808242	293	119	27	177.34	19.57	7.44
chr1	24024284	24024674	391	214	51	106.23	7.63	19.67
chr1	24150731	24151068	338	112	44	248.33	16.26	4.13
chr1	24183236	24183988	753	557	138	733.68	21.68	0.92
chr1	24194453	24194703	251	93	21	139.86	14.56	11.05
chr1	24217609	24218279	671	422	138	549.45	15.47	1.36
chr1	24246281	24246678	398	218	57	337.35	24.39	2.8
chr1	24256266	24256554	289	134	33	181.29	21.04	7.2
chr1	24269827	24270226	400	160	87	378.81	18.29	2.33
chr1	24320558	24320934	377	203	60	366.22	28.24	2.48
chr1	24341633	24341920	288	152	37	148.08	11.03	9.93
chr1	24488718	24489384	667	464	85	276.65	11.18	3.42
chr1	24490274	24490590	317	107	77	535.28	31.11	1.4
chr1	24493232	24493827	596	283	199	935.73	23.79	0.9
chr1	24493830	24494287	458	205	116	368.81	9.15	2.43
chr1	24511997	24512193	197	118	29	238.64	25.67	4.51
chr1	24514511	24514855	345	204	35	229	26.87	4.74
chr1	24537352	24537678	327	181	40	156.95	12.05	8.95
chr1	24562096	24562415	320	153	31	112.38	10.16	17.39
chr1	24564342	24564695	354	112	30	104.3	7.39	20.62
chr1	24573916	24574241	326	131	59	485.63	47	1.69
chr1	24735636	24735947	312	143	24	149.1	24.26	9.81
chr1	24740132	24740348	217	126	29	119.94	10.09	15.01
chr1	24757534	24757945	412	258	181	1603.41	56.59	1.18
chr1	24758172	24758455	284	85	41	224.57	13.16	4.86
chr1	24882775	24883012	238	137	26	142.04	13.39	10.69
chr1	24929463	24929842	380	129	73	365.42	20.05	2.48
chr1	24934390	24934785	396	209	64	490.99	30.02	1.71
chr1	24992904	24993177	274	181	117	1482.27	121.32	1.12
chr1	25191981	25192392	412	167	47	278.22	22.28	3.37
chr1	25319426	25319658	233	62	30	225.13	26.18	4.85
chr1	25366695	25367145	451	269	48	120.39	7.43	14.84
chr1	25783919	25784196	278	102	47	335.04	30.49	2.82
chr1	25880899	25881255	357	166	41	278.39	29.81	3.37
chr1	26079723	26080105	383	237	68	402.41	27.35	2.16
chr1	26088836	26089136	301	153	45	278.07	21.68	3.37
chr1	26089487	26089859	373	194	35	126.23	9.19	13.63
chr1	26235505	26235932	428	231	91	452.88	17.25	1.87
chr1	26274918	26275330	413	203	120	1154.86	77.82	1.04
chr1	26437845	26438055	211	122	20	115.63	19.33	16.27
chr1	26535518	26536100	583	261	115	283.77	8.13	3.34
chr1	26819362	26820697	1336	287	480	326.01	4.61	2.93
chr1	27011789	27012114	326	172	49	418.49	37.2	2.08
chr1	27048286	27048980	695	310	324	1709.86	21.09	0.79
chr1	27160669	27161344	676	375	246	2205.29	60.98	0.88
chr1	27176860	27177207	348	98	45	357.99	30.73	2.55
chr1	27189672	27190194	523	182	75	189.35	9.33	6.58
chr1	27190328	27191014	687	191	186	175.64	5.79	7.48
chr1	27198482	27198978	497	203	211	1333.28	29.99	1.2
chr1	27210077	27210435	359	222	52	118.2	6.06	15.51
chr1	27317822	27318093	272	129	39	176.13	14.45	7.45
chr1	27344945	27345402	458	193	109	703.47	35.12	0.98
chr1	27498135	27499123	989	798	205	1048.83	30.9	0.97
chr1	27565871	27566392	522	289	128	529.15	18.34	1.44
chr1	27721390	27721692	303	153	32	107.93	10.45	19.03
chr1	27727589	27728095	507	150	55	108.62	5.03	18.7
chr1	27739387	27739830	444	194	83	242.02	13.76	4.4
chr1	27741126	27741898	773	515	155	417.69	8.13	2.08
chr1	27763099	27763499	401	158	68	163.6	8.13	8.28
chr1	27793361	27793738	378	153	53	252.02	15.58	3.95
chr1	27800916	27801288	373	194	47	139.64	6.78	11.13
chr1	28133982	28134331	350	178	33	120.45	9.9	14.83
chr1	28495679	28496074	396	213	63	251.69	16.26	3.98
chr1	28513012	28513420	409	227	62	300.4	15.61	3.23
chr1	28637033	28637537	505	291	88	559.08	22.25	1.35
chr1	28700142	28700374	233	125	21	145.03	19.13	10.2
chr1	29095563	29095897	335	193	45	249.58	17.12	4.07
chr1	29438377	29438980	604	448	67	155.45	8.2	9.13
chr1	29470786	29471154	369	245	78	184.79	8.59	6.83
chr1	29616238	29616490	253	121	20	102.99	12.78	21.4
chr1	30188699	30188908	210	100	17	114.3	16.18	16.68
chr1	30355310	30355742	433	280	64	398.72	21.04	2.24
chr1	31033986	31034402	417	225	165	1744.37	84.56	0.83
chr1	31348113	31348422	310	158	28	125.17	12.65	13.91
chr1	31416148	31416578	431	320	64	143.27	7.19	10.46
chr1	31922280	31922577	298	167	33	129.58	13.01	12.95
chr1	31929032	31929406	375	191	51	180.75	13.47	7.23
chr1	32081058	32081441	384	205	109	487.1	18.86	1.7
chr1	32081765	32082013	249	126	29	158.48	19.18	8.78
chr1	32149137	32149473	337	225	53	388.35	23.23	2.31
chr1	32740086	32740489	404	195	114	831.18	33.88	0.96
chr1	32998248	32998661	414	235	131	220.1	5.67	5.02
chr1	33576906	33577329	424	219	94	554.84	22.28	1.37
chr1	33580353	33580902	550	343	125	209.4	8.22	5.47
chr1	33996935	33997135	201	127	23	181.27	27.5	7.19
chr1	35019228	35019598	371	171	49	195.69	13.36	6.09
chr1	35879515	35879907	393	209	86	108.08	6.08	18.97
chr1	36393881	36395328	1448	433	175	128.86	4.07	13.1
chr1	36426152	36426744	593	343	181	1111.6	28.22	1.05
chr1	36438096	36438782	687	238	297	3100	130.36	1.07
chr1	36441469	36442827	1359	704	506	2778.9	26.76	1.17
chr1	36486896	36487170	275	114	29	140.08	15.4	10.99
chr1	36597678	36597940	263	73	26	156.23	15.78	9.04
chr1	36724766	36725528	763	509	145	234.26	8.85	4.62
chr1	37693115	37693713	599	305	310	969.2	13.24	0.94
chr1	37699645	37700348	704	362	250	2384.19	60.26	1.08
chr1	37709886	37710441	556	191	205	492.15	8.97	1.71
chr1	37717736	37718573	838	304	404	966.37	12.47	0.94
chr1	37722858	37723257	400	200	53	136.01	8.05	11.82
chr1	37737217	37737794	578	338	138	1172.02	58.54	0.99
chr1	37772609	37773051	443	128	71	615.11	53.38	1.14
chr1	38100620	38101050	431	259	70	407.27	18.94	2.15
chr1	38247320	38247696	377	180	67	477.18	38.91	1.76
chr1	39236083	39236358	276	157	36	291.94	33.97	3.29
chr1	39757716	39758113	398	191	54	140.77	7.22	10.95
chr1	40165911	40166229	319	146	34	177.16	15.3	7.44
chr1	40172569	40172894	326	146	62	310.84	10.84	3.16
chr1	40195653	40195924	272	120	30	139.16	13.29	11.21
chr1	40399423	40399812	390	168	111	175.95	6.05	7.45
chr1	41104684	41104999	316	173	47	228.74	16.26	4.74
chr1	41106576	41106942	367	143	49	301.97	20.33	3.21
chr1	41113937	41114350	414	133	66	303.04	12.78	3.23
chr1	41149696	41149913	218	66	26	206.83	32.35	5.58
chr1	41157633	41158095	463	174	91	767.58	39.38	0.92
chr1	41182572	41182995	424	266	51	334.48	17.51	2.82
chr1	41215144	41215612	469	217	79	219.53	8.63	5.06
chr1	41241962	41242304	343	160	66	250.82	13.16	3.98
chr1	41347504	41348499	996	217	144	1058.04	51.49	0.98
chr1	41389035	41389573	539	362	70	433.03	18.43	2.01
chr1	41720571	41720881	311	94	46	101.08	6.02	22.34
chr1	41723839	41724131	293	109	31	102.94	9.1	21.43
chr1	41726400	41726805	406	222	106	691.3	37.34	0.96
chr1	41731262	41731709	448	218	132	813.87	24.64	0.94
chr1	41734396	41735033	638	276	482	2655.75	21.79	1.07
chr1	41736914	41737588	675	264	160	746.17	15.01	0.89
chr1	41910379	41910668	290	144	27	104.37	8.87	20.58
chr1	42050826	42051151	326	217	45	254.35	17.12	3.92
chr1	42087718	42088010	293	147	21	117.63	21.78	15.68
chr1	42091103	42091296	194	116	16	109.85	21.03	18.29
chr1	42101194	42101563	370	213	41	106.48	8.13	19.53
chr1	42113847	42114087	241	137	26	195.96	25.88	6.06
chr1	42133862	42134064	203	96	39	348.8	37.94	2.59
chr1	42140549	42140837	289	110	30	142.54	15.4	10.59
chr1	42403672	42404489	818	221	206	682.1	17.07	1.02
chr1	42550852	42551224	373	173	53	438.44	43.67	1.97
chr1	42578378	42578682	305	170	34	124.5	11.44	13.99
chr1	42913767	42914060	294	127	22	135.7	24.26	11.85
chr1	43174486	43175213	728	333	262	839.15	11.64	0.98
chr1	43179253	43179702	450	192	82	232.4	10.63	4.65
chr1	43184703	43185166	464	197	117	681.15	27.8	1.02
chr1	43185461	43185788	328	262	60	396.94	17.79	2.23
chr1	43257624	43257812	189	96	15	101.67	16.18	22.06
chr1	43269992	43270263	272	207	38	317.86	27.5	3.03
chr1	43277574	43277933	360	190	68	586.5	39.3	1.11
chr1	43444792	43445414	623	443	70	132.2	5.91	12.44
chr1	43445420	43446231	812	622	93	277.62	9.97	3.39
chr1	43479617	43479982	366	168	66	605.94	50.14	1.12
chr1	43710711	43711081	371	199	62	211.23	10.71	5.46
chr1	43838593	43838924	332	198	52	273.65	18.68	3.5
chr1	44021810	44022541	732	285	203	1215.93	34.05	1.06
chr1	44478144	44478685	542	272	115	834.33	42.89	0.97
chr1	44565805	44566618	814	723	168	439.62	7.2	1.97
chr1	44719653	44719907	255	147	26	189.87	25.88	6.51
chr1	44775924	44776188	265	125	37	309.97	35.59	3.16
chr1	44791048	44791437	390	222	61	476.71	35.99	1.76
chr1	44796039	44796496	458	182	80	633.62	41.28	1.04
chr1	44898475	44898802	328	173	36	175.28	14.55	7.5
chr1	44946588	44946938	351	212	44	251.67	17.22	3.98
chr1	44959832	44960320	489	142	57	108.92	5.3	18.64
chr1	45024403	45024974	572	164	82	119.46	5	15.13
chr1	45418274	45418573	300	115	57	517.49	60.61	1.54
chr1	46110440	46110676	237	123	29	114.34	9.29	16.67
chr1	46114819	46115081	263	177	28	207.98	25.88	5.52
chr1	46123029	46123331	303	178	29	202.02	32.35	5.73
chr1	46208219	46208440	222	116	17	110.41	17.79	18.05
chr1	46322863	46323020	158	56	14	102.53	19.41	21.65
chr1	46478460	46478613	154	111	16	125.39	16.18	13.84
chr1	46758677	46759013	337	152	44	118.03	7.14	15.58
chr1	46760894	46761183	290	197	33	138.76	9.57	11.33
chr1	46851324	46851713	390	238	51	188.62	11.92	6.64
chr1	46881545	46881819	275	158	23	121.04	13.94	14.66
chr1	47044847	47045313	467	281	106	829.3	43.04	0.96
chr1	47413468	47413789	322	148	39	181.38	11.09	7.19
chr1	47416328	47416595	268	155	30	141.93	14.21	10.69
chr1	47715900	47716793	894	562	279	1032.26	17.74	0.96
chr1	47719409	47719690	282	146	26	114.11	10.27	16.76
chr1	47763630	47764037	408	193	47	347.8	31.88	2.63
chr1	48132762	48133277	516	302	126	1175.23	67.11	1
chr1	48133460	48133693	234	117	21	112.07	14.09	17.48
chr1	48144238	48144571	334	232	63	544.7	36.59	1.4
chr1	48288115	48288352	238	131	23	127.84	16.26	13.35
chr1	49116738	49117122	385	197	73	449.39	28.83	1.85
chr1	49156039	49156870	832	620	175	621.05	15.91	1.12
chr1	49169834	49170182	349	155	34	122.46	10.16	14.34
chr1	49170194	49170591	398	205	53	278.35	20.33	3.37
chr1	49177385	49177746	362	201	86	849.22	73.91	0.95
chr1	50448048	50448418	371	195	36	248.1	22.65	4.14
chr1	51216042	51216758	717	593	147	113.02	4.7	17.15
chr1	51545067	51545577	511	276	78	463.74	21.86	1.77
chr1	51860632	51861043	412	178	40	153.18	8.87	9.33
chr1	51892320	51892594	275	176	21	132.06	14.56	12.49
chr1	51928428	51928808	381	196	80	332.31	19.04	2.85
chr1	51928862	51929284	423	223	172	991.07	25.37	0.91
chr1	51967600	51968034	435	237	65	132.07	6.97	12.49
chr1	52187029	52187244	216	100	20	142.43	24.26	10.62
chr1	52875278	52875641	364	218	60	362.38	19.51	2.54
chr1	52897029	52897323	295	104	41	300.76	23.05	3.22
chr1	52897706	52897956	251	153	21	118.1	18.76	15.57
chr1	52900795	52901469	675	401	238	1647.62	43.7	1.11
chr1	52903530	52904297	768	524	328	3100	118.91	1.07
chr1	52905011	52905330	320	152	28	106.12	10.07	19.72
chr1	52907935	52908267	333	127	144	1822.53	85.33	0.75
chr1	52908861	52909135	275	119	21	126.77	18.24	13.54
chr1	53345616	53346164	549	427	64	112.91	6.1	17.18
chr1	53410155	53410602	448	244	61	426.45	25.02	2.03
chr1	53410967	53411305	339	139	40	276.47	25.75	3.42
chr1	53558412	53558766	355	156	34	125.53	10.6	13.82
chr1	54365933	54366111	179	92	18	101.91	12.2	21.93
chr1	54525434	54525771	338	162	31	160.06	18.43	8.58
chr1	54726420	54726871	452	251	106	143.72	6.56	10.37
chr1	54780274	54781332	1059	948	226	659.65	10.56	0.98
chr1	54806204	54806539	336	170	40	242.09	17.34	4.4
chr1	54853825	54854090	266	165	24	109.46	9.94	18.46
chr1	54861974	54862193	220	131	19	123	17.58	14.24
chr1	55103738	55104170	433	186	59	217.35	13.64	5.17
chr1	55105942	55106281	340	177	36	173.28	17.48	7.6
chr1	55113224	55113688	465	193	172	1636.91	61.43	1.1
chr1	55225711	55226160	450	167	65	438.11	31.19	1.97
chr1	55667280	55667920	641	302	259	373.96	8.68	2.36
chr1	55681741	55682212	472	310	59	128.25	7.95	13.26
chr1	55685740	55686075	336	136	38	155.32	11.52	9.14
chr1	55728852	55729097	246	67	22	135.81	13.55	11.85
chr1	55814109	55814567	459	169	111	723.03	39.03	0.93
chr1	55819047	55819498	452	216	80	681.31	47.07	1.02
chr1	55958577	55958791	215	134	18	122.49	16.18	14.34
chr1	56684753	56685476	724	515	192	1882.52	107.05	0.8
chr1	56849086	56849277	192	133	15	100.69	17.79	22.57
chr1	56926817	56927102	286	114	32	110.45	9.53	18.05
chr1	57026448	57026731	284	170	41	346.86	32.35	2.64
chr1	59054486	59054885	400	177	69	154.76	5.69	9.2
chr1	59063349	59063599	251	98	32	190.21	15.3	6.5
chr1	59128411	59128622	212	146	18	115.53	15.97	16.33
chr1	59160562	59160877	316	205	50	287.63	19.36	3.32
chr1	59167924	59168580	657	440	171	764.68	18.43	0.92
chr1	59171054	59171586	533	246	97	297.22	10.5	3.22
chr1	59227045	59227325	281	126	30	221.78	30.73	4.96
chr1	59282073	59282401	329	165	27	144.96	18.76	10.2
chr1	59294268	59294527	260	137	21	136.84	19.41	11.74
chr1	59397911	59398092	182	62	15	104.03	19.41	20.78
chr1	59683324	59683713	390	180	60	513.18	51.76	1.55
chr1	61315133	61315684	552	274	143	209.35	7.7	5.46
