TargetID,Cushings.Delta Beta,GENOME_BUILD,CHR,MAPINFO,PROBE_SNPS,PROBE_SNPS_10,UCSC_REFGENE_NAME,UCSC_REFGENE_GROUP
cg11957130,-0.4232802,37,7,105306555,,,ATXN7L1,Body
cg25165144,-0.3083512,37,12,670974,,rs34979622,B4GALNT3,3'UTR
cg18146226,0.2021028,37,3,187443267,rs61732778,rs73886539,BCL6,Body
cg26757229,0.2150434,37,11,102191336,,,BIRC3,5'UTR
cg07703391,0.2516269,37,1,40226045,,,BMP8B,3'UTR
cg07703391,0.2516269,37,1,40226045,,,PPIE,Body
cg08925606,0.2365038,37,20,31595509,,rs6579061,BPIL1,5'UTR
cg01081438,0.2821489,37,1,92417998,,rs11165885,BRDT,5'UTR
cg04970287,0.2128192,37,6,32362638,,,BTNL2,Body
cg09175792,0.3246298,37,10,50534598,rs12415544,rs10857472,C10orf71,Body
cg22741595,0.4471059,37,11,77532707,,,C11orf67,5'UTR
cg22741595,0.4471059,37,11,77532707,,,RSF1,TSS1500
cg10006614,0.2963221,37,14,95877336,,,C14orf139,TSS1500
cg10772532,0.2259545,37,14,81405846,,rs3742722,C14orf145,1stExon
cg23504246,0.2141567,37,15,49715342,,,C15orf33,Body
cg23504246,0.2141567,37,15,49715342,,,FGF7,TSS200
cg07128503,-0.2075376,37,16,85747424,,,C16orf74,Body
cg18075755,-0.315249,37,4,15429967,,rs13116402,C1QTNF7,5'UTR
cg04990378,0.4569033,37,20,61160996,,,C20orf166,Body
cg17839758,0.2672355,37,21,46077562,,,C21orf29,Body
cg04990378,0.4569033,37,20,61160996,,,MIR133A2,TSS1500
cg17839758,0.2672355,37,21,46077562,,,KRTAP12-3,TSS1500
cg11466708,0.2425406,37,22,23974816,,rs9624239,C22orf43,TSS1500
cg08977311,-0.202434,37,3,168308798,,,C3orf50,Body
cg15841665,0.2085603,37,4,5976104,rs7677778,rs6835174,C4orf50,Body
cg11976616,0.221027,37,5,41213172,,,C6,5'UTR
cg21241195,0.2197951,37,6,32289357,,,C6orf10,Body
cg10991855,0.2092867,37,6,109450463,,,C6orf182,TSS200
cg16542356,0.2007629,37,7,1121190,,rs12540123,C7orf50,Body
cg23159970,-0.2897092,37,12,2690385,,rs7311355,CACNA1C,Body
cg24393317,-0.2068389,37,12,2760969,,rs1990322,CACNA1C,Body
cg16652920,0.2293997,37,1,7432614,,,CAMTA1,Body
cg01128042,0.3051839,37,10,115465924,,,CASP7,Body
cg13306870,-0.3419535,37,22,39527583,,rs79502,CBX7,3'UTR
cg25388952,0.2479969,37,17,80084596,,rs11658272,CCDC57,Body
cg13332350,0.213672,37,11,35239907,,rs12285721,CD44,Body
cg12469381,0.3021357,37,7,29519297,,,CHN2,TSS200
cg00027155,0.2034154,37,16,11099199,rs79733927,rs60223258,CLEC16A,Body
cg15411736,0.2457005,37,12,9886905,,rs10844632,CLECL1,TSS1500
cg04246708,0.210196,37,1,246785611,,rs3129547,CNST,Body
cg09545918,0.2386205,37,3,99425497,,,COL8A1,5'UTR
cg04105166,0.2139145,37,12,6836105,,rs78738496,COPS7A,Body
cg09545918,0.2386205,37,3,99425497,,,MIR548G,Body
cg16995742,0.2431254,37,2,237992612,rs78584344,,COPS8,TSS1500
cg16471877,0.3466693,37,6,99817927,,,COQ3,Body
cg23427348,0.2267135,37,4,166301256,,,CPE,Body
cg11128983,0.205025,37,5,175297531,,rs1366116,CPLX2,TSS1500
cg10098373,-0.2935116,37,11,68550390,,,CPT1A,Body
cg18857647,0.2889988,37,11,46321235,,rs11038856,CREB3L1,Body
cg00259849,-0.3369138,37,8,4183880,rs57102073,rs10046752,CSMD1,Body
cg11229715,0.2164157,37,2,225441832,,,CUL3,Body
cg18088486,0.4647163,37,7,101837148,,,CUX1,Body
cg05725925,-0.214403,37,Y,21729058,,rs1183745,CYorf15A,TSS200
cg00321709,-0.2201094,37,10,135341933,,,CYP2E1,Body
cg10862468,-0.2568192,37,10,135342218,rs943975,rs28371741,CYP2E1,Body
cg11445109,-0.2298001,37,10,135343248,,,CYP2E1,Body
cg19469447,-0.2251021,37,10,135341870,rs41299408,,CYP2E1,Body
cg27214960,-0.2336154,37,10,135343280,,,CYP2E1,Body
cg17004290,-0.3301094,37,4,108853384,,rs6849089,CYP2U1,Body
cg11969330,0.2191123,37,4,187125413,,,CYP4V2,Body
cg24976563,-0.4475314,37,14,24587638,,rs77848241,DCAF11,Body
cg20147224,0.3886925,37,11,47236405,,rs4237547,DDB2,TSS200
cg03951394,-0.2296997,37,11,660455,,,DEAF1,Body
cg04178011,0.2299684,37,8,6876155,rs71224676,rs71239275,DEFA3,TSS1500
cg04178011,0.2299684,37,8,6876155,rs71224676,rs71239275,DEFA1B,TSS1500
cg04178011,0.2299684,37,8,6876155,rs71224676,rs71239275,DEFA1,TSS1500
cg03276920,-0.3330804,37,8,6913030,,rs2272719,DEFA5,Body
cg19592003,0.2094007,37,6,49928115,,,DEFB114,Body
cg08657228,0.2345616,37,20,170641,,,DEFB128,TSS1500
cg17530337,0.2121546,37,12,125450666,,,DHX37,Body
cg23209941,0.346399,37,1,232086152,,,DISC1,Body
cg23209941,0.346399,37,1,232086152,,,TSNAX-DISC1,Body
cg01872988,0.440143,37,13,19692744,,,DKFZp686A1627,TSS1500
cg16144436,0.4159577,37,17,7645325,,rs12938680,DNAH2,Body
cg08002427,-0.216201,37,17,11503508,,,DNAH9,Body
cg07437923,0.2178537,37,16,4506231,,,DNAJA3,3'UTR
cg06334689,0.2805915,37,16,30018720,,rs12921753,DOC2A,Body
cg07844442,0.2679826,37,10,129144269,rs7100594,rs7923565,DOCK1,Body
cg02614045,0.2213393,37,5,169129494,,,DOCK2,Body
cg25174338,0.2517866,37,8,25107121,,,DOCK5,Body
cg19353052,-0.2229976,37,12,113516445,rs76356885,rs12817870,DTX1,Body
cg12307373,0.2122505,37,11,103305609,,,DYNC2H1,Body
cg26076233,0.3329932,37,12,120930045,,,DYNLL1,5'UTR
cg22459517,0.2363343,37,19,55587193,,rs71960326,EPS8L1,TSS200
cg04212500,-0.3830428,37,17,27184533,,rs62066838,ERAL1,Body
cg07889790,-0.2566575,37,8,622078,,rs10103269,ERICH1,Body
cg00156497,-0.2288415,37,6,133663589,rs9493599,rs11753937,EYA4,Body
cg15118447,0.2474146,37,6,159220343,rs3102995,,EZR,Body
cg15198148,0.2555677,37,1,46858748,,rs11589812,FAAH,TSS1500
cg05990366,0.2210032,37,12,124773693,,,FAM101A,TSS200
cg19235645,0.2468115,37,12,124787691,,rs12579304,FAM101A,5'UTR
cg15421137,0.2203228,37,5,153372524,,,FAM114A2,3'UTR
cg12344249,0.2088515,37,5,16478970,,,FAM134B,Body
cg02729303,0.2145691,37,5,16508920,,,FAM134B,Body
cg14964115,0.2355271,37,10,116634877,,,FAM160B1,Body
cg15336243,-0.2376825,37,10,15386981,,,FAM171A1,Body
cg27286106,-0.2581619,37,10,46222487,,rs10900236,FAM21C,TSS200
cg15129815,0.2758485,37,18,72102996,,,FAM69C,3'UTR
cg03407524,0.3447317,37,17,80043349,,rs17848939,FASN,Body
cg00456685,0.2628962,37,3,33340829,rs36052497,rs12491883,FBXL2,Body
cg24077401,0.2267579,37,19,40372977,,,FCGBP,Body
cg05305893,0.6229252,37,17,7347123,,rs4151134,FGF11,3'UTR
cg05305893,0.6229252,37,17,7347123,,rs4151134,CHRNB1,TSS1500
cg10058204,0.3710375,37,10,91453851,,,FLJ37201,Body
cg20479209,-0.247188,37,8,142505578,,rs2748404,FLJ43860,Body
cg01021334,0.3394172,37,1,240631817,,,FMN2,Body
cg11251367,0.2263469,37,1,240620177,,,FMN2,Body
cg27281836,0.2004809,37,11,49229833,,rs79122681,FOLH1,Body
cg09281805,0.323151,37,7,4751840,,rs4540325,FOXK1,Body
cg01493009,0.2019387,37,13,41186645,,rs60004847,FOXO1,Body
cg01553548,0.423989,37,4,79282758,,rs1385131,FRAS1,Body
cg03673787,-0.294247,37,17,78079481,,rs8069491,GAA,Body
cg00675157,0.2103487,37,4,46381220,,,GABRA2,Body
cg19935756,-0.2632881,37,4,47423779,,,GABRB1,Body
cg05929129,-0.3256876,37,12,132698423,,rs12582365,GALNT9,Body
cg06766860,0.2807866,37,12,132863983,,rs28506948,GALNT9,Body
cg01055691,0.2316407,37,3,115376349,,rs10934303,GAP43,Body
cg15247483,0.2106073,37,3,111853297,,,GCET2,TSS1500
cg03812172,0.2181859,37,7,44184403,,rs13306388,GCK,3'UTR
cg17738613,0.2663519,37,13,92426491,,,GPC5,Body
cg23283667,-0.2840498,37,8,144293742,rs72614045,,GPIHBP1,TSS1500
cg11758647,-0.2219682,37,6,47624115,,rs1485782,GPR111,TSS1500
cg00143986,0.3168952,37,12,131606752,,rs1211609,GPR133,Body
cg16640962,0.2029427,37,7,124395367,,,GPR37,Body
cg10662047,0.27547,37,11,123472546,,,GRAMD1B,Body
cg17670013,0.2037029,37,5,125762736,,,GRAMD3,Body
cg14615128,-0.2201192,37,7,6568678,,rs56303722,GRID2IP,Body
cg10662395,0.2813821,37,19,597635,,,HCN2,Body
cg04481077,-0.3968142,37,7,817454,,,HEATR2,Body
cg08684066,0.2250128,37,4,89299173,,,HERC6,TSS1500
cg17635970,-0.3295815,37,8,133117602,,,HHLA1,TSS200
cg27083089,-0.3420199,37,6,31322121,,rs2428496,HLA-B,3'UTR
cg22037249,0.2258262,37,6,33037690,,rs66799959,HLA-DPA1,Body
cg14373797,0.2147617,37,6,33053576,,,HLA-DPB1,Body
cg24470466,0.2247627,37,6,32608858,rs28383432,rs4455710,HLA-DQA1,Body
cg06293782,0.2056924,37,6,32713188,rs76753455,rs2213565,HLA-DQA2,Body
cg03930097,0.2910403,37,6,32408596,,rs3129877,HLA-DRA,Body
cg04026937,0.2042941,37,6,32549361,rs1071837,rs17885501,HLA-DRB1,Body
cg09086151,0.2498665,37,6,32550067,rs9469171,rs9269833,HLA-DRB1,Body
cg10385522,-0.3073899,37,6,32558175,rs9270371,rs9270366,HLA-DRB1,TSS1500
cg21810411,0.2891548,37,6,32549139,rs28732319,rs35043862,HLA-DRB1,Body
cg24760581,-0.2422261,37,6,32557970,rs35484182,rs9270341,HLA-DRB1,TSS1500
cg27107292,0.2453556,37,6,32547167,,,HLA-DRB1,Body
cg08265274,0.2019848,37,6,32490444,,,HLA-DRB5,Body
cg23365293,0.2451957,37,6,32489984,,,HLA-DRB5,Body
cg06559318,-0.2040154,37,6,32526260,rs28679786,,HLA-DRB6,Body
cg20649689,0.3347043,37,6,30455885,,,HLA-E,TSS1500
cg06316104,0.2725301,37,6,29796985,,rs1632938,HLA-G,Body
cg25046571,0.3308116,37,6,29794657,,,HLA-G,TSS200
cg01655658,-0.2150046,37,6,30227583,,rs9391807,HLA-L,Body
cg11738485,0.2669332,37,19,12877000,rs35337531,,HOOK2,Body
cg06306564,0.2914059,37,4,57528377,,rs11133451,HOPX,5'UTR
cg04487202,0.2546051,37,17,77454299,,rs12947772,HRNBP3,5'UTR
cg17042243,0.2567896,37,17,77136834,,rs2707040,HRNBP3,5'UTR
cg21272897,0.3334606,37,1,22191453,,,HSPG2,Body
cg26155681,-0.2064546,37,11,20384377,rs76135374,rs3808988,HTATIP2,TSS1500
cg16570885,0.3227502,37,3,185476452,,,IGF2BP2,Body
cg26642774,0.2709474,37,19,18170383,,,IL12RB1,3'UTR
cg14112997,-0.245836,37,22,17591088,,,IL17RA,3'UTR
cg12501287,0.2183562,37,10,134411480,,rs2493899,INPP5A,Body
cg24136292,0.2945955,37,11,15180922,,,INSC,Body
cg23699809,-0.2322334,37,8,28745972,,rs67967554,INTS9,Body
cg26217827,0.2342488,37,15,68594860,,,ITGA11,3'UTR
cg02682924,0.3335556,37,10,106093685,,rs34349230,ITPRIP,TSS200
cg24018148,-0.236841,37,6,39290715,,rs3807043,KCNK16,TSS1500
cg14698238,0.2659467,37,19,18091245,,,KCNN1,Body
cg01836455,0.3116943,37,6,73973719,,rs7740081,KHDC1,TSS1500
cg16412745,-0.3693342,37,14,105344761,,rs41317300,KIAA0284,Body
cg10632770,0.277441,37,15,81122346,rs28405322,rs76432766,KIAA1199,5'UTR
cg05208607,0.2287239,37,16,84520021,,rs405185,KIAA1609,Body
cg16675926,-0.2176545,37,1,233518998,,rs1294233,KIAA1804,3'UTR
cg10920758,0.301241,37,10,134974555,,rs12259153,KNDC1,Body
cg23117085,0.2296457,37,17,39662375,rs80099814,,KRT13,TSS1500
cg19393008,0.4131116,37,12,52798363,,,KRT82,Body
cg05809586,0.2600262,37,21,31709690,,,KRTAP27-1,1stExon
cg09583302,0.3542074,37,11,18414888,,rs7129689,LDHA,TSS1500
cg03085549,0.2042145,37,16,75150819,rs78438879,,LDHD,TSS200
cg21787989,-0.384403,37,1,236681580,,,LGALS8,5'UTR
cg14635269,-0.2051644,37,9,129439339,,,LMX1B,Body
cg13252613,-0.2624836,37,Y,9747748,,,LOC100101121,TSS1500
cg19949776,0.2059715,37,15,51236304,rs76253543,rs8031702,LOC100132724,TSS200
cg13252613,-0.2624836,37,Y,9747748,,,TTTY23,TSS1500
cg19949776,0.2059715,37,15,51236304,rs76253543,rs8031702,AP4E1,TSS200
cg21442528,0.2258105,37,12,1609034,rs75599447,rs7302353,LOC100292680,TSS1500
cg23517115,-0.2060576,37,5,6581849,,rs489196,LOC255167,TSS1500
cg11791288,-0.2696882,37,1,31988382,,rs6425762,LOC284551,Body
cg20252997,0.268151,37,1,4481995,,,LOC284661,Body
cg17441804,0.2599586,37,6,29714059,,rs9258230,LOC285830,Body
cg11716267,0.2104355,37,2,24367828,,rs35331966,LOC375190,Body
cg13160852,-0.487004,37,11,122047028,rs528340,rs528212,LOC399959,Body
cg04118610,0.2184397,37,4,62707027,,rs34535823,LPHN3,Body
cg09504384,0.2075576,37,10,72113560,,,LRRC20,Body
cg25932869,-0.2657168,37,7,102107737,,,LRWD1,Body
cg04589021,0.2504893,37,17,21193432,,rs9903708,MAP2K3,Body
cg22337626,0.2446428,37,1,46420220,,,MAST2,Body
cg14088921,-0.2174904,37,8,98944936,rs73698697,,MATN2,Body
cg03372334,0.4650484,37,13,98002933,,rs78350074,MBNL2,Body
cg08238375,-0.2546762,37,5,112483149,,,MCC,Body
cg14351440,0.2430526,37,X,138726210,,,MCF2,Body
cg15388766,0.2488838,37,13,113688132,,rs59798047,MCF2L,Body
cg19503462,-0.328802,37,14,47872288,,,MDGA2,Body
cg24398793,0.2015941,37,7,15651770,,rs17199,MEOX2,3'UTR
cg11379315,0.2380951,37,4,88755207,,,MEPE,5'UTR
cg24861399,0.2834029,37,2,135072000,,,MGAT5,Body
cg09993319,-0.4098732,37,10,131529435,,,MGMT,Body
cg02491947,0.4028142,37,18,56117145,rs3834611,rs1135519,MIR122,TSS1500
cg10549753,0.2577924,37,12,95226786,rs55788968,,MIR492,TSS1500
cg11212178,0.3062333,37,12,95226807,,rs11107744,MIR492,TSS1500
cg21854924,0.2358131,37,X,146354024,,,MIR510,TSS200
cg24927769,-0.292816,37,7,147732939,,rs73168563,MIR548F3,Body
cg24927769,-0.292816,37,7,147732939,,rs73168563,CNTNAP2,Body
cg08331829,0.219307,37,20,10412596,,rs36224662,MKKS,5'UTR
cg10306192,0.2834292,37,11,102576374,,,MMP27,1stExon
cg04627110,0.2019408,37,6,29635507,,,MOG,3'UTR
cg14114910,-0.5187847,37,9,124924045,,rs12005121,MORN5,Body
cg12466610,0.2079823,37,1,220950205,,,MOSC2,Body
cg02403522,0.2535644,37,11,30474351,,rs56054706,MPPED2,Body
cg13066461,0.3458792,37,11,19078052,,,MRGPRX2,5'UTR
cg15897435,0.2334408,37,4,78852682,rs59463838,rs6533344,MRPL1,Body
cg04528326,0.2421601,37,3,131218171,,rs28476605,MRPL3,Body
cg02621636,-0.2368037,37,11,60161999,,,MS4A14,TSS1500
cg02621636,-0.2368037,37,11,60161999,,,MS4A7,TSS1500
cg02628858,-0.2637485,37,13,29910801,,,MTUS2,Body
cg13506281,-0.363134,37,13,29914200,,,MTUS2,Body
cg01552920,0.2475221,37,17,79905236,,rs56067823,MYADML2,TSS200
cg04996388,0.2055684,37,17,79905263,,rs55906939,MYADML2,TSS200
cg00295418,0.2695725,37,8,2021420,,,MYOM2,Body
cg01295646,-0.2271755,37,8,2075820,rs35670997,,MYOM2,Body
cg21847720,-0.2217823,37,8,2075777,,,MYOM2,Body
cg12155450,-0.2723822,37,19,55995271,,,NAT14,TSS1500
cg12155450,-0.2723822,37,19,55995271,,,ZNF628,Body
cg00501169,-0.3797633,37,1,108769254,,,NBPF4,Body
cg09219182,0.2558309,37,22,37255542,,rs9607387,NCF4,TSS1500
cg09462281,-0.403376,37,19,3191030,,,NCLN,Body
cg24836826,-0.3500044,37,12,124929963,,,NCOR2,Body
cg04579183,0.2760617,37,15,88119834,,,NCRNA00052,TSS1500
cg23564471,-0.2541832,37,1,204951209,,rs2278796,NFASC,Body
cg21848624,-0.3139716,37,18,77219388,,,NFATC1,Body
cg24863815,-0.2198629,37,19,3398907,,rs7246450,NFIC,Body
cg02340092,-0.2222636,37,Y,16945913,,,NLGN4Y,Body
cg20060160,-0.2642014,37,1,183298149,,rs616545,NMNAT2,Body
cg02658043,0.2667605,37,8,144917532,,,NRBP2,3'UTR
cg13748354,0.3481751,37,7,2289888,rs6962576,rs12531150,NUDT1,Body
cg08104960,-0.2420053,37,17,807555,,rs617081,NXN,Body
cg14235846,-0.2147875,37,17,800745,rs74477910,,NXN,Body
cg14608770,-0.289294,37,19,17571873,rs76869359,rs1864006,NXNL1,TSS200
cg20703122,-0.203364,37,15,28339563,,,OCA2,5'UTR
cg10144558,-0.2070006,37,11,78879700,,rs7482532,ODZ4,5'UTR
cg16035267,0.2326099,37,6,29342630,,rs34525583,OR12D3,1stExon
cg10155537,0.2275493,37,1,248512094,,rs28728105,OR14C36,1stExon
cg18845598,0.2546628,37,7,143746594,,,OR2A5,TSS1500
cg05111645,0.2951551,37,6,29427519,rs79596037,,OR2H1,5'UTR
cg02507579,0.3220243,37,3,97887864,,,OR5H15,1stExon
cg27049594,0.2376412,37,11,124439146,,,OR8A1,TSS1500
cg01561629,0.2075849,37,1,52081278,,rs72896009,OSBPL9,TSS1500
cg18105999,-0.2949879,37,19,725168,,rs11882864,PALM,Body
cg08823359,-0.202946,37,4,108641437,,rs2074374,PAPSS1,TSS200
cg02907150,0.4135311,37,14,71577479,,,PCNX,3'UTR
cg00045070,0.3941361,37,1,55504649,,,PCSK9,TSS1500
cg02819655,0.2369851,37,2,178853377,,,PDE11A,Body
cg04033559,0.2544044,37,2,173461819,,,PDK1,3'UTR
cg09533869,0.5828098,37,8,97747124,,,PGCP,5'UTR
cg20696674,0.2218967,37,1,28826586,,,PHACTR4,3'UTR
cg25150572,0.239772,37,1,28763330,,rs34288882,PHACTR4,TSS1500
cg23234811,-0.2363895,37,1,204230657,,rs78267834,PLEKHA6,Body
cg02872767,0.2094264,37,19,1525453,,,PLK5P,Body
cg22712983,-0.2104206,37,2,219187374,,,PNKD,TSS1500
cg23350716,-0.3101374,37,1,147956744,,,PPIAL4B,TSS1500
cg23350716,-0.3101374,37,1,147956744,,,PPIAL4B,TSS1500
cg18674961,0.2342133,37,20,37438823,,,PPP1R16B,5'UTR
cg05799088,0.2410997,37,3,64080488,,,PRICKLE2,3'UTR
cg14001750,0.2441107,37,17,64302651,,,PRKCA,Body
cg16661157,0.2966852,37,17,64562000,,rs9899742,PRKCA,Body
cg19405842,0.2877699,37,1,2038661,,,PRKCZ,5'UTR
cg02978201,0.2301882,37,16,11374865,,,PRM1,Body
cg24320034,-0.3365021,37,10,25238461,,rs185669,PRTFDC1,Body
cg11942206,-0.2930791,37,19,43383986,,rs2108488,PSG1,TSS200
cg24073023,0.2825918,37,10,48760449,,,PTPN20B,Body
cg24073023,0.2825918,37,10,48760449,,,PTPN20A,Body
cg09247979,0.221925,37,6,128530306,,,PTPRK,Body
cg06301252,0.211873,37,7,157504143,,,PTPRN2,Body
cg14168080,0.297403,37,7,157504135,,rs67598507,PTPRN2,Body
cg20550012,-0.2584338,37,7,157370486,,,PTPRN2,Body
cg23162598,0.3345916,37,7,157345746,,rs75277606,PTPRN2,Body
cg00502469,-0.2773626,37,13,114774991,rs12870350,rs41291213,RASA3,Body
cg01758122,-0.2650478,37,13,114783503,,,RASA3,Body
cg10919109,-0.2350168,37,13,114764621,rs78968476,rs78400130,RASA3,Body
cg12337884,-0.2059862,37,13,114819908,,rs71742778,RASA3,Body
cg12532878,-0.2011316,37,13,114837593,,rs9525375,RASA3,Body
cg27288829,0.2670911,37,19,3771880,rs34586885,rs11085039,RAX2,5'UTR
cg27569887,0.2068386,37,3,30045896,,,RBMS3,3'UTR
cg13808036,-0.2884051,37,Y,24453658,,,RBMY1F,TSS1500
cg13808036,-0.2884051,37,Y,24453658,,,RBMY1F,TSS1500
cg16484499,0.2801106,37,6,111659754,,rs462432,REV3L,Body
cg21467828,-0.2059722,37,15,93609767,,rs4778091,RGMA,Body
cg14548901,0.5185241,37,2,11430093,,,ROCK2,Body
cg17171259,-0.3589132,37,1,64469027,rs285384,rs285383,ROR1,Body
cg27395839,-0.3277118,37,15,60812923,,rs35687658,RORA,Body
cg00254095,0.300622,37,18,47016218,,rs6507921,RPL17,Body
cg00254095,0.300622,37,18,47016218,,rs6507921,SNORD58C,TSS1500
cg00254095,0.300622,37,18,47016218,,rs6507921,U58,TSS1500
cg11757444,0.228528,37,17,78719173,,rs11868257,RPTOR,Body
cg20502501,0.3430237,37,17,78809403,,rs2333989,RPTOR,Body
cg00123214,0.2325277,37,1,95703607,,rs1160317,RWDD3,Body
cg00939438,0.2797783,37,14,55151579,,,SAMD4A,Body
cg27024127,-0.2914099,37,8,27522576,,rs505295,SCARA3,Body
cg11183307,-0.2066783,37,20,652263,,,SCRT2,Body
cg07189582,-0.2426782,37,4,110358288,rs58022235,rs11933971,SEC24B,Body
cg17971895,0.2066556,37,20,13830102,rs2073290,rs2073289,SEL1L2,3'UTR
cg21203249,-0.3213496,37,9,91997686,,,SEMA4D,Body
cg24087071,0.2440434,37,14,94750291,,,SERPINA10,3'UTR
cg19596870,0.2246855,37,6,2972896,,,SERPINB6,TSS1500
cg03028786,0.207287,37,2,224897425,,rs11312232,SERPINE2,5'UTR
cg22138998,0.3416345,37,12,120903935,,,SFRS9,Body
cg09627057,0.2416307,37,3,15377670,,rs74491656,SH3BP5,5'UTR
cg06888746,-0.2134616,37,10,105517764,,,SH3PXD2A,Body
cg05918715,0.2000396,37,13,26622819,,,SHISA2,Body
cg13989295,-0.2594238,37,17,57187728,,,SKA2,3'UTR
cg24001314,-0.2496848,37,1,2235655,,,SKI,Body
cg01326421,-0.5940278,37,20,4983091,,rs2423084,SLC23A2,5'UTR
cg17107246,0.2039507,37,1,108735549,,,SLC25A24,TSS200
cg21396646,0.2103802,37,1,234039761,,,SLC35F3,TSS1500
cg27467876,-0.2274866,37,8,22266134,,,SLC39A14,Body
cg22071943,-0.2278109,37,5,1225434,,rs7704882,SLC6A18,TSS200
cg13946163,0.2011741,37,2,103238167,,rs2192664,SLC9A2,Body
cg17534070,-0.3365648,37,5,168195355,rs34923773,rs11134527,SLIT3,Body
cg17534070,-0.3365648,37,5,168195355,rs34923773,rs11134527,MIR218-2,TSS200
cg05509228,-0.2150652,37,6,168918703,,,SMOC2,Body
cg16490124,0.3848195,37,1,235292369,,rs17523127,SNORA14B,TSS1500
cg16490124,0.3848195,37,1,235292369,,rs17523127,TOMM20,TSS200
cg22802014,0.2085851,37,1,31732891,,,SNRNP40,3'UTR
cg19539986,0.2336689,37,14,35032169,,rs9264,SNX6,3'UTR
cg20360416,0.2265761,37,4,7246127,,rs11947768,SORCS2,Body
cg04169747,-0.2435922,37,Y,2655740,,,SRY,5'UTR
cg10187601,0.2106577,37,7,116789933,,,ST7,Body
cg21920221,-0.2700593,37,5,171612889,,,STK10,Body
cg15118835,0.2131616,37,5,75469826,,,SV2C,Body
cg24739935,-0.2261768,37,12,79814928,,,SYT1,Body
cg10528424,0.2162149,37,11,1858572,,rs2292474,SYT8,Body
cg08522473,-0.2896953,37,3,111730545,,,TAGLN3,Body
cg09566533,0.2018647,37,6,32802009,,rs62397687,TAP2,Body
cg24080129,0.2827781,37,6,32797488,rs241439,rs4148874,TAP2,Body
cg12531767,-0.2315842,37,X,153644319,,rs28604297,TAZ,Body
cg04497611,0.2962744,37,17,80860250,,,TBCD,Body
cg07712165,0.2219109,37,17,80899280,,rs9390,TBCD,Body
cg14195178,0.2234367,37,17,80849463,rs73366955,rs12938918,TBCD,Body
cg08921682,-0.2010176,37,Y,6891543,,,TBL1Y,5'UTR
cg04649587,0.2538186,37,8,11212812,,rs2060458,TDH,Body
cg14179288,0.6790093,37,9,82286351,,,TLE4,Body
cg21028319,0.237516,37,8,38847958,,,TM2D2,3'UTR
cg02668233,0.2219399,37,12,125813494,rs73424703,rs883124,TMEM132B,Body
cg08554556,0.2455002,37,12,130092534,,rs78957821,TMEM132D,Body
cg17927236,0.2059507,37,5,87565552,,,TMEM161B,TSS1500
cg22901347,-0.2369362,37,3,171138553,rs6793807,rs13080580,TNIK,Body
cg17588704,0.2655838,37,2,218707806,,rs55840817,TNS1,Body
cg20161227,-0.2172661,37,6,31980836,,,TNXB,5'UTR
cg20161227,-0.2172661,37,6,31980836,,,TNXA,TSS200
