"","age","animal.Alive","animal.Background","animal.Cause_of_Death","animal.Death","animal.Gender","animal.Genotype","animal.MouseID","animal.age","animal.id","animal.strain.Strain","assay.assay","experiment.date","experiment.feeding_state","experiment.time","id","values","Dexamethasone","Treatment"
"14",169,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3035,191,8070,"C57BL/6J","Grip Strength (4 Paw)","2015-03-31","fed","15:30:00",32261,"2750,2140,1560,1600,2180",FALSE,"Water"
"15",169,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3035,191,8070,"C57BL/6J","Total Fat Mass","2015-03-31","fed","15:30:00",32290,"2120",FALSE,"Water"
"16",169,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3035,191,8070,"C57BL/6J","Lean Mass","2015-03-31","fed","15:30:00",32291,"29890",FALSE,"Water"
"17",177,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3035,191,8070,"C57BL/6J","Plasma Glucose","2015-04-08","fasted","14:30:00",33709,"167,84,62,39,45,53,66,61,79",FALSE,"Water"
"18",176,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3035,191,8070,"C57BL/6J","Body Weight","2015-04-07","fed",NA,34098,"33200",FALSE,"Water"
"19",176,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3035,191,8070,"C57BL/6J","Grip Strength (4 Paw)","2015-04-07","fed",NA,34123,"2380,2250,2230,2280,2330",FALSE,"Water"
"20",183,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3035,191,8070,"C57BL/6J","Body Weight","2015-04-14","fed",NA,34147,"33400",FALSE,"Water"
"21",183,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3035,191,8070,"C57BL/6J","Grip Strength (4 Paw)","2015-04-14","fed",NA,34170,"3270,2510,2620,3060,3490",FALSE,"Water"
"22",184,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3035,191,8070,"C57BL/6J","Plasma Glucose","2015-04-15","fasted","14:30:00",34215,"167,52,45,20,20",FALSE,"Water"
"23",183,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3035,191,8070,"C57BL/6J","Total Fat Mass","2015-04-14","fed",NA,34525,"2300",FALSE,"Water"
"24",183,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3035,191,8070,"C57BL/6J","Lean Mass","2015-04-14","fed",NA,34526,"30000",FALSE,"Water"
"25",176,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3035,191,8070,"C57BL/6J","Total Fat Mass","2015-04-07","fed","15:15:00",34736,"2320",FALSE,"Water"
"26",176,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3035,191,8070,"C57BL/6J","Lean Mass","2015-04-07","fed","15:15:00",34737,"29960",FALSE,"Water"
"27",190,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3035,191,8070,"C57BL/6J","Body Weight","2015-04-21","fed",NA,36508,"33100",FALSE,"Water"
"28",190,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3035,191,8070,"C57BL/6J","Total Fat Mass","2015-04-21","fed",NA,36532,"2360",FALSE,"Water"
"29",190,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3035,191,8070,"C57BL/6J","Lean Mass","2015-04-21","fed",NA,36533,"30350",FALSE,"Water"
"30",149,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3036,191,8071,"C57BL/6J","Body Weight","2015-03-11","fed","13:30:00",29264,"32900",FALSE,"Water"
"31",149,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3036,191,8071,"C57BL/6J","Grip Strength (4 Paw)","2015-03-11","fed","13:30:00",29356,"3040,2930,2730,2260,2710",FALSE,"Water"
"32",149,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3036,191,8071,"C57BL/6J","Total Fat Mass","2015-03-11","fed","13:30:00",29367,"2960",FALSE,"Water"
"33",149,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3036,191,8071,"C57BL/6J","Lean Mass","2015-03-11","fed","13:30:00",29368,"29090",FALSE,"Water"
"34",155,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3036,191,8071,"C57BL/6J","Grip Strength (4 Paw)","2015-03-17","fed","12:00:00",29985,"2260,1350,2110,2490,2610",FALSE,"Water"
"35",155,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3036,191,8071,"C57BL/6J","Total Fat Mass","2015-03-17","fed","12:00:00",30064,"2000",FALSE,"Water"
"36",155,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3036,191,8071,"C57BL/6J","Lean Mass","2015-03-17","fed","12:00:00",30065,"29310",FALSE,"Water"
"37",155,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3036,191,8071,"C57BL/6J","Body Weight","2015-03-17","fed","12:00:00",30112,"32500",FALSE,"Water"
"38",162,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3036,191,8071,"C57BL/6J","Body Weight","2015-03-24","fed","15:30:00",31247,"33000",FALSE,"Water"
"39",162,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3036,191,8071,"C57BL/6J","Total Fat Mass","2015-03-24","fed","15:30:00",31297,"3000",FALSE,"Water"
"40",162,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3036,191,8071,"C57BL/6J","Lean Mass","2015-03-24","fed","15:30:00",31298,"29090",FALSE,"Water"
"41",162,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3036,191,8071,"C57BL/6J","Grip Strength (4 Paw)","2015-03-24","fed","15:30:00",31347,"2110,2080,2050,1940,2200",FALSE,"Water"
"42",169,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3036,191,8071,"C57BL/6J","Body Weight","2015-03-31","fed","15:30:00",32237,"34000",FALSE,"Water"
"43",169,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3036,191,8071,"C57BL/6J","Grip Strength (4 Paw)","2015-03-31","fed","15:30:00",32263,"2810,2400,2490,2700,2760",FALSE,"Water"
"44",169,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3036,191,8071,"C57BL/6J","Total Fat Mass","2015-03-31","fed","15:30:00",32286,"3650",FALSE,"Water"
"45",169,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3036,191,8071,"C57BL/6J","Lean Mass","2015-03-31","fed","15:30:00",32287,"29420",FALSE,"Water"
"46",177,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3036,191,8071,"C57BL/6J","Plasma Glucose","2015-04-08","fasted","14:30:00",33710,"155,145,108,112,122,143,127,159,135",FALSE,"Water"
"47",176,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3036,191,8071,"C57BL/6J","Body Weight","2015-04-07","fed",NA,34099,"34200",FALSE,"Water"
"48",176,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3036,191,8071,"C57BL/6J","Grip Strength (4 Paw)","2015-04-07","fed",NA,34124,"2490,3020,2670,1960,2570",FALSE,"Water"
"49",183,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3036,191,8071,"C57BL/6J","Body Weight","2015-04-14","fed",NA,34146,"34300",FALSE,"Water"
"50",183,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3036,191,8071,"C57BL/6J","Grip Strength (4 Paw)","2015-04-14","fed",NA,34171,"4100,3840,3680,3160,3560",FALSE,"Water"
"51",184,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3036,191,8071,"C57BL/6J","Plasma Glucose","2015-04-15","fasted","14:30:00",34217,"155,77,71,55,29,31,34,53,59",FALSE,"Water"
"52",183,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3036,191,8071,"C57BL/6J","Total Fat Mass","2015-04-14","fed",NA,34521,"4070",FALSE,"Water"
"53",183,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3036,191,8071,"C57BL/6J","Lean Mass","2015-04-14","fed",NA,34522,"29330",FALSE,"Water"
"54",176,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3036,191,8071,"C57BL/6J","Total Fat Mass","2015-04-07","fed","15:15:00",34738,"3550",FALSE,"Water"
"55",176,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3036,191,8071,"C57BL/6J","Lean Mass","2015-04-07","fed","15:15:00",34739,"29780",FALSE,"Water"
"56",190,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3036,191,8071,"C57BL/6J","Body Weight","2015-04-21","fed",NA,36509,"33700",FALSE,"Water"
"57",190,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3036,191,8071,"C57BL/6J","Total Fat Mass","2015-04-21","fed",NA,36538,"3220",FALSE,"Water"
"58",190,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3036,191,8071,"C57BL/6J","Lean Mass","2015-04-21","fed",NA,36539,"29660",FALSE,"Water"
"59",149,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3037,191,8072,"C57BL/6J","Body Weight","2015-03-11","fed","13:30:00",29266,"33600",FALSE,"Water"
"60",149,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3037,191,8072,"C57BL/6J","Grip Strength (4 Paw)","2015-03-11","fed","13:30:00",29357,"3290,2900,2940,2110,2390",FALSE,"Water"
"61",149,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3037,191,8072,"C57BL/6J","Total Fat Mass","2015-03-11","fed","13:30:00",29496,"2570",FALSE,"Water"
"62",149,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3037,191,8072,"C57BL/6J","Lean Mass","2015-03-11","fed","13:30:00",29499,"29930",FALSE,"Water"
"63",155,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3037,191,8072,"C57BL/6J","Grip Strength (4 Paw)","2015-03-17","fed","12:00:00",29983,"2410,2430,2930,2280,2000",FALSE,"Water"
"64",155,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3037,191,8072,"C57BL/6J","Total Fat Mass","2015-03-17","fed","12:00:00",30066,"2640",FALSE,"Water"
"65",155,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3037,191,8072,"C57BL/6J","Lean Mass","2015-03-17","fed","12:00:00",30067,"29170",FALSE,"Water"
"66",155,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3037,191,8072,"C57BL/6J","Body Weight","2015-03-17","fed","12:00:00",30110,"32800",FALSE,"Water"
"67",162,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3037,191,8072,"C57BL/6J","Body Weight","2015-03-24","fed","15:30:00",31248,"32700",FALSE,"Water"
"68",162,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3037,191,8072,"C57BL/6J","Total Fat Mass","2015-03-24","fed","15:30:00",31299,"2180",FALSE,"Water"
"69",162,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3037,191,8072,"C57BL/6J","Lean Mass","2015-03-24","fed","15:30:00",31300,"29900",FALSE,"Water"
"70",162,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3037,191,8072,"C57BL/6J","Grip Strength (4 Paw)","2015-03-24","fed","15:30:00",31345,"2950,2100,1710,2160,2250",FALSE,"Water"
"71",169,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3037,191,8072,"C57BL/6J","Body Weight","2015-03-31","fed","15:30:00",32238,"33600",FALSE,"Water"
"72",169,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3037,191,8072,"C57BL/6J","Grip Strength (4 Paw)","2015-03-31","fed","15:30:00",32260,"2910,2550,2350,2430,2430",FALSE,"Water"
"73",169,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3037,191,8072,"C57BL/6J","Total Fat Mass","2015-03-31","fed","15:30:00",32288,"2250",FALSE,"Water"
"74",169,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3037,191,8072,"C57BL/6J","Lean Mass","2015-03-31","fed","15:30:00",32289,"30580",FALSE,"Water"
"75",177,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3037,191,8072,"C57BL/6J","Plasma Glucose","2015-04-08","fasted","14:30:00",33711,"152,96,97,82,65,66,69,81,0",FALSE,"Water"
"76",176,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3037,191,8072,"C57BL/6J","Body Weight","2015-04-07","fed",NA,34100,"33900",FALSE,"Water"
"77",176,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3037,191,8072,"C57BL/6J","Grip Strength (4 Paw)","2015-04-07","fed",NA,34122,"2600,2330,2000,2300,2880",FALSE,"Water"
"78",183,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3037,191,8072,"C57BL/6J","Body Weight","2015-04-14","fed",NA,34148,"34400",FALSE,"Water"
"79",183,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3037,191,8072,"C57BL/6J","Grip Strength (4 Paw)","2015-04-14","fed",NA,34193,"3270,3750,3270,2930,2930",FALSE,"Water"
"80",184,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3037,191,8072,"C57BL/6J","Plasma Glucose","2015-04-15","fasted","14:30:00",34216,"152,58,41,20,20",FALSE,"Water"
"81",183,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3037,191,8072,"C57BL/6J","Total Fat Mass","2015-04-14","fed",NA,34527,"2480",FALSE,"Water"
"82",183,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3037,191,8072,"C57BL/6J","Lean Mass","2015-04-14","fed",NA,34528,"30760",FALSE,"Water"
"83",176,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3037,191,8072,"C57BL/6J","Total Fat Mass","2015-04-07","fed","15:15:00",34734,"2190",FALSE,"Water"
"84",176,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3037,191,8072,"C57BL/6J","Lean Mass","2015-04-07","fed","15:15:00",34735,"30570",FALSE,"Water"
"85",190,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3037,191,8072,"C57BL/6J","Body Weight","2015-04-21","fed",NA,36510,"34500",FALSE,"Water"
"86",190,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3037,191,8072,"C57BL/6J","Total Fat Mass","2015-04-21","fed",NA,36534,"2450",FALSE,"Water"
"87",190,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3037,191,8072,"C57BL/6J","Lean Mass","2015-04-21","fed",NA,36535,"30900",FALSE,"Water"
"88",149,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3038,191,8073,"C57BL/6J","Body Weight","2015-03-11","fed","13:30:00",29267,"26700",FALSE,"Water"
"89",149,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3038,191,8073,"C57BL/6J","Grip Strength (4 Paw)","2015-03-11","fed","13:30:00",29358,"2170,2020,1860,2000,2380",FALSE,"Water"
"90",149,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3038,191,8073,"C57BL/6J","Total Fat Mass","2015-03-11","fed","13:30:00",29502,"2150",FALSE,"Water"
"91",149,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3038,191,8073,"C57BL/6J","Lean Mass","2015-03-11","fed","13:30:00",29504,"23810",FALSE,"Water"
"92",149,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3038,191,8073,"C57BL/6J","Total Fat Mass","2015-03-11","fed","13:30:00",29509,"4000",FALSE,"Water"
"93",149,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3038,191,8073,"C57BL/6J","Lean Mass","2015-03-11","fed","13:30:00",29510,"24600",FALSE,"Water"
"94",155,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3038,191,8073,"C57BL/6J","Grip Strength (4 Paw)","2015-03-17","fed","12:00:00",29986,"2450,2170,1950,1880,2180",FALSE,"Water"
"95",155,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3038,191,8073,"C57BL/6J","Total Fat Mass","2015-03-17","fed","12:00:00",30068,"1390",FALSE,"Water"
"96",155,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3038,191,8073,"C57BL/6J","Lean Mass","2015-03-17","fed","12:00:00",30069,"24580",FALSE,"Water"
"97",155,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3038,191,8073,"C57BL/6J","Body Weight","2015-03-17","fed","12:00:00",30113,"26800",FALSE,"Water"
"98",162,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3038,191,8073,"C57BL/6J","Body Weight","2015-03-24","fed","15:30:00",31249,"26900",FALSE,"Water"
"99",162,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3038,191,8073,"C57BL/6J","Total Fat Mass","2015-03-24","fed","15:30:00",31301,"1760",FALSE,"Water"
"100",162,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3038,191,8073,"C57BL/6J","Lean Mass","2015-03-24","fed","15:30:00",31302,"24370",FALSE,"Water"
"101",162,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3038,191,8073,"C57BL/6J","Grip Strength (4 Paw)","2015-03-24","fed","15:30:00",31346,"1830,2370,2290,2080,2270",FALSE,"Water"
"102",169,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3038,191,8073,"C57BL/6J","Body Weight","2015-03-31","fed","15:30:00",32239,"27000",FALSE,"Water"
"103",169,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3038,191,8073,"C57BL/6J","Grip Strength (4 Paw)","2015-03-31","fed","15:30:00",32262,"2310,2110,2230,2680,2500",FALSE,"Water"
"104",169,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3038,191,8073,"C57BL/6J","Total Fat Mass","2015-03-31","fed","15:30:00",32284,"2040",FALSE,"Water"
"105",169,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3038,191,8073,"C57BL/6J","Lean Mass","2015-03-31","fed","15:30:00",32285,"24510",FALSE,"Water"
"106",177,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3038,191,8073,"C57BL/6J","Plasma Glucose","2015-04-08","fasted","14:30:00",33712,"157,138,114,73,74,77,94,99,0",FALSE,"Water"
"107",176,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3038,191,8073,"C57BL/6J","Body Weight","2015-04-07","fed",NA,34101,"27600",FALSE,"Water"
"108",176,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3038,191,8073,"C57BL/6J","Grip Strength (4 Paw)","2015-04-07","fed",NA,34125,"2250,2240,2150,2290,2130",FALSE,"Water"
"109",183,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3038,191,8073,"C57BL/6J","Body Weight","2015-04-14","fed",NA,34149,"27900",FALSE,"Water"
"110",183,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3038,191,8073,"C57BL/6J","Grip Strength (4 Paw)","2015-04-14","fed",NA,34194,"3250,3250,3110,2600,2750",FALSE,"Water"
"111",184,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3038,191,8073,"C57BL/6J","Plasma Glucose","2015-04-15","fasted","14:30:00",34218,"157,108,87,77,51,30,25,25,31",FALSE,"Water"
"112",183,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3038,191,8073,"C57BL/6J","Total Fat Mass","2015-04-14","fed",NA,34523,"1910",FALSE,"Water"
"113",183,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3038,191,8073,"C57BL/6J","Lean Mass","2015-04-14","fed",NA,34524,"25360",FALSE,"Water"
"114",176,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3038,191,8073,"C57BL/6J","Total Fat Mass","2015-04-07","fed","15:15:00",34740,"2050",FALSE,"Water"
"115",176,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3038,191,8073,"C57BL/6J","Lean Mass","2015-04-07","fed","15:15:00",34741,"24800",FALSE,"Water"
"116",190,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3038,191,8073,"C57BL/6J","Body Weight","2015-04-21","fed",NA,36511,"28300",FALSE,"Water"
"117",190,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3038,191,8073,"C57BL/6J","Total Fat Mass","2015-04-21","fed",NA,36536,"1870",FALSE,"Water"
"118",190,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3038,191,8073,"C57BL/6J","Lean Mass","2015-04-21","fed",NA,36537,"26090",FALSE,"Water"
"119",149,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3039,191,8074,"C57BL/6J","Body Weight","2015-03-11","fed","13:30:00",29269,"26800",FALSE,"Water"
"120",149,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3039,191,8074,"C57BL/6J","Grip Strength (4 Paw)","2015-03-11","fed","13:30:00",29359,"2080,1720,2500,2130,2370",FALSE,"Water"
"121",149,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3039,191,8074,"C57BL/6J","Total Fat Mass","2015-03-11","fed","13:30:00",29513,"2990",FALSE,"Water"
"122",149,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3039,191,8074,"C57BL/6J","Lean Mass","2015-03-11","fed","13:30:00",29515,"23120",FALSE,"Water"
"123",155,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3039,191,8074,"C57BL/6J","Grip Strength (4 Paw)","2015-03-17","fed","12:00:00",29990,"2480,2080,1860,2570,2200",FALSE,"Water"
"124",155,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3039,191,8074,"C57BL/6J","Total Fat Mass","2015-03-17","fed","12:00:00",30070,"2200",FALSE,"Water"
"125",155,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3039,191,8074,"C57BL/6J","Lean Mass","2015-03-17","fed","12:00:00",30071,"23380",FALSE,"Water"
"126",155,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3039,191,8074,"C57BL/6J","Body Weight","2015-03-17","fed","12:00:00",30117,"26400",FALSE,"Water"
"127",162,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3039,191,8074,"C57BL/6J","Body Weight","2015-03-24","fed","15:30:00",31250,"27000",FALSE,"Water"
"128",162,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3039,191,8074,"C57BL/6J","Total Fat Mass","2015-03-24","fed","15:30:00",31303,"2660",FALSE,"Water"
"129",162,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3039,191,8074,"C57BL/6J","Lean Mass","2015-03-24","fed","15:30:00",31304,"23770",FALSE,"Water"
"130",162,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3039,191,8074,"C57BL/6J","Grip Strength (4 Paw)","2015-03-24","fed","15:30:00",31355,"2930,2810,3020,3040,2710",FALSE,"Water"
"131",169,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3039,191,8074,"C57BL/6J","Body Weight","2015-03-31","fed","15:30:00",32240,"27300",FALSE,"Water"
"132",169,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3039,191,8074,"C57BL/6J","Grip Strength (4 Paw)","2015-03-31","fed","15:30:00",32268,"2570,2890,2690,2730,2440",FALSE,"Water"
"133",169,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3039,191,8074,"C57BL/6J","Total Fat Mass","2015-03-31","fed","15:30:00",32296,"2770",FALSE,"Water"
"134",169,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3039,191,8074,"C57BL/6J","Lean Mass","2015-03-31","fed","15:30:00",32297,"23640",FALSE,"Water"
"135",177,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3039,191,8074,"C57BL/6J","Plasma Glucose","2015-04-08","fasted","14:30:00",33713,"139,107,105,78,82,76,86,99,0",FALSE,"Water"
"136",176,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3039,191,8074,"C57BL/6J","Body Weight","2015-04-07","fed",NA,34102,"27200",FALSE,"Water"
