animal id,Diet,Treatment,Week,Body Weight,Total Fat Mass,Lean Mass
1747,HFD,Water,3,38.9,12.8,20.1
1761,HFD,Water,3,38.9,10.9,22.0
1762,HFD,Water,3,36.1,8.7,21.3
1763,HFD,Water,3,38.0,10.0,22.0
1771,HFD,Water,3,39.5,9.6,23.0
1772,HFD,Water,3,38.1,9.1,22.4
1773,HFD,Water,3,36.3,6.0,23.4
1722,HFD,Dexamethasone,0,37.4,11.1,20.0
1723,HFD,Dexamethasone,0,38.1,10.1,21.5
1724,HFD,Dexamethasone,0,31.6,7.3,18.9
1725,HFD,Dexamethasone,0,41.4,12.9,22.2
1726,HFD,Dexamethasone,0,32.1,7.3,19.5
1728,HFD,Dexamethasone,0,37.2,10.6,20.6
1737,HFD,Dexamethasone,0,36.5,7.2,23.4
1741,HFD,Dexamethasone,0,46.7,14.5,24.9
1742,HFD,Dexamethasone,0,34.4,8.2,20.2
1743,HFD,Dexamethasone,0,31.5,6.3,19.5
1744,HFD,Dexamethasone,0,40.0,13.2,20.0
1754,HFD,Dexamethasone,0,29.2,2.1,21.5
1755,HFD,Dexamethasone,0,34.6,6.3,22.1
1756,HFD,Dexamethasone,0,34.6,7.9,20.7
1757,HFD,Dexamethasone,0,34.2,4.6,23.7
1767,HFD,Dexamethasone,0,42.0,14.5,21.4
1768,HFD,Dexamethasone,0,40.8,12.3,21.8
1769,HFD,Dexamethasone,0,36.2,7.9,22.2
1722,HFD,Dexamethasone,2,35.6,11.5,17.6
1723,HFD,Dexamethasone,2,34.9,8.9,19.2
1724,HFD,Dexamethasone,2,31.2,8.8,16.8
1725,HFD,Dexamethasone,2,34.0,8.6,19.0
1726,HFD,Dexamethasone,2,30.7,7.7,17.3
1728,HFD,Dexamethasone,2,34.0,9.1,18.8
1737,HFD,Dexamethasone,2,35.9,10.7,19.0
1741,HFD,Dexamethasone,2,39.1,11.3,20.6
1742,HFD,Dexamethasone,2,35.0,9.9,18.5
1743,HFD,Dexamethasone,2,31.5,8.0,17.5
1744,HFD,Dexamethasone,2,36.0,11.4,18.2
1754,HFD,Dexamethasone,2,28.6,4.6,18.5
1755,HFD,Dexamethasone,2,32.7,7.2,19.3
1756,HFD,Dexamethasone,2,33.2,9.0,18.2
1757,HFD,Dexamethasone,2,33.5,8.0,19.4
1767,HFD,Dexamethasone,2,38.0,13.3,18.7
1768,HFD,Dexamethasone,2,38.2,12.6,19.3
1769,HFD,Dexamethasone,2,35.3,10.4,18.7
1722,HFD,Dexamethasone,3,33.9,10.7,17.4
1723,HFD,Dexamethasone,3,33.5,8.8,18.6
1724,HFD,Dexamethasone,3,29.6,8.2,16.2
1725,HFD,Dexamethasone,3,33.2,8.4,18.6
1726,HFD,Dexamethasone,3,29.3,7.1,16.8
1728,HFD,Dexamethasone,3,34.9,10.0,18.3
1737,HFD,Dexamethasone,3,34.2,10.3,17.8
1741,HFD,Dexamethasone,3,37.8,11.1,19.8
1742,HFD,Dexamethasone,3,34.7,9.9,18.9
1743,HFD,Dexamethasone,3,31.1,8.2,17.1
1744,HFD,Dexamethasone,3,35.1,10.7,18.3
1754,HFD,Dexamethasone,3,27.2,3.9,17.6
1755,HFD,Dexamethasone,3,31.8,7.2,18.4
1756,HFD,Dexamethasone,3,32.7,8.7,18.3
1757,HFD,Dexamethasone,3,33.4,8.4,19.3
1767,HFD,Dexamethasone,3,37.2,12.3,19.0
1768,HFD,Dexamethasone,3,38.6,12.4,19.6
1769,HFD,Dexamethasone,3,34.1,9.8,18.0
