"","age","animal.Alive","animal.Background","animal.Cause_of_Death","animal.Gender","animal.Genotype","animal.MouseID","animal.age","animal.id","animal.strain.Strain","assay.assay","experiment.date","experiment.feeding_state","id","values","experiment.time","experiment.fasting_time","animal.Death","Dexamethasone","Treatment"
"11",85,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Total Fat Mass","2014-11-04","fed",16976,"4220",NA,NA,NA,TRUE,"Dexamethasone"
"12",85,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Lean Mass","2014-11-04","fed",16977,"22730",NA,NA,NA,TRUE,"Dexamethasone"
"13",99,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Body Weight","2014-11-18","fed",18658,"30600",NA,NA,NA,TRUE,"Dexamethasone"
"14",99,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Total Fat Mass","2014-11-18","fed",18659,"5420",NA,NA,NA,TRUE,"Dexamethasone"
"15",99,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Lean Mass","2014-11-18","fed",18660,"24420",NA,NA,NA,TRUE,"Dexamethasone"
"16",115,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Body Weight","2014-12-04","fed",19671,"34900",NA,NA,NA,TRUE,"Dexamethasone"
"17",115,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Total Fat Mass","2014-12-04","fed",19672,"8840",NA,NA,NA,TRUE,"Dexamethasone"
"18",115,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Lean Mass","2014-12-04","fed",19673,"25210",NA,NA,NA,TRUE,"Dexamethasone"
"19",127,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Body Weight","2014-12-16","fed",20827,"35700",NA,NA,NA,TRUE,"Dexamethasone"
"20",127,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Total Fat Mass","2014-12-16","fed",20828,"9610",NA,NA,NA,TRUE,"Dexamethasone"
"21",127,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Lean Mass","2014-12-16","fed",20829,"25320",NA,NA,NA,TRUE,"Dexamethasone"
"22",141,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Body Weight","2014-12-30","fed",21231,"37700",NA,NA,NA,TRUE,"Dexamethasone"
"23",141,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Total Fat Mass","2014-12-30","fed",21232,"11400",NA,NA,NA,TRUE,"Dexamethasone"
"24",141,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Lean Mass","2014-12-30","fed",21233,"25590",NA,NA,NA,TRUE,"Dexamethasone"
"25",155,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Body Weight","2015-01-13","fed",22793,"39600",NA,NA,NA,TRUE,"Dexamethasone"
"26",155,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Total Fat Mass","2015-01-13","fed",22794,"13840",NA,NA,NA,TRUE,"Dexamethasone"
"27",155,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Lean Mass","2015-01-13","fed",22795,"25120",NA,NA,NA,TRUE,"Dexamethasone"
"28",158,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Body Weight","2015-01-16","fed",23181,"42000",NA,NA,NA,TRUE,"Dexamethasone"
"29",158,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Total Fat Mass","2015-01-16","fed",23205,"15410",NA,NA,NA,TRUE,"Dexamethasone"
"30",158,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Lean Mass","2015-01-16","fed",23229,"26140",NA,NA,NA,TRUE,"Dexamethasone"
"31",161,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Body Weight","2015-01-19","fed",23376,"39600","16:30:00",NA,NA,TRUE,"Dexamethasone"
"32",161,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Total Fat Mass","2015-01-19","fed",23580,"13630","16:30:00",NA,NA,TRUE,"Dexamethasone"
"33",161,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Lean Mass","2015-01-19","fed",23581,"25610","16:30:00",NA,NA,TRUE,"Dexamethasone"
"34",168,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Body Weight","2015-01-26","fed",23785,"37200",NA,NA,NA,TRUE,"Dexamethasone"
"35",168,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Total Fat Mass","2015-01-26","fed",23808,"12200",NA,NA,NA,TRUE,"Dexamethasone"
"36",168,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Lean Mass","2015-01-26","fed",23832,"24120",NA,NA,NA,TRUE,"Dexamethasone"
"37",161,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Grip Strength (4 Paw)","2015-01-19","fed",23854,"2610,2370,2520,2640,2330","16:30:00",NA,NA,TRUE,"Dexamethasone"
"38",168,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Grip Strength (4 Paw)","2015-01-26","fed",23879,"2640,3210,2510,3040,3450",NA,NA,NA,TRUE,"Dexamethasone"
"39",175,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Body Weight","2015-02-02","fed",24499,"36700",NA,NA,NA,TRUE,"Dexamethasone"
"40",175,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Total Fat Mass","2015-02-02","fed",24535,"12970",NA,NA,NA,TRUE,"Dexamethasone"
"41",175,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Lean Mass","2015-02-02","fed",24559,"22790",NA,NA,NA,TRUE,"Dexamethasone"
"42",175,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Grip Strength (4 Paw)","2015-02-02","fed",24584,"2400,2060,2080,1980,2040",NA,NA,NA,TRUE,"Dexamethasone"
"43",182,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Total Fat Mass","2015-02-09","fed",25444,"12540",NA,NA,NA,TRUE,"Dexamethasone"
"44",182,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Lean Mass","2015-02-09","fed",25468,"19710",NA,NA,NA,TRUE,"Dexamethasone"
"45",182,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Body Weight","2015-02-09","fed",25492,"33200",NA,NA,NA,TRUE,"Dexamethasone"
"46",184,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Plasma Glucose","2015-02-11","fasted",25772,"167,189,135,89,76,86,76,77,103","14:30:00",6,NA,TRUE,"Dexamethasone"
"47",189,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Total Fat Mass","2015-02-16","fed",26061,"10860","16:00:00",NA,NA,TRUE,"Dexamethasone"
"48",189,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Lean Mass","2015-02-16","fed",26062,"21170","16:00:00",NA,NA,TRUE,"Dexamethasone"
"49",189,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Body Weight","2015-02-16","fed",26063,"33200","16:00:00",NA,NA,TRUE,"Dexamethasone"
"50",189,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Grip Strength (4 Paw)","2015-02-16","fed",26090,"2060,2280,1780,2190,2160","16:00:00",NA,NA,TRUE,"Dexamethasone"
"51",196,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Body Weight","2015-02-23","fed",26686,"32100","16:00:00",NA,NA,TRUE,"Dexamethasone"
"52",196,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Total Fat Mass","2015-02-23","fed",26763,"10550","16:00:00",NA,NA,TRUE,"Dexamethasone"
"53",196,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Lean Mass","2015-02-23","fed",26764,"20410","16:00:00",NA,NA,TRUE,"Dexamethasone"
"54",196,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Grip Strength (4 Paw)","2015-02-23","fed",26804,"2360,2410,2310,2570,2230","16:00:00",NA,NA,TRUE,"Dexamethasone"
"55",71,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Body Weight","2014-10-21","fed",15876,"21100",NA,NA,NA,FALSE,"Water"
"56",71,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Total Fat Mass","2014-10-21","fed",15877,"1590",NA,NA,NA,FALSE,"Water"
"57",71,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Lean Mass","2014-10-21","fed",15878,"19260",NA,NA,NA,FALSE,"Water"
"58",67,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Body Weight","2014-10-17","fed",15954,"21500",NA,NA,NA,FALSE,"Water"
"59",67,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Total Fat Mass","2014-10-17","fed",15956,"1780",NA,NA,NA,FALSE,"Water"
"60",67,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Lean Mass","2014-10-17","fed",15957,"19520",NA,NA,NA,FALSE,"Water"
"61",70,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Body Weight","2014-10-20","fed",16024,"21700",NA,NA,NA,FALSE,"Water"
"62",70,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Total Fat Mass","2014-10-20","fed",16025,"1850",NA,NA,NA,FALSE,"Water"
"63",70,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Lean Mass","2014-10-20","fed",16026,"19580",NA,NA,NA,FALSE,"Water"
"64",85,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Body Weight","2014-11-04","fed",16978,"24400",NA,NA,NA,FALSE,"Water"
"65",85,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Total Fat Mass","2014-11-04","fed",16979,"3360",NA,NA,NA,FALSE,"Water"
"66",85,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Lean Mass","2014-11-04","fed",16980,"20550",NA,NA,NA,FALSE,"Water"
"67",99,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Body Weight","2014-11-18","fed",18661,"26000",NA,NA,NA,FALSE,"Water"
"68",99,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Total Fat Mass","2014-11-18","fed",18662,"4470",NA,NA,NA,FALSE,"Water"
"69",99,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Lean Mass","2014-11-18","fed",18663,"20910",NA,NA,NA,FALSE,"Water"
"70",115,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Body Weight","2014-12-04","fed",19674,"31100",NA,NA,NA,FALSE,"Water"
"71",115,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Total Fat Mass","2014-12-04","fed",19675,"7480",NA,NA,NA,FALSE,"Water"
"72",115,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Lean Mass","2014-12-04","fed",19676,"22650",NA,NA,NA,FALSE,"Water"
"73",127,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Body Weight","2014-12-16","fed",20830,"30500",NA,NA,NA,FALSE,"Water"
"74",127,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Total Fat Mass","2014-12-16","fed",20831,"8290",NA,NA,NA,FALSE,"Water"
"75",127,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Lean Mass","2014-12-16","fed",20832,"21610",NA,NA,NA,FALSE,"Water"
"76",141,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Body Weight","2014-12-30","fed",21234,"32500",NA,NA,NA,FALSE,"Water"
"77",141,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Total Fat Mass","2014-12-30","fed",21235,"9550",NA,NA,NA,FALSE,"Water"
"78",141,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Lean Mass","2014-12-30","fed",21236,"22290",NA,NA,NA,FALSE,"Water"
"79",155,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Body Weight","2015-01-13","fed",22796,"35100",NA,NA,NA,FALSE,"Water"
"80",155,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Total Fat Mass","2015-01-13","fed",22797,"12120",NA,NA,NA,FALSE,"Water"
"81",155,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Lean Mass","2015-01-13","fed",22798,"22190",NA,NA,NA,FALSE,"Water"
"82",158,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Body Weight","2015-01-16","fed",23182,"36600",NA,NA,NA,FALSE,"Water"
"83",158,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Total Fat Mass","2015-01-16","fed",23206,"12950",NA,NA,NA,FALSE,"Water"
"84",158,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Lean Mass","2015-01-16","fed",23230,"23170",NA,NA,NA,FALSE,"Water"
"85",161,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Body Weight","2015-01-19","fed",23377,"33000","16:30:00",NA,NA,FALSE,"Water"
"86",161,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Total Fat Mass","2015-01-19","fed",23582,"10330","16:30:00",NA,NA,FALSE,"Water"
"87",161,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Lean Mass","2015-01-19","fed",23583,"22150","16:30:00",NA,NA,FALSE,"Water"
"88",168,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Body Weight","2015-01-26","fed",23772,"34600",NA,NA,NA,FALSE,"Water"
"89",168,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Total Fat Mass","2015-01-26","fed",23797,"10190",NA,NA,NA,FALSE,"Water"
"90",168,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Lean Mass","2015-01-26","fed",23821,"23780",NA,NA,NA,FALSE,"Water"
"91",161,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Grip Strength (4 Paw)","2015-01-19","fed",23855,"2830,2810,1970,2150,2730","16:30:00",NA,NA,FALSE,"Water"
"92",168,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Grip Strength (4 Paw)","2015-01-26","fed",23868,"2460,3370,3020,2780,2880",NA,NA,NA,FALSE,"Water"
"93",175,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Body Weight","2015-02-02","fed",24511,"38000",NA,NA,NA,FALSE,"Water"
"94",175,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Total Fat Mass","2015-02-02","fed",24525,"10040",NA,NA,NA,FALSE,"Water"
"95",175,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Lean Mass","2015-02-02","fed",24549,"27060",NA,NA,NA,FALSE,"Water"
"96",175,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Grip Strength (4 Paw)","2015-02-02","fed",24573,"2550,2330,2690,2120,2060",NA,NA,NA,FALSE,"Water"
"97",182,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Total Fat Mass","2015-02-09","fed",25448,"14250",NA,NA,NA,FALSE,"Water"
"98",182,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Lean Mass","2015-02-09","fed",25472,"23690",NA,NA,NA,FALSE,"Water"
"99",182,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Body Weight","2015-02-09","fed",25496,"38600",NA,NA,NA,FALSE,"Water"
"100",184,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Plasma Glucose","2015-02-11","fasted",25747,"230,85,75,59,29,24,20,27,24","14:30:00",6,NA,FALSE,"Water"
"101",189,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Total Fat Mass","2015-02-16","fed",26029,"15040","16:00:00",NA,NA,FALSE,"Water"
"102",189,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Lean Mass","2015-02-16","fed",26030,"23970","16:00:00",NA,NA,FALSE,"Water"
"103",189,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Body Weight","2015-02-16","fed",26067,"39700","16:00:00",NA,NA,FALSE,"Water"
"104",189,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Grip Strength (4 Paw)","2015-02-16","fed",26079,"2640,2160,2480,2330,2450","16:00:00",NA,NA,FALSE,"Water"
"105",196,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Body Weight","2015-02-23","fed",26697,"39600","16:00:00",NA,NA,FALSE,"Water"
"106",196,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Total Fat Mass","2015-02-23","fed",26771,"15200","16:00:00",NA,NA,FALSE,"Water"
"107",196,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Lean Mass","2015-02-23","fed",26772,"23880","16:00:00",NA,NA,FALSE,"Water"
"108",196,TRUE,"C57BL/6J","","M","+/+",1766,197,6999,"C57BL/6J","Grip Strength (4 Paw)","2015-02-23","fed",26812,"2810,2630,3000,2630,2700","16:00:00",NA,NA,FALSE,"Water"
"109",71,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Body Weight","2014-10-21","fed",15852,"22800",NA,NA,NA,TRUE,"Dexamethasone"
"110",71,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Total Fat Mass","2014-10-21","fed",15853,"1380",NA,NA,NA,TRUE,"Dexamethasone"
"111",71,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Lean Mass","2014-10-21","fed",15854,"20860",NA,NA,NA,TRUE,"Dexamethasone"
"112",67,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Body Weight","2014-10-17","fed",15958,"23900",NA,NA,NA,TRUE,"Dexamethasone"
"113",67,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Total Fat Mass","2014-10-17","fed",15959,"2100",NA,NA,NA,TRUE,"Dexamethasone"
"114",67,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Lean Mass","2014-10-17","fed",15960,"21260",NA,NA,NA,TRUE,"Dexamethasone"
"115",70,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Body Weight","2014-10-20","fed",16000,"24100",NA,NA,NA,TRUE,"Dexamethasone"
"116",70,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Total Fat Mass","2014-10-20","fed",16001,"1400",NA,NA,NA,TRUE,"Dexamethasone"
"117",70,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Lean Mass","2014-10-20","fed",16002,"21650",NA,NA,NA,TRUE,"Dexamethasone"
"118",85,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Body Weight","2014-11-04","fed",16981,"28300",NA,NA,NA,TRUE,"Dexamethasone"
"119",85,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Total Fat Mass","2014-11-04","fed",16982,"4850",NA,NA,NA,TRUE,"Dexamethasone"
"120",85,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Lean Mass","2014-11-04","fed",16983,"22590",NA,NA,NA,TRUE,"Dexamethasone"
"121",99,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Body Weight","2014-11-18","fed",18664,"30500",NA,NA,NA,TRUE,"Dexamethasone"
"122",99,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Total Fat Mass","2014-11-18","fed",18665,"6420",NA,NA,NA,TRUE,"Dexamethasone"
"123",99,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Lean Mass","2014-11-18","fed",18666,"23350",NA,NA,NA,TRUE,"Dexamethasone"
"124",115,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Body Weight","2014-12-04","fed",19677,"34200",NA,NA,NA,TRUE,"Dexamethasone"
"125",115,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Total Fat Mass","2014-12-04","fed",19678,"9020",NA,NA,NA,TRUE,"Dexamethasone"
"126",115,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Lean Mass","2014-12-04","fed",19679,"24280",NA,NA,NA,TRUE,"Dexamethasone"
"127",127,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Body Weight","2014-12-16","fed",20833,"34500",NA,NA,NA,TRUE,"Dexamethasone"
"128",127,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Total Fat Mass","2014-12-16","fed",20834,"9830",NA,NA,NA,TRUE,"Dexamethasone"
"129",127,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Lean Mass","2014-12-16","fed",20835,"23670",NA,NA,NA,TRUE,"Dexamethasone"
"130",141,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Body Weight","2014-12-30","fed",21237,"37000",NA,NA,NA,TRUE,"Dexamethasone"
"131",141,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Total Fat Mass","2014-12-30","fed",21238,"11770",NA,NA,NA,TRUE,"Dexamethasone"
"132",141,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Lean Mass","2014-12-30","fed",21239,"24470",NA,NA,NA,TRUE,"Dexamethasone"
"133",155,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Body Weight","2015-01-13","fed",22799,"38900",NA,NA,NA,TRUE,"Dexamethasone"
"134",155,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Total Fat Mass","2015-01-13","fed",22800,"13870",NA,NA,NA,TRUE,"Dexamethasone"
"135",155,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Lean Mass","2015-01-13","fed",22801,"23810",NA,NA,NA,TRUE,"Dexamethasone"
"136",158,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Body Weight","2015-01-16","fed",23183,"41400",NA,NA,NA,TRUE,"Dexamethasone"
"137",158,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Total Fat Mass","2015-01-16","fed",23207,"15170",NA,NA,NA,TRUE,"Dexamethasone"
"138",158,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Lean Mass","2015-01-16","fed",23231,"25300",NA,NA,NA,TRUE,"Dexamethasone"
"139",161,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Body Weight","2015-01-19","fed",23378,"36200","16:30:00",NA,NA,TRUE,"Dexamethasone"
"140",161,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Total Fat Mass","2015-01-19","fed",23584,"11690","16:30:00",NA,NA,TRUE,"Dexamethasone"
"141",161,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Lean Mass","2015-01-19","fed",23585,"24130","16:30:00",NA,NA,TRUE,"Dexamethasone"
"142",168,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Body Weight","2015-01-26","fed",23786,"36060",NA,NA,NA,TRUE,"Dexamethasone"
"143",168,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Total Fat Mass","2015-01-26","fed",23810,"11460",NA,NA,NA,TRUE,"Dexamethasone"
"144",168,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Lean Mass","2015-01-26","fed",23834,"23500",NA,NA,NA,TRUE,"Dexamethasone"
"145",161,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Grip Strength (4 Paw)","2015-01-19","fed",23856,"2550,2910,2020,2110,2340","16:30:00",NA,NA,TRUE,"Dexamethasone"
"146",168,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Grip Strength (4 Paw)","2015-01-26","fed",23880,"3340,2850,3270,2830,3150",NA,NA,NA,TRUE,"Dexamethasone"
"147",175,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Body Weight","2015-02-02","fed",24498,"36400",NA,NA,NA,TRUE,"Dexamethasone"
"148",175,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Total Fat Mass","2015-02-02","fed",24534,"12320",NA,NA,NA,TRUE,"Dexamethasone"
"149",175,TRUE,"C57BL/6J","","M","+/+",1767,197,7000,"C57BL/6J","Lean Mass","2015-02-02","fed",24558,"22850",NA,NA,NA,TRUE,"Dexamethasone"
