peak	MA0102.5	MA0113.4	MA0148.5	MA0466.4	MA0480.3	MA2323.1	MA2327.1
chr10:87593957-87594457	0	0	0	0	0	0	0
chr10:87609965-87610465	0	0	0	0	0	0	0
chr10:87795150-87795650	0	0	0	0	0	0	0
chr10:87862526-87863026	0	0	0	0	0	0	0
chr10:87906456-87906956	0	0	0	0	0	2	0
chr10:93227219-93227719	1	0	0	0	0	0	0
chr10:94829463-94829963	0	0	0	0	0	0	0
chr10:95117165-95117665	0	0	0	0	0	0	0
chr10:95139705-95140205	0	0	0	0	0	0	0
chr10:95142896-95143396	0	0	0	0	0	0	0
chr10:95152621-95153121	1	1	0	0	0	2	2
chr10:95191335-95191835	0	2	0	0	0	4	0
chr10:95254619-95255119	0	0	0	0	0	1	0
chr10:95322957-95323457	0	0	0	0	0	0	0
chr10:96305324-96305824	0	0	0	0	0	0	0
chr10:111582527-111583027	0	0	0	0	0	0	0
chr10:122768345-122768845	1	0	0	0	0	0	0
chr10:128391351-128391851	0	0	0	0	0	0	0
chr11:3902980-3903480	0	0	0	0	0	0	0
chr11:3921211-3921711	0	0	1	0	1	0	0
chr11:5502310-5502810	1	0	0	0	0	0	0
chr11:6568749-6569249	0	0	0	0	0	0	0
chr11:7786322-7786822	0	0	0	0	0	0	0
chr11:18754408-18754908	0	0	0	0	0	0	0
chr11:21398685-21399185	0	0	0	0	0	0	0
chr11:21402870-21403370	1	0	0	4	0	1	0
chr11:22437926-22438426	0	0	0	0	0	0	0
chr11:31843928-31844428	0	0	0	0	0	0	0
chr11:35607395-35607895	0	2	0	0	0	2	0
chr11:35624558-35625058	0	0	0	0	0	0	0
chr11:35626345-35626845	0	0	0	0	0	0	0
chr11:35718632-35719132	1	0	0	0	0	0	0
chr11:35738027-35738527	0	0	0	0	0	0	0
chr11:43884400-43884900	0	0	0	0	0	0	0
chr11:43928927-43929427	0	2	0	0	0	0	0
chr11:52602451-52602951	0	2	0	0	0	2	0
chr11:60224954-60225454	0	0	0	0	0	0	0
chr11:60240899-60241399	0	0	0	0	0	0	0
chr11:61448442-61448942	0	0	0	0	0	0	0
chr11:62479405-62479905	0	0	0	0	0	0	0
chr11:62538259-62538759	0	0	0	0	0	0	0
chr11:62558749-62559249	0	2	0	0	0	1	0
chr11:62568181-62568681	0	0	0	0	0	0	0
chr11:63173302-63173802	0	0	1	0	1	0	0
chr11:63181820-63182320	0	0	0	0	0	0	2
chr11:63891512-63892012	1	0	0	0	0	0	0
chr11:63896916-63897416	0	2	0	0	0	2	0
chr11:63898560-63899060	0	0	1	2	1	1	0
chr11:64079331-64079831	0	0	0	0	0	0	0
chr11:67667626-67668126	0	2	0	0	0	2	0
chr11:70489071-70489571	0	2	0	0	0	0	0
chr11:73274630-73275130	0	2	0	0	0	1	0
chr11:77808022-77808522	0	0	0	0	0	0	0
chr11:77813981-77814481	0	2	0	0	0	2	0
chr11:79039301-79039801	0	0	0	0	0	0	0
chr11:79771435-79771935	0	0	1	0	1	0	2
chr11:79792617-79793117	0	2	0	0	0	2	0
chr11:84168858-84169358	0	0	0	0	0	0	0
chr11:84172879-84173379	1	0	0	2	0	0	0
chr11:84190484-84190984	0	0	2	0	2	0	0
chr11:84192280-84192780	0	0	1	0	1	0	0
chr11:84198127-84198627	0	0	0	0	0	0	0
chr11:84229455-84229955	1	0	0	2	0	0	0
chr11:84236866-84237366	0	0	0	0	0	0	0
chr11:84302448-84302948	0	0	0	0	0	0	0
chr11:84305151-84305651	0	0	0	0	0	0	2
chr11:84310847-84311347	0	0	0	0	0	0	0
chr11:84313425-84313925	0	0	0	0	0	0	2
chr11:84331208-84331708	0	0	0	0	0	0	0
chr11:84344563-84345063	0	0	0	0	0	0	0
chr11:84350965-84351465	0	0	0	0	0	0	0
chr11:84405745-84406245	0	0	0	0	0	0	0
chr11:84767505-84768005	0	0	0	0	0	0	0
chr11:85846275-85846775	1	0	0	0	0	0	0
chr11:94175536-94176036	0	0	0	0	0	0	0
chr11:94198314-94198814	1	0	0	0	0	0	0
chr11:94239693-94240193	1	0	1	0	1	0	0
chr11:96332050-96332550	0	0	0	0	0	0	0
chr11:97836887-97837387	0	1	0	0	0	0	2
chr11:98384863-98385363	0	0	1	0	1	0	0
chr11:100475119-100475619	0	0	0	0	0	0	0
chr11:100505077-100505577	0	0	0	0	0	0	0
chr11:100518801-100519301	0	0	0	0	0	0	0
chr11:100545113-100545613	0	0	0	0	0	0	0
chr11:100553260-100553760	0	0	0	0	0	0	0
chr11:101364473-101364973	0	0	0	0	0	0	0
chr11:103144499-103144999	1	0	0	2	0	0	0
chr11:103904462-103904962	0	2	0	0	0	2	0
chr11:104269525-104270025	1	0	0	0	0	0	0
chr11:107124279-107124779	0	0	0	0	0	0	0
chr11:108769838-108770338	0	2	0	0	0	1	2
chr11:108774644-108775144	1	0	0	0	0	0	0
chr11:109144276-109144776	0	0	1	0	1	0	0
chr11:109178726-109179226	0	0	0	0	0	0	0
chr11:109353366-109353866	0	2	0	0	0	3	0
chr11:111236527-111237027	0	2	0	0	0	3	0
chr11:111240089-111240589	0	0	0	0	0	0	0
chr11:111281071-111281571	0	0	0	0	0	0	0
chr11:111313493-111313993	0	0	0	0	0	1	0
chr11:112834348-112834848	0	1	0	0	0	2	0
chr11:112926720-112927220	0	0	0	0	0	0	0
chr11:112942483-112942983	1	0	0	0	0	0	2
chr11:113132254-113132754	0	0	0	0	0	0	2
chr11:113138468-113138968	0	0	0	0	0	0	0
chr11:115509892-115510392	0	0	0	0	0	0	0
chr11:115775879-115776379	0	0	0	0	0	0	0
chr11:115779204-115779704	0	0	0	0	0	0	0
chr11:115899775-115900275	0	0	0	0	0	0	0
chr11:116661644-116662144	0	0	0	0	0	0	0
chr11:117221020-117221520	0	0	0	0	0	0	0
chr11:117598919-117599419	0	0	0	0	0	1	0
chr11:117989841-117990341	0	0	0	0	0	0	0
chr11:118242407-118242907	0	0	0	0	0	0	0
chr11:119685383-119685883	0	0	0	0	0	0	0
chr11:120137273-120137773	1	0	0	0	0	0	0
chr11:120242721-120243221	0	0	0	0	0	0	0
chr11:120269634-120270134	1	0	0	0	0	0	0
chr11:120301465-120301965	0	0	0	0	0	0	0
chr11:120304456-120304956	0	0	0	0	0	0	0
chr11:120803472-120803972	0	0	0	0	0	2	0
chr11:120805065-120805565	0	0	0	0	0	0	0
chr11:120815277-120815777	0	0	0	0	0	0	0
chr11:120831063-120831563	0	0	0	0	0	0	0
chr11:120857545-120858045	0	0	0	0	0	0	0
chr11:120861301-120861801	0	0	1	0	1	0	0
chr11:120873323-120873823	0	2	0	0	0	0	2
chr11:120883810-120884310	0	2	0	0	0	2	2
chr11:120902679-120903179	0	0	0	0	0	0	0
chr12:3229293-3229793	0	0	0	0	0	0	0
chr12:4509426-4509926	0	0	0	0	0	0	0
chr12:15850026-15850526	0	0	0	0	0	0	0
chr12:25110301-25110801	0	0	0	0	0	0	0
chr12:25150888-25151388	0	0	0	0	0	0	0
chr12:25165561-25166061	1	0	0	0	0	2	0
chr12:26405084-26405584	0	0	0	0	0	0	0
chr12:30128800-30129300	0	0	0	0	0	0	0
chr12:32123502-32124002	0	0	0	0	0	0	0
chr12:32661736-32662236	0	2	0	0	0	2	0
chr12:33057051-33057551	0	0	0	0	0	0	0
chr12:33062647-33063147	0	0	0	0	0	0	0
chr12:33267766-33268266	0	2	0	0	0	2	0
chr12:33287874-33288374	0	0	0	0	0	0	0
chr12:33302509-33303009	0	0	1	0	1	1	0
chr12:33304962-33305462	0	0	0	0	0	0	0
chr12:33311624-33312124	0	0	0	0	0	0	0
chr12:33340411-33340911	1	0	0	0	0	0	0
chr12:34775979-34776479	0	0	0	0	0	0	0
chr12:39936072-39936572	0	0	0	0	0	0	0
chr12:41084522-41085022	0	0	0	0	0	2	0
chr12:77053074-77053574	0	0	0	0	0	0	0
chr12:77054262-77054762	0	0	0	0	0	0	2
chr12:77061285-77061785	1	0	0	0	0	0	0
chr12:79346766-79347266	0	0	0	0	0	0	0
chr12:79793238-79793738	1	0	0	0	0	0	0
chr12:79948787-79949287	0	0	0	0	0	1	0
chr12:81155612-81156112	1	0	0	2	0	0	0
chr12:84015322-84015822	0	0	0	0	0	0	0
chr12:84033864-84034364	0	0	0	0	0	0	0
chr12:84037943-84038443	0	0	0	0	0	0	0
chr12:84052619-84053119	0	0	0	0	0	0	0
chr12:84800403-84800903	0	2	0	0	0	2	0
chr12:85890608-85891108	1	2	0	0	0	1	0
chr12:86045775-86046275	1	0	0	0	0	0	0
chr12:86057077-86057577	0	2	0	0	0	2	0
chr12:99213925-99214425	0	0	0	0	0	0	0
chr12:100392455-100392955	0	2	0	0	0	2	0
chr12:102271375-102271875	0	0	0	0	0	1	0
chr12:103311840-103312340	0	0	0	2	0	0	0
chr12:103326989-103327489	0	0	0	0	0	0	0
chr12:103565412-103565912	0	0	0	0	0	0	0
chr12:104041846-104042346	0	0	0	0	0	0	0
chr12:104069671-104070171	0	0	0	0	0	0	0
chr12:104593573-104594073	0	0	0	0	0	0	0
chr12:104992739-104993239	0	0	0	0	0	0	2
chr12:107752693-107753193	1	0	0	0	0	0	0
chr12:108836055-108836555	0	0	0	0	0	0	0
chr12:108841963-108842463	0	2	0	0	0	0	0
chr12:108851242-108851742	1	0	0	0	0	0	0
chr12:108873547-108874047	0	0	0	0	0	0	0
chr12:110206885-110207385	1	0	0	0	0	0	0
chr12:110220928-110221428	0	2	0	0	0	2	0
chr12:110263070-110263570	0	0	0	0	0	0	0
chr13:3865919-3866419	0	0	0	0	0	0	0
chr13:8744815-8745315	0	0	0	0	0	0	0
chr13:28638093-28638593	1	0	1	0	1	0	0
chr13:29474228-29474728	1	0	0	2	0	0	0
chr13:29503339-29503839	0	0	0	0	0	0	0
chr13:30561622-30562122	0	0	0	0	0	0	0
chr13:30749531-30750031	0	0	0	0	0	0	0
chr13:30808988-30809488	0	2	0	0	0	1	0
chr13:31584983-31585483	1	2	0	0	0	2	2
chr13:32479593-32480093	0	0	0	0	0	0	0
chr13:34222933-34223433	0	0	0	0	0	0	0
chr13:34227933-34228433	0	0	0	0	0	3	0
chr13:35212255-35212755	0	0	0	0	0	0	0
chr13:35524845-35525345	0	0	0	0	0	0	2
chr13:37416896-37417396	0	0	0	0	0	1	0
chr13:37468060-37468560	0	0	0	0	0	0	0
chr13:37644729-37645229	0	0	0	0	0	0	0
chr13:44306467-44306967	0	0	0	0	0	0	0
chr13:44409258-44409758	0	2	0	0	0	2	0
chr13:44421213-44421713	0	0	0	0	0	0	0
chr13:44451429-44451929	0	0	0	0	0	0	2
chr13:44509734-44510234	0	0	0	0	0	2	0
chr13:44523323-44523823	1	0	0	0	0	0	2
chr13:44534666-44535166	0	0	0	0	0	0	0
chr13:44541098-44541598	0	0	0	0	0	0	2
chr13:45207128-45207628	0	0	0	0	0	0	0
chr13:45246024-45246524	1	0	0	0	0	0	0
chr13:45627674-45628174	0	2	0	0	0	2	0
chr13:46006197-46006697	0	0	0	0	0	0	0
chr13:46019645-46020145	0	0	0	0	0	1	2
chr13:46161591-46162091	0	0	0	0	0	0	0
chr13:46168508-46169008	0	0	0	0	0	0	0
chr13:47194264-47194764	0	0	0	0	0	0	0
chr13:47200030-47200530	0	2	0	0	0	1	0
chr13:47215816-47216316	0	0	0	0	0	0	0
chr13:51853522-51854022	0	0	0	0	0	0	0
chr13:51868593-51869093	0	2	1	0	1	1	0
chr13:51888314-51888814	0	0	0	0	0	0	0
chr13:52060570-52061070	0	0	0	0	0	0	0
chr13:52067966-52068466	0	0	0	0	0	0	0
chr13:52116309-52116809	0	0	0	0	0	0	0
chr13:52124869-52125369	1	0	0	0	0	0	2
chr13:52154191-52154691	1	1	0	0	0	0	0
chr13:52188233-52188733	0	0	0	0	0	0	0
chr13:54072631-54073131	0	0	0	0	0	0	0
chr13:54080089-54080589	0	0	0	0	0	0	0
chr13:56434013-56434513	1	0	0	0	0	0	0
chr13:59859427-59859927	0	2	0	0	0	2	0
chr13:68737495-68737995	0	0	0	0	0	0	0
chr13:72716197-72716697	0	0	1	0	1	0	0
chr13:78203706-78204206	0	0	0	0	0	0	0
chr13:90728257-90728757	0	0	0	0	0	2	0
chr13:93719174-93719674	0	0	0	0	0	0	0
chr13:93898391-93898891	0	0	0	0	0	0	0
chr13:101092353-101092853	0	2	0	0	0	4	2
chr13:101096922-101097422	1	0	0	0	0	0	0
chr13:101523838-101524338	0	1	1	0	1	2	0
chr13:101545513-101546013	0	0	0	0	0	0	0
chr13:101700043-101700543	0	0	0	0	0	0	0
chr13:101712113-101712613	2	0	0	2	0	0	0
chr13:101738729-101739229	1	1	0	2	0	2	0
chr13:101746383-101746883	0	0	0	0	0	1	0
chr13:101751700-101752200	0	0	0	0	0	0	0
chr13:101753374-101753874	0	3	0	0	0	2	0
chr13:101757423-101757923	0	0	0	0	0	0	0
chr13:101761208-101761708	0	0	0	0	0	0	0
chr13:101763660-101764160	1	0	0	0	0	0	0
chr13:101768606-101769106	0	0	0	0	0	0	0
chr13:101844739-101845239	0	0	1	0	1	0	0
chr13:101987760-101988260	0	2	0	0	0	1	2
chr13:102253510-102254010	0	2	0	0	0	2	2
chr13:102411496-102411996	0	0	0	0	0	0	0
chr13:102447458-102447958	1	0	0	0	0	0	2
chr13:102449102-102449602	0	0	0	0	0	0	0
chr13:102454656-102455156	0	0	0	0	0	1	0
chr13:102458821-102459321	0	0	0	0	0	0	0
chr13:102533853-102534353	1	0	1	0	1	0	0
chr13:102537669-102538169	0	0	0	0	0	0	0
chr13:102577237-102577737	0	0	0	0	0	0	0
chr13:102578616-102579116	0	0	0	0	0	0	0
chr13:102586192-102586692	0	2	0	0	0	0	0
chr13:102593668-102594168	0	0	0	0	0	0	0
chr13:102652426-102652926	0	0	0	0	0	0	2
chr13:102684767-102685267	0	0	0	0	0	1	0
chr13:102709768-102710268	0	0	0	0	0	0	0
chr13:104540797-104541297	0	0	0	0	0	2	0
chr13:105060632-105061132	0	2	0	0	0	2	2
chr13:105207570-105208070	0	0	0	0	0	0	0
chr13:110237662-110238162	0	2	0	0	0	2	0
chr13:111926513-111927013	1	0	0	0	0	0	0
chr13:112902339-112902839	0	0	0	0	0	0	0
chr13:113045918-113046418	0	0	0	0	0	0	0
chr13:118506076-118506576	1	0	0	2	0	0	0
chr13:118623489-118623989	0	0	0	0	0	0	4
chr14:17728860-17729360	1	0	0	0	0	0	0
chr14:20845569-20846069	1	0	0	0	0	0	0
chr14:22114723-22115223	0	0	0	0	0	0	0
chr14:22213556-22214056	0	2	1	0	1	0	0
chr14:22864924-22865424	0	0	0	0	0	0	0
chr14:26540509-26541009	0	0	0	0	0	0	0
chr14:28283714-28284214	0	0	0	0	0	2	0
chr14:28304116-28304616	0	0	0	0	0	0	0
chr14:28308552-28309052	1	0	0	0	0	0	0
chr14:29017764-29018264	0	1	0	0	0	2	0
chr14:30009971-30010471	0	0	1	0	1	0	0
chr14:30018904-30019404	0	0	0	0	0	0	0
chr14:30024405-30024905	0	0	0	0	0	0	0
chr14:30574249-30574749	1	0	0	0	0	0	0
chr14:30594028-30594528	0	0	0	0	0	0	0
chr14:33734230-33734730	0	0	0	0	0	0	0
chr14:34635539-34636039	1	0	1	0	1	0	0
chr14:40853333-40853833	0	2	0	0	0	2	2
chr14:40889442-40889942	0	0	0	0	0	1	0
chr14:61571239-61571739	0	0	0	0	0	0	0
chr14:61636542-61637042	0	0	0	0	0	1	0
chr14:63060424-63060924	0	0	0	0	0	0	0
chr14:63157741-63158241	0	0	0	0	0	0	0
chr14:63159648-63160148	0	2	0	0	0	1	0
chr14:63177919-63178419	0	0	0	0	0	0	0
chr14:63183717-63184217	0	0	0	0	0	0	0
chr14:63917238-63917738	0	0	0	0	0	0	0
chr14:63934212-63934712	0	0	0	0	0	0	2
chr14:63942687-63943187	0	0	0	0	0	0	0
chr14:63943739-63944239	0	0	0	0	0	0	0
chr14:65746758-65747258	0	0	0	0	0	0	0
chr14:67141788-67142288	0	0	0	0	0	0	0
chr14:67574495-67574995	0	0	0	0	0	0	0
chr14:69828362-69828862	0	0	0	0	0	0	0
chr14:69978115-69978615	0	0	0	0	0	0	0
chr14:70175818-70176318	0	0	0	0	0	0	0
chr14:70331212-70331712	1	2	0	0	0	2	4
chr14:75790326-75790826	0	0	0	0	0	0	0
chr14:76678432-76678932	0	0	0	0	0	0	0
chr14:77257322-77257822	0	0	1	0	1	0	0
chr14:79200181-79200681	0	0	0	0	0	0	2
chr14:100724838-100725338	0	0	0	0	0	0	0
chr14:100749772-100750272	0	0	0	0	0	0	0
chr14:120586394-120586894	0	0	0	0	0	1	0
chr15:3601708-3602208	0	0	1	0	1	0	0
chr15:3603329-3603829	0	2	0	0	0	1	0
chr15:3620565-3621065	0	0	0	0	0	0	0
chr15:3626693-3627193	0	0	0	0	0	1	0
chr15:3644642-3645142	0	0	0	0	0	0	0
chr15:3648507-3649007	0	0	0	0	0	0	0
chr15:8709950-8710450	0	0	0	0	0	0	0
chr15:8718486-8718986	1	0	0	0	0	0	0
chr15:8781092-8781592	1	0	0	2	0	0	0
chr15:10177534-10178034	0	0	0	0	0	0	0
chr15:10249322-10249822	0	0	0	0	0	0	0
chr15:11745808-11746308	2	0	0	0	0	0	0
chr15:31676727-31677227	0	0	0	0	0	0	0
chr15:34372940-34373440	0	0	0	0	0	0	0
chr15:36225532-36226032	0	2	0	0	0	2	0
chr15:39125117-39125617	0	2	0	0	0	2	0
chr15:39746464-39746964	0	2	0	0	0	2	2
chr15:39939863-39940363	0	0	0	0	0	0	0
chr15:41685698-41686198	0	0	0	0	0	0	0
chr15:42329392-42329892	0	0	0	0	0	0	0
chr15:42554237-42554737	0	0	0	0	0	0	0
chr15:42619960-42620460	0	0	0	0	0	0	0
chr15:42675656-42676156	0	0	1	0	1	0	0
chr15:53216084-53216584	0	0	0	0	0	0	0
chr15:53271288-53271788	0	0	0	0	0	0	0
chr15:53276245-53276745	0	0	0	0	0	0	0
chr15:55120990-55121490	0	0	0	0	0	0	0
chr15:55133446-55133946	0	0	0	0	0	0	0
chr15:55197826-55198326	0	0	0	0	0	0	0
chr15:55760631-55761131	0	0	1	0	1	0	0
chr15:55779880-55780380	0	0	1	0	1	0	0
chr15:55800574-55801074	0	0	0	0	0	0	0
chr15:56077618-56078118	0	0	0	0	0	0	0
chr15:56692365-56692865	0	0	0	0	0	0	0
chr15:57710474-57710974	1	0	0	0	0	0	0
chr15:58989123-58989623	0	0	0	0	0	0	0
chr15:58992490-58992990	0	0	0	0	0	0	0
chr15:58999219-58999719	0	0	0	0	0	0	0
chr15:59141906-59142406	0	0	0	0	0	0	0
chr15:59485408-59485908	0	2	0	0	0	1	2
chr15:61562394-61562894	0	0	0	0	0	0	0
chr15:61589274-61589774	0	0	0	0	0	0	0
chr15:62098699-62099199	0	0	0	0	0	2	0
chr15:62137198-62137698	1	0	0	0	0	0	0
chr15:62229598-62230098	0	0	0	0	0	0	0
chr15:62257774-62258274	0	0	1	0	1	0	0
chr15:62269499-62269999	0	0	0	0	0	0	0
chr15:76126618-76127118	0	0	0	0	0	0	0
chr15:76399666-76400166	0	2	0	0	0	2	0
chr15:77196472-77196972	0	0	0	0	0	0	0
chr15:78325912-78326412	0	0	0	0	0	0	0
chr15:78345254-78345754	1	0	0	0	0	0	0
chr15:78403873-78404373	0	0	0	0	0	0	0
chr15:78415303-78415803	0	2	0	0	0	1	0
chr15:78416815-78417315	0	0	0	0	0	0	0
chr15:78647588-78648088	0	0	0	0	0	0	0
chr15:79122184-79122684	1	0	0	0	0	0	0
chr15:79131467-79131967	0	0	0	0	0	1	2
chr15:81774298-81774798	0	0	0	0	0	0	0
chr15:81836545-81837045	0	0	0	0	0	0	0
chr15:81896327-81896827	0	0	0	0	0	0	0
chr15:84131606-84132106	0	0	0	0	0	0	0
chr15:84144753-84145253	0	0	0	0	0	2	0
chr15:84270429-84270929	0	0	1	0	1	0	0
chr15:84325365-84325865	0	0	0	0	0	0	0
chr15:92775948-92776448	0	2	0	0	0	2	0
chr15:98677248-98677748	0	0	0	0	0	0	0
chr15:103258251-103258751	1	0	0	0	0	0	0
chr15:103627089-103627589	0	0	1	0	1	1	0
chr16:5000450-5000950	0	0	0	0	0	0	0
chr16:10625114-10625614	0	0	0	0	0	0	0
chr16:10676645-10677145	1	2	0	2	0	0	0
chr16:10843882-10844382	0	0	0	0	0	0	0
chr16:11636675-11637175	0	0	0	0	0	0	0
chr16:11815065-11815565	1	0	0	0	0	0	2
chr16:11884132-11884632	0	0	1	0	1	0	0
chr16:11900149-11900649	0	0	0	0	0	0	0
chr16:13358115-13358615	0	2	0	0	0	2	0
chr16:13498775-13499275	0	0	0	0	0	1	0
chr16:13515701-13516201	0	4	0	0	0	4	0
chr16:17969478-17969978	0	0	1	0	1	0	0
chr16:20068699-20069199	0	0	0	0	0	0	0
chr16:21510554-21511054	0	0	0	0	0	0	0
chr16:21846009-21846509	0	0	0	0	0	0	2
chr16:22144494-22144994	0	1	0	2	0	1	0
