peak	seqnames	start	end	annotation	distanceToTSS	SYMBOL	GENENAME
chr1:104807315-104807815	chr1	104807315	104807815	Intron (ENSMUST00000062528.8/23836, intron 1 of 11)	38786	Cdh20	cadherin 20
chr1:105312034-105312534	chr1	105312034	105312534	Intron (ENSMUST00000058688.6/320311, intron 2 of 2)	-43473	Gm17634	predicted gene, 17634
chr1:105520096-105520596	chr1	105520096	105520596	3' UTR	48352	Pign	phosphatidylinositol glycan anchor biosynthesis, class N
chr1:107502025-107502525	chr1	107502025	107502525	Distal Intergenic	-8898	Serpinb2	serine (or cysteine) peptidase inhibitor, clade B, member 2
chr1:109889574-109890074	chr1	109889574	109890074	Distal Intergenic	-92357	Cdh7	cadherin 7, type 2
chr1:114860829-114861329	chr1	114860829	114861329	Distal Intergenic	-823427	Cntnap5a	contactin associated protein-like 5A
chr1:118658664-118659164	chr1	118658664	118659164	Exon (ENSMUST00000027629.9/81879, exon 7 of 15)	30718	Tfcp2l1	transcription factor CP2-like 1
chr1:120171912-120172412	chr1	120171912	120172412	Intron (ENSMUST00000027637.12/73103, intron 4 of 4)	11432	3110009E18Rik	RIKEN cDNA 3110009E18 gene
chr1:123636124-123636624	chr1	123636124	123636624	Intron (ENSMUST00000112606.7/269109, intron 5 of 25)	13736	Dpp10	dipeptidylpeptidase 10
chr1:124311425-124311925	chr1	124311425	124311925	Intron (ENSMUST00000239072.1/269109, intron 1 of 25)	-265866	Dpp10	dipeptidylpeptidase 10
chr1:125397028-125397528	chr1	125397028	125397528	Promoter (<=1kb)	84	Actr3	ARP3 actin-related protein 3
chr1:127419419-127419919	chr1	127419419	127419919	Intron (ENSMUST00000038361.10/107895, intron 12 of 17)	80425	Tmem163	transmembrane protein 163
chr1:130996999-130997499	chr1	130996999	130997499	Distal Intergenic	-22346	Il10	interleukin 10
chr1:131285506-131286006	chr1	131285506	131286006	3' UTR	-5900	Ikbke	inhibitor of kappaB kinase epsilon
chr1:131881255-131881755	chr1	131881255	131881755	Distal Intergenic	13602	Rab29	RAB29, member RAS oncogene family
chr1:135903305-135903805	chr1	135903305	135903805	Intron (ENSMUST00000027667.12/18772, intron 2 of 13)	15315	Pkp1	plakophilin 1
chr1:136475439-136475939	chr1	136475439	136475939	Promoter (<=1kb)	-401	Kif14	kinesin family member 14
chr1:143823246-143823746	chr1	143823246	143823746	Distal Intergenic	28529	Uchl5	ubiquitin carboxyl-terminal esterase L5
chr1:145897463-145897963	chr1	145897463	145897963	Distal Intergenic	-596797	Brinp3	bone morphogenetic protein/retinoic acid inducible neural specific 3
chr1:145935750-145936250	chr1	145935750	145936250	Distal Intergenic	-558510	Brinp3	bone morphogenetic protein/retinoic acid inducible neural specific 3
chr1:150991871-150992371	chr1	150991871	150992371	Promoter (<=1kb)	680	Hmcn1	hemicentin 1
chr1:151513940-151514440	chr1	151513940	151514440	Distal Intergenic	-12985	Rnf2	ring finger protein 2
chr1:151653385-151653885	chr1	151653385	151653885	Intron (ENSMUST00000148810.7/63913, intron 5 of 13)	-23282	Niban1	niban apoptosis regulator 1
chr1:152369391-152369891	chr1	152369391	152369891	Promoter (2-3kb)	2191	Tsen15	tRNA splicing endonuclease subunit 15
chr1:152371302-152371802	chr1	152371302	152371802	Promoter (<=1kb)	280	Tsen15	tRNA splicing endonuclease subunit 15
chr1:154893431-154893931	chr1	154893431	154893931	Distal Intergenic	-8930	Cacna1e	calcium channel, voltage-dependent, R type, alpha 1E subunit
chr1:156763181-156763681	chr1	156763181	156763681	Distal Intergenic	-44095	Fam20b	FAM20B, glycosaminoglycan xylosylkinase
chr1:158294700-158295200	chr1	158294700	158295200	Promoter (1-2kb)	1264	Brinp2	bone morphogenic protein/retinoic acid inducible neural-specific 2
chr1:159128522-159129022	chr1	159128522	159129022	Distal Intergenic	-103298	Cop1	COP1, E3 ubiquitin ligase
chr1:160550642-160551142	chr1	160550642	160551142	Intron (ENSMUST00000028049.12/29809, intron 13 of 20)	-96869	Rabgap1l	RAB GTPase activating protein 1-like
chr1:160774433-160774933	chr1	160774433	160774933	Intron (ENSMUST00000028049.12/29809, intron 1 of 20)	18005	Rabgap1l	RAB GTPase activating protein 1-like
chr1:166138083-166138583	chr1	166138083	166138583	Intron (ENSMUST00000060833.13/59290, intron 1 of 6)	7616	Gpa33	glycoprotein A33 transmembrane
chr1:167131524-167132024	chr1	167131524	167132024	Distal Intergenic	104811	Uck2	uridine-cytidine kinase 2
chr1:170429378-170429878	chr1	170429378	170429878	Intron (ENSMUST00000160456.7/70729, intron 2 of 9)	25036	Nos1ap	nitric oxide synthase 1 (neuronal) adaptor protein
chr1:170466182-170466682	chr1	170466182	170466682	Intron (ENSMUST00000160456.7/70729, intron 2 of 9)	-11268	Nos1ap	nitric oxide synthase 1 (neuronal) adaptor protein
chr1:170489630-170490130	chr1	170489630	170490130	Intron (ENSMUST00000160456.7/70729, intron 2 of 9)	-34716	Nos1ap	nitric oxide synthase 1 (neuronal) adaptor protein
chr1:175471138-175471638	chr1	175471138	175471638	Intron (ENSMUST00000194555.5/24012, intron 2 of 17)	19492	Rgs7	regulator of G protein signaling 7
chr1:177517928-177518428	chr1	177517928	177518428	Distal Intergenic	72107	Zbtb18	zinc finger and BTB domain containing 18
chr1:177708760-177709260	chr1	177708760	177709260	Distal Intergenic	-20554	Spmip3	sperm microtubule inner protein 3
chr1:180734970-180735470	chr1	180734970	180735470	Intron (ENSMUST00000027780.5/170760, intron 3 of 7)	5113	Acbd3	acyl-Coenzyme A binding domain containing 3
chr1:181126657-181127157	chr1	181126657	181127157	Exon (ENSMUST00000027797.8/67459, exon 10 of 23)	17047	Nvl	nuclear VCP-like
chr1:186675205-186675705	chr1	186675205	186675705	Intron (ENSMUST00000045288.13/21808, intron 1 of 6)	-7050	Tgfb2	transforming growth factor, beta 2
chr10:10894528-10895028	chr10	10894528	10895028	Intron (ENSMUST00000044306.12/14816, intron 3 of 8)	143448	4930567K20Rik	RIKEN cDNA 4930567K20 gene
chr10:10921454-10921954	chr10	10921454	10921954	Intron (ENSMUST00000044306.12/14816, intron 3 of 8)	159002	Grm1	glutamate receptor, metabotropic 1
chr10:12219179-12219679	chr10	12219179	12219679	Distal Intergenic	183396	Utrn	utrophin
chr10:13304579-13305079	chr10	13304579	13305079	Intron (ENSMUST00000105545.11/215789, intron 1 of 12)	19210	Phactr2	phosphatase and actin regulator 2
chr10:13832846-13833346	chr10	13832846	13833346	Intron (ENSMUST00000162610.7/66253, intron 1 of 5)	10940	Aig1	androgen-induced 1
chr10:14977853-14978353	chr10	14977853	14978353	Distal Intergenic	217634	Nmbr	neuromedin B receptor
chr10:18336788-18337288	chr10	18336788	18337288	Exon (ENSMUST00000213578.1/ENSMUST00000213578.1, exon 1 of 1)	17803	Nhsl1	NHS like 1
chr10:20673635-20674135	chr10	20673635	20674135	Intron (ENSMUST00000020165.13/29863, intron 1 of 12)	50561	Pde7b	phosphodiesterase 7B
chr10:21986578-21987078	chr10	21986578	21987078	Intron (ENSMUST00000120509.7/20393, intron 3 of 13)	-5145	Sgk1	serum/glucocorticoid regulated kinase 1
chr10:23574803-23575303	chr10	23574803	23575303	Intron (ENSMUST00000219823.1/ENSMUST00000219823.1, intron 3 of 4)	210172	Snora33	small nucleolar RNA, H/ACA box 33
chr10:24191932-24192432	chr10	24191932	24192432	Distal Intergenic	-31085	Moxd1	monooxygenase, DBH-like 1
chr10:26804796-26805296	chr10	26804796	26805296	Intron (ENSMUST00000176060.7/73910, intron 1 of 4)	-17306	Arhgap18	Rho GTPase activating protein 18
chr10:27140428-27140928	chr10	27140428	27140928	Intron (ENSMUST00000092639.11/16773, intron 32 of 64)	71326	Lama2	laminin, alpha 2
chr10:28204258-28204758	chr10	28204258	28204758	Intron (ENSMUST00000166468.1/19272, intron 1 of 31)	129248	Ptprk	protein tyrosine phosphatase receptor type K
chr10:28261876-28262376	chr10	28261876	28262376	Intron (ENSMUST00000166468.1/19272, intron 2 of 31)	186866	Ptprk	protein tyrosine phosphatase receptor type K
chr10:28675545-28676045	chr10	28675545	28676045	Intron (ENSMUST00000060409.12/210757, intron 1 of 4)	6912	Themis	thymocyte selection associated
chr10:31546317-31546817	chr10	31546317	31546817	Intron (ENSMUST00000081989.7/268291, intron 1 of 5)	62367	Rnf217	ring finger protein 217
chr10:32977092-32977592	chr10	32977092	32977592	Distal Intergenic	-86631	Nkain2	Na+/K+ transporting ATPase interacting 2
chr10:34453935-34454435	chr10	34453935	34454435	Distal Intergenic	-28964	Frk	fyn-related kinase
chr10:43121465-43121965	chr10	43121465	43121965	Intron (ENSMUST00000040275.8/109205, intron 4 of 6)	52556	Sobp	sine oculis binding protein
chr10:44877022-44877522	chr10	44877022	44877522	Distal Intergenic	-189681	Prep	prolyl endopeptidase
chr10:45154391-45154891	chr10	45154391	45154891	Intron (ENSMUST00000099858.3/19072, intron 13 of 14)	-23207	Popdc3	popeye domain containing 3
chr10:45350001-45350501	chr10	45350001	45350501	Intron (ENSMUST00000095715.4/23828, intron 5 of 7)	-3007	Popdc1	popeye domain cAMP effector 1
chr10:45888917-45889417	chr10	45888917	45889417	Distal Intergenic	51037	D030045P18Rik	RIKEN cDNA D030045P18 gene
chr10:45906503-45907003	chr10	45906503	45907003	Distal Intergenic	68623	D030045P18Rik	RIKEN cDNA D030045P18 gene
chr10:45957453-45957953	chr10	45957453	45957953	Distal Intergenic	119573	D030045P18Rik	RIKEN cDNA D030045P18 gene
chr10:45972062-45972562	chr10	45972062	45972562	Distal Intergenic	134182	D030045P18Rik	RIKEN cDNA D030045P18 gene
chr10:46011741-46012241	chr10	46011741	46012241	Distal Intergenic	173861	D030045P18Rik	RIKEN cDNA D030045P18 gene
chr10:46057442-46057942	chr10	46057442	46057942	Distal Intergenic	219562	D030045P18Rik	RIKEN cDNA D030045P18 gene
chr10:46439947-46440447	chr10	46439947	46440447	Distal Intergenic	602067	D030045P18Rik	RIKEN cDNA D030045P18 gene
chr10:46458419-46458919	chr10	46458419	46458919	Distal Intergenic	620539	D030045P18Rik	RIKEN cDNA D030045P18 gene
chr10:47602672-47603172	chr10	47602672	47603172	Distal Intergenic	1500759	Grik2	glutamate receptor, ionotropic, kainate 2 (beta 2)
chr10:54120420-54120920	chr10	54120420	54120920	Distal Intergenic	-43811	Man1a	mannosidase 1, alpha
chr10:56499781-56500281	chr10	56499781	56500281	Distal Intergenic	67800	Gm36595	predicted gene, 36595
chr10:57046559-57047059	chr10	57046559	57047059	Distal Intergenic	439292	4930467K11Rik	RIKEN cDNA 4930467K11 gene
chr10:57088006-57088506	chr10	57088006	57088506	Distal Intergenic	397845	4930467K11Rik	RIKEN cDNA 4930467K11 gene
chr10:57174677-57175177	chr10	57174677	57175177	Distal Intergenic	311174	4930467K11Rik	RIKEN cDNA 4930467K11 gene
chr10:58405801-58406301	chr10	58405801	58406301	Promoter (1-2kb)	-1756	Lims1	LIM and senescent cell antigen-like domains 1
chr10:60594928-60595428	chr10	60594928	60595428	Intron (ENSMUST00000073242.10/22295, intron 5 of 66)	57605	Cdh23	cadherin related 23 (otocadherin)
chr10:62776188-62776688	chr10	62776188	62776688	Exon (ENSMUST00000020268.6/67500, exon 8 of 25)	-4212	Ccar1	cell division cycle and apoptosis regulator 1
chr10:68190519-68191019	chr10	68190519	68191019	Intron (ENSMUST00000219238.1/71371, intron 3 of 9)	-53893	Arid5b	AT-rich interaction domain 5B
chr10:68587219-68587719	chr10	68587219	68587719	Distal Intergenic	-45323	Cabcoco1	ciliary associated calcium binding coiled-coil 1
chr10:70196572-70197072	chr10	70196572	70197072	Distal Intergenic	-7592	Mrln	myoregulin
chr10:75217373-75217873	chr10	75217373	75217873	Intron (ENSMUST00000218766.1/74392, intron 1 of 15)	4953	Specc1l	sperm antigen with calponin homology and coiled-coil domains 1-like
chr10:82908157-82908657	chr10	82908157	82908657	Distal Intergenic	21311	Txnrd1	thioredoxin reductase 1
chr10:88239524-88240024	chr10	88239524	88240024	Intron (ENSMUST00000020248.15/67282, intron 6 of 6)	4095	Washc3	WASH complex subunit 3
chr10:88676404-88676904	chr10	88676404	88676904	3' UTR	6119	Spic	Spi-C transcription factor (Spi-1/PU.1 related)
chr10:90600173-90600673	chr10	90600173	90600673	Intron (ENSMUST00000183156.7/77531, intron 15 of 25)	23181	Anks1b	ankyrin repeat and sterile alpha motif domain containing 1B
chr10:90619074-90619574	chr10	90619074	90619574	Intron (ENSMUST00000183156.7/77531, intron 15 of 25)	42082	Anks1b	ankyrin repeat and sterile alpha motif domain containing 1B
chr10:91229991-91230491	chr10	91229991	91230491	Distal Intergenic	-9349	4930534H03Rik	RIKEN cDNA 4930534H03 gene
chr10:91320750-91321250	chr10	91320750	91321250	Distal Intergenic	-100108	4930534H03Rik	RIKEN cDNA 4930534H03 gene
chr10:97392883-97393383	chr10	97392883	97393383	Distal Intergenic	-30095	Mir3966	microRNA 3966
chr10:98531452-98531952	chr10	98531452	98531952	Distal Intergenic	-179578	Gm8633	predicted gene 8633
chr10:99232597-99233097	chr10	99232597	99233097	Exon (ENSMUST00000220253.1/ENSMUST00000220253.1, exon 3 of 3)	-30134	Dusp6	dual specificity phosphatase 6
chr10:99297755-99298255	chr10	99297755	99298255	Distal Intergenic	32114	Dusp6	dual specificity phosphatase 6
chr10:107503261-107503761	chr10	107503261	107503761	Distal Intergenic	-8524	Myf6	myogenic factor 6
chr10:108360360-108360860	chr10	108360360	108360860	Intron (ENSMUST00000095313.4/114774, intron 2 of 6)	27543	Pawr	PRKC, apoptosis, WT1, regulator
chr10:108432032-108432532	chr10	108432032	108432532	Intron (ENSMUST00000217857.1/102640148, intron 1 of 2)	-4133	Gm36283	predicted gene, 36283
chr10:108912456-108912956	chr10	108912456	108912956	Intron (ENSMUST00000105276.7/20979, intron 2 of 11)	96144	Syt1	synaptotagmin I
chr10:111160020-111160520	chr10	111160020	111160520	Distal Intergenic	-4232	Osbpl8	oxysterol binding protein-like 8
chr10:114913550-114914050	chr10	114913550	114914050	Distal Intergenic	-111243	Trhde	TRH-degrading enzyme
chr10:115270876-115271376	chr10	115270876	115271376	Distal Intergenic	-19409	Tbc1d15	TBC1 domain family, member 15
chr10:115328431-115328931	chr10	115328431	115328931	Distal Intergenic	-12840	Rab21	RAB21, member RAS oncogene family
chr10:116633369-116633869	chr10	116633369	116633869	Distal Intergenic	-40722	Gm26579	predicted gene, 26579
chr10:119160077-119160577	chr10	119160077	119160577	Intron (ENSMUST00000217700.1/ENSMUST00000217700.1, intron 1 of 5)	47632	Cand1	cullin associated and neddylation disassociated 1
chr10:121604556-121605056	chr10	121604556	121605056	Promoter (<=1kb)	0	Xpot	exportin, tRNA (nuclear export receptor for tRNAs)
chr10:122862067-122862567	chr10	122862067	122862567	Intron (ENSMUST00000162853.7/319468, intron 5 of 5)	-32801	Ppm1h	protein phosphatase 1H (PP2C domain containing)
chr11:8825622-8826122	chr11	8825622	8826122	Distal Intergenic	-160941	Tns3	tensin 3
chr11:9669388-9669888	chr11	9669388	9669888	Intron (ENSMUST00000042740.12/268379, intron 59 of 61)	475937	Abca13	ATP-binding cassette, sub-family A member 13
chr11:12381379-12381879	chr11	12381379	12381879	Intron (ENSMUST00000172919.7/12808, intron 2 of 7)	-3101	Cobl	cordon-bleu WH2 repeat
chr11:13043436-13043936	chr11	13043436	13043936	Distal Intergenic	-578476	Cobl	cordon-bleu WH2 repeat
chr11:18003015-18003515	chr11	18003015	18003515	Distal Intergenic	49011	Etaa1os	Ewing tumor-associated antigen 1, opposite strand
chr11:19049387-19049887	chr11	19049387	19049887	Distal Intergenic	-15389	4933406G16Rik	RIKEN cDNA 4933406G16 gene
chr11:19438378-19438878	chr11	19438378	19438878	Distal Intergenic	373102	4933406G16Rik	RIKEN cDNA 4933406G16 gene
chr11:20186701-20187201	chr11	20186701	20187201	Distal Intergenic	-14231	Rab1a	RAB1A, member RAS oncogene family
chr11:26009698-26010198	chr11	26009698	26010198	Intron (ENSMUST00000125773.7/70626, intron 1 of 5)	71402	5730522E02Rik	RIKEN cDNA 5730522E02 gene
chr11:27106012-27106512	chr11	27106012	27106512	Distal Intergenic	-512013	Vrk2	vaccinia related kinase 2
chr11:28383867-28384367	chr11	28383867	28384367	Distal Intergenic	49743	Ccdc85a	coiled-coil domain containing 85A
chr11:33336609-33337109	chr11	33336609	33337109	Intron (ENSMUST00000102815.9/66011, intron 14 of 27)	-6594	Ranbp17	RAN binding protein 17
chr11:33506845-33507345	chr11	33506845	33507345	Intron (ENSMUST00000102815.9/66011, intron 1 of 27)	5749	Ranbp17	RAN binding protein 17
chr11:33526310-33526810	chr11	33526310	33526810	Distal Intergenic	-12564	Ranbp17	RAN binding protein 17
chr11:34337628-34338128	chr11	34337628	34338128	Intron (ENSMUST00000165963.8/574403, intron 1 of 3)	22806	Insyn2b	inhibitory synaptic factor family member 2B
chr11:35065800-35066300	chr11	35065800	35066300	Distal Intergenic	-54924	Slit3	slit guidance ligand 3
chr11:39128178-39128678	chr11	39128178	39128678	Distal Intergenic	-608165	Gm12130	predicted gene 12130
chr11:41202410-41202910	chr11	41202410	41202910	Distal Intergenic	-447099	Ccng1	cyclin G1
chr11:54214631-54215131	chr11	54214631	54215131	Promoter (1-2kb)	-1346	4933405E24Rik	RIKEN cDNA 4933405E24 gene
chr11:54878999-54879499	chr11	54878999	54879499	Distal Intergenic	12518	Hint1	histidine triad nucleotide binding protein 1
chr11:55013127-55013627	chr11	55013127	55013627	Intron (ENSMUST00000102727.2/11749, intron 3 of 24)	19788	Anxa6	annexin A6
chr11:55239140-55239640	chr11	55239140	55239640	Distal Intergenic	25345	Slc36a1	solute carrier family 36 (proton/amino acid symporter), member 1
chr11:55301889-55302389	chr11	55301889	55302389	Intron (ENSMUST00000068853.12/245827, intron 3 of 23)	9868	Fat2	FAT atypical cadherin 2
chr11:56762702-56763202	chr11	56762702	56763202	Distal Intergenic	-248185	Gria1	glutamate receptor, ionotropic, AMPA1 (alpha 1)
chr11:57404549-57405049	chr11	57404549	57405049	Distal Intergenic	102379	Fam114a2	family with sequence similarity 114, member A2
chr11:59330375-59330875	chr11	59330375	59330875	Intron (ENSMUST00000000128.9/216795, intron 3 of 3)	23445	Wnt9a	wingless-type MMTV integration site family, member 9A
chr11:60253734-60254234	chr11	60253734	60254234	Exon (ENSMUST00000142225.1/216810, exon 9 of 9)	-8065	Tom1l2	target of myb1-like 2 (chicken)
chr11:61206357-61206857	chr11	61206357	61206857	Promoter (<=1kb)	-680	Aldh3a1	aldehyde dehydrogenase family 3, subfamily A1
chr11:61207825-61208325	chr11	61207825	61208325	Promoter (<=1kb)	288	Aldh3a1	aldehyde dehydrogenase family 3, subfamily A1
chr11:62831624-62832124	chr11	62831624	62832124	Promoter (1-2kb)	-1676	Trim16	tripartite motif-containing 16
chr11:65743612-65744112	chr11	65743612	65744112	Promoter (1-2kb)	1726	Map2k4	mitogen-activated protein kinase kinase 4
chr11:70288678-70289178	chr11	70288678	70289178	Distal Intergenic	32399	Alox12e	arachidonate lipoxygenase, epidermal
chr11:70852700-70853200	chr11	70852700	70853200	Intron (ENSMUST00000076270.12/54189, intron 1 of 17)	7725	Rabep1	rabaptin, RAB GTPase binding effector protein 1
chr11:70871929-70872429	chr11	70871929	70872429	Exon (ENSMUST00000179676.1/ENSMUST00000179676.1, exon 2 of 2)	26954	Rabep1	rabaptin, RAB GTPase binding effector protein 1
chr11:72385181-72385681	chr11	72385181	72385681	Distal Intergenic	-3075	Mir6338	microRNA 6338
chr11:74398389-74398889	chr11	74398389	74398889	Intron (ENSMUST00000102521.8/380711, intron 17 of 24)	9136	Rap1gap2	RAP1 GTPase activating protein 2
chr11:74485705-74486205	chr11	74485705	74486205	Intron (ENSMUST00000102521.8/380711, intron 2 of 24)	36546	Rap1gap2	RAP1 GTPase activating protein 2
chr11:75421632-75422132	chr11	75421632	75422132	Promoter (<=1kb)	420	Serpinf1	serine (or cysteine) peptidase inhibitor, clade F, member 1
chr11:77786134-77786634	chr11	77786134	77786634	5' UTR	8818	Myo18a	myosin XVIIIA
chr11:80168688-80169188	chr11	80168688	80169188	Intron (ENSMUST00000021050.13/216991, intron 6 of 10)	14572	Adap2	ArfGAP with dual PH domains 2
chr11:89357925-89358425	chr11	89357925	89358425	Distal Intergenic	-55593	Nog	noggin
chr11:93987858-93988358	chr11	93987858	93988358	Distal Intergenic	-7733	Spag9	sperm associated antigen 9
chr11:100200203-100200703	chr11	100200203	100200703	Distal Intergenic	5327	Krt14	keratin 14
